hack limbs formed of stone 70
hair brush dipped in water 134
hair right through the whole 47
hair spread across the white 66
hair weaved around the floor 47
hair which looked as though 104
half dozen sheets of paper 105
half dozen slices of bacon 42
half empty bottle of vodka 140
half games behind the first 116
half games behind the giants 89
half hides itself in shade 44
half hours before the first 161
half hours before the start 41
half miles behind the front 43
half miles through the woods 102
half months before the first 99
half staring through the lather 66
half times around the globe 143
half times around the world 515
hall running through the house 183
hall which served the whole 42
hand crept across the table 111
hand drawn across the throat 43
hand fight ensued in which 112
hand moved across the paper 42
hand moved across the table 159
hand moves across the paper 53
hand moves toward the radial 98
hand passing through the filings 68
hand reaching across the table 58
hand steady enough to write 158
hand still grasping the knife 80
hand still grasping the wrist 61
hand still shakes to write 41
hand stole across the table 42
hand which pulled the engine 53
hand which seemed to awake 52
hard earnings should be spent 54
hard times through no fault 142
hard words before the court 46
hast shown thyself an enemy 53
have about reached the limit 276
have about reached the point 131
have about twenty or thirty 77
have about twenty to thirty 48
have acted beyond the scope 124
have acute senses of smell 106
have added little of force 43
have added something of value 66
have again buried the whole 99
have again raised the issue 46
have again reached the point 113
have ample mention in pliny 41
have anything better to offer 791
have anything further to offer 135
have anything special to offer 102
have anything unique to offer 45
have anything useful to offer 81
have asked myself so often 179
have asked whether it would 115
have begun before the close 91
have begun before the first 62
have begun before the world 47
have bound myself to others 64
have built itself up within 333
have burst through the spell 82
have claws instead of nails 72
have crept through the grass 44
have cried myself to sleep 365
have daily kissed the cross 51
have drawn closer the bonds 70
have earned enough to cover 43
have echoed around the world 81
have echoed through the world 66
have either acidic or basic 95
have either before or after 117
have either higher or lower 190
have ended before it began 188
have ended sooner or later 60
have equal access to basic 143
have equal access to equal 51
have equal access to every 101
have equal access to goods 58
have equal access to housing 99
have equal access to learning 103
have equal access to legal 75
have equal access to power 263
have equal access to social 142
have equal access to state 139
have equal access to trade 47
have equal access to water 129
have equal rights in civil 50
have equal rights in every 95
have equal rights in terms 325
have equal rights to elect 237
have equal rights to enjoy 47
have equal rights to exist 54
have equal rights to human 76
have equal rights to share 90
have equal rights to trade 372
have equal status in terms 45
have every chance of finding 48
have every chance of getting 251
have every chance of growing 50
have every chance of passing 253
have every chance of putting 46
have every chance of reaching 62
have every chance of winning 104
have every chance to prove 46
have every desire to avoid 44
have faded before the light 48
have fared better in terms 73
have fared better or worse 103
have fewer places in which 40
have fewer skills to offer 85
have filed proofs of claim 93
have fired without the order 67
have fixed places of abode 119
have flown around the world 118
have force enough to sweep 69
have found hidden in caves 40
have found myself at times 103
have found plenty of people 91
have found plenty of water 60
have found reasons to doubt 56
have found someone to marry 53
have found someone to share 68
have found something of value 175
have found something on which 43
have found something to laugh 65
have found something to which 42
have found something to write 50
have found traces of human 53
have found treason in trust 58
have found twenty or thirty 54
have found useful in getting 40
have found useful in helping 184
have found useful in teaching 221
have found useful in thinking 90
have found useful in treating 41
have found useful in working 94
have found useful in writing 117
have fully proven the error 40
have given convey the first 52
have given myself to jesus 208
have given notice in print 50
have given notice in writing 516
have given notice of appeal 101
have given orders to carry 74
have given orders to search 42
have given orders to shoot 77
have given plenty of scope 45
have given something of value 119
have given worlds to avoid 41
have given worlds to touch 57
have grown beyond the point 116
have grown beyond the stage 70
have knelt before the cross 81
have known before or since 120
have known dozens of people 74
have known enough of human 43
have known enough to avoid 74
have known hamlet to stalk 65
have known ladies at sixty 106
have known little of either 47
have known neither the place 137
have known plenty of women 42
have known scores of people 53
have known something of human 84
have known sooner or later 231
have known whereof he spoke 127
have known whether he would 42
have known whether it would 53
have known whether to laugh 50
have large blocks of stock 76
have large bodies of water 47
have large flocks of sheep 259
have large groups of people 105
have large sheets of paper 45
have large stocks of goods 69
have learning whereon to pride 49
have light enough to carry 48
have liked better to please 46
have lived before or after 54
have lived before or since 52
have lived before the flood 68
have lived through the first 199
have lived through the night 434
have lived through the ordeal 104
have lived through the period 396
have lived through the storm 162
have lived through the times 69
have lived through the whole 556
have lived through the worst 153
have lived twenty or thirty 85
have lived wholly to sense 41
have longer periods of sleep 46
have lower levels of blood 155
have lower levels of human 75
have lower levels of moral 46
have lower levels of serum 115
have lower levels of social 247
have lower levels of total 61
have lower levels of trust 95
