had abounding faith in the 50
had accrued prior to the 498
had accused some of the 82
had adapted some of the 61
had adapted well to the 392
had admired some of the 45
had adopted early in the 89
had adopted many of the 1277
had adopted more of the 61
had adopted most of the 304
had adopted much of the 365
had adopted none of the 78
had adopted part of the 70
had adopted prior to the 50
had adopted some of the 1129
had adopted those of the 53
had adopted three of the 65
had advance news of the 43
had advance word of the 81
had alarmed many of the 44
had alarmed some of the 114
had allowed many of the 165
had allowed mary to be 43
had allowed most of the 153
had allowed much of the 74
had allowed some of the 406
had alluded only to the 53
had altered many of the 57
had altered much in the 89
had altered some of the 176
had amassed wealth in the 71
had annexed most of the 93
had annexed much of the 42
had annexed part of the 45
had annoyed some of the 56
had anybody speak to me 69
had anybody talk to me 46
had appealed only to the 97
had appeared also in the 81
had appeared back in the 41
had appeared clad in the 44
had appeared early in the 478
had appeared early on the 41
had appeared even in the 126
had appeared from the sea 63
had appeared just as the 44
had appeared just at the 97
had appeared late in the 144
had appeared next to the 70
had appeared north of the 65
had appeared only at the 43
had appeared only in the 393
had appeared only on the 47
had appeared prior to the 215
had appeared there at the 59
had appeared there in the 167
had appeared there on the 68
had appeared west of the 62
had applied fire to the 53
had applied many of the 59
had applied only to the 497
had applied some of the 99
had aroused some of the 96
had arranged most of the 94
had arranged some of the 90
had arrived ahead of me 215
had arrived ahead of the 316
had arrived ahead of us 431
had arrived back at the 1460
had arrived back in the 525
had arrived back on the 121
had arrived back to the 42
had arrived early at the 377
had arrived early in the 1513
had arrived early on the 109
had arrived from the king 271
had arrived from the sea 83
had arrived here at the 194
had arrived here in the 191
had arrived here on the 150
had arrived home at the 53
had arrived home in the 211
had arrived home on the 94
had arrived just as he 177
had arrived just as the 588
had arrived just at the 369
had arrived just in the 236
had arrived late at the 472
had arrived late in the 1079
had arrived late on the 306
had arrived late to the 116
had arrived north of the 40
had arrived only at the 121
had arrived only in the 83
had arrived only on the 119
had arrived only to be 44
had arrived prior to the 148
had arrived safe at the 66
had arrived there at an 61
had arrived there at the 263
had arrived there by the 128
had arrived there in the 817
had arrived there on the 854
had assumed many of the 436
had assumed more of the 62
had assumed most of the 411
had assumed much of the 389
had assumed none of the 46
had assumed part of the 49
had assumed prior to the 52
had assumed some of the 462
had audibly said in the 72
had avoided many of the 89
had avoided most of the 131
had avoided much of the 80
had avoided some of the 121
had baffled some of the 50
had behaved well at the 93
had behaved well in the 269
had behaved well to me 74
had behaved well to the 56
had belonged once to the 52
had belonged only to the 232
had blasted away at the 60
had blocked most of the 79
had blocked some of the 53
had blurred some of the 40
had bounced back to the 51
had bounded back to the 42
had bounded over the sea 45
had briefly been in the 75
had brooded over in the 46
had brought along in my 89
had brought along in the 232
had brought along on the 274
had brought along to be 56
had brought along to the 223
had brought back in the 143
had brought back of the 125
had brought back on the 68
had brought back the king 170
