hair and beard flowing down 114
hair and clear brown eyes 97
hair and clear green eyes 66
hair and coal black eyes 72
hair and dark brown eyes 1898
hair and dark brown skin 124
hair and dark green eyes 170
hair and dark hazel eyes 74
hair and deep black eyes 129
hair and deep brown eyes 862
hair and deep green eyes 253
hair and deep violet eyes 59
hair and eager black eyes 63
hair and even white teeth 41
hair and face looking wild 95
hair and full black beard 77
hair and great black eyes 44
hair and great brown eyes 55
hair and huge black eyes 48
hair and huge brown eyes 220
hair and huge green eyes 46
hair and keen black eyes 58
hair and kind brown eyes 71
hair and other brush making 56
hair and pale brown eyes 45
hair and pale green eyes 231
hair and pale white skin 122
hair and soft black eyes 41
hair and soft brown eyes 1076
hair and soft green eyes 75
hair and soft hazel eyes 50
hair and some people have 44
hair and their faces were 41
hair and those green eyes 114
hair and very black eyes 134
hair and very light blue 59
hair and very light skin 59
hair and very white skin 230
hair and very white teeth 86
hair and warm brown eyes 363
hair and warm hazel eyes 67
hair and wide brown eyes 126
hair and wide green eyes 93
hair had been blown into 41
hair had been drawn back 242
hair had been piled high 64
hair had been running away 43
hair had been swept back 114
hair had been swept into 47
hair had been taken from 123
hair had been tamed into 94
hair had been teased into 85
hair had been woven into 55
hair had come loose from 1228
hair has come loose from 45
hair that kept falling down 52
hair that kept falling into 114
hair that kept falling over 247
hair was coming loose from 142
hair was hanging loose down 45
hair was just turning gray 60
hair was like curly silk 71
half and five miles from 40
half his face blown away 184
half his life erect upon 58
half than many people take 113
half that time would have 45
hall had been taken over 51
hand and flung miles away 63
hand and foot after foot 72
hand and foot bones were 71
hand and foot would have 62
hand and just stood there 50
hand and went groping down 128
hand and what looks like 45
hand and your right hand 289
hand but hers could drag 62
hand for over thirty years 85
hand for those times when 201
hand had been taken away 42
hand had been taken from 61
hand had been thrust into 61
hand has been taken away 112
hand her rosy cheek lies 93
hand him down looking like 82
hand out from under hers 376
hand out from under mine 129
hand than thine shall cure 44
hand that some would urge 74
hand two cows would cost 71
hand was torn loose from 48
hand with slow grace over 42
hand with your index finger 95
hand with your palms facing 172
hand with your right hand 639
hangs with vine leaves over 57
hard and caring about their 50
hard and fast about these 46
hard and fast growing rich 73
hard and fast lines from 47
hard and fast lines were 57
hard and fast rules from 51
hard and fast rules have 261
hard and fast rules here 476
hard and fast rules laid 184
hard and fast rules like 101
hard and fast rules were 233
hard and fast rules when 298
hard and fast rules will 76
hard and soft water areas 110
hard for their daily bread 820
hard that their spears were 41
hard with your right hand 61
hare and other small game 41
harm than good comes from 123
harm than good would come 206
harm than good would have 64
hast long been under trial 51
hast now made known unto 359
hating and fearing every living 155
hats with their large clear 45
have all along taken care 92
have all along tried their 47
have all been based upon 352
have all been beaten down 115
have all been blown away 101
have all been built upon 50
have all been drawn from 517
have all been drawn into 160
have all been drawn upon 141
have all been found here 50
have all been found there 52
have all been given away 51
have all been given their 66
have all been moved into 88
have all been pored over 78
have all been swept away 817
have all been taken away 436
have all been taken care 152
have all been taken down 221
have all been taken from 1380
have all been taken into 542
have all been taken over 504
have all been thrown away 98
have all been thrown down 293
have all been thrown into 191
have all been thrown open 48
have all been working hard 186
have all been working very 51
have all been woven into 93
have all come under fire 65
have all done betty wrong 59
have all lost loved ones 43
have all tears wiped away 50
have all tears wiped from 51
have all their beauty from 47
have all their lives been 902
have all their power from 62
have all these people been 60
have all these people come 266
have all these people coming 96
have all these people here 74
have all your dreams come 40
have all your lives been 57
have all your money back 125
have all your names here 124
have and those which have 271
have and what others have 55
have and will never have 240
have any clear notion what 88
have any clue about what 218
have any fears about your 53
have any good looks left 82
have any ideas about what 1749
have any life apart from 61
have any meaning apart from 261
have any more money left 78
have any more power over 152
have any other feeling left 53
have any other option left 40
have any very exact meaning 62
have bad news about your 47
have both been swept away 47
have both been taken from 63
have both been taken into 66
have both been thrown into 63
have but very vague ideas 44
have cut down every tree 45
have each been split into 56
have far less power over 42
have far more often been 71
