haired cavalier went out riding 73
halves separate from each other 116
hardly differed from each other 101
hardly disagree when they meet 43
hardly finished saying this when 72
hardly finished their meal when 49
hardly remember what they were 67
hardly surprise those who have 44
hardly surprising when you think 53
heavens directly over our heads 77
heifer sprinkling those who have 75
hereby declared null and void 2780
hereby rendered null and void 56
herein inserted word for word 163
hermit rejoiced when they were 70
hidden pitfalls were set very 153
hidden treasures early and late 71
higher education during this time 47
higher education have long been 51
higher education have not been 312
higher education more and more 63
higher education must not only 43
higher education there has been 132
higher interest rate and more 113
higher interest rate than other 128
higher interest rate than those 68
higher interest rate than what 120
higher interest rate than your 51
higher response rate than other 40
higher response rate than those 86
higher survival rate than those 335
highly educated young men from 43
highly finished line and wood 41
highly possible there was some 79
hinder brotherly love and good 59
hinder evidence from being laid 158
honest citizens lost all their 64
houses detached from each other 58
humble exertions have not been 76
hunter abstains from doing lest 55
