had accused certain men of 114
had adopted measures for the 104
had adorned herself with the 60
had adverse effects both on 45
had adverse effects for the 48
had aligned herself with the 191
had aligned himself with the 1484
had allowed himself for so 58
had allowed himself for the 52
had appeared against him in 171
had appeared seemingly out of 58
had aroused against him the 63
had aroused sympathy for the 40
had arranged everything for me 76
had arranged everything for my 67
had arranged everything for the 249
had arranged everything for us 43
had arranged everything with the 123
had arranged matters for the 50
had arranged matters with the 194
had arrayed against him the 199
had arrayed against them the 59
had arrayed herself for the 40
had arrayed himself for the 74
had arrived together with the 100
had assured congress that the 43
had assured herself that he 107
had assured herself that it 51
had assured herself that no 47
had assured herself that the 154
had assured himself and the 41
had assured himself that he 495
had assured himself that it 196
had assured himself that no 158
had assured himself that the 1123
had assured himself that we 90
had avoided contact with the 144
had behaved himself with the 118
had behaved towards him in 42
had betaken himself out of 43
had between himself and the 44
had blithely assumed that the 43
had briefly flirted with the 104
had brought against her as 47
had brought against her in 44
had brought against him in 184
had brought against him the 41
had brought against him to 67
had brought against them in 47
had brought clayton and the 44
had brought forward for the 86
had brought himself near to 60
had brought together all of 53
had brought together all the 558
had brought together for the 176
had brushed against her in 77
had brushed against one of 57
had charged herself with the 91
had charged himself with the 382
had checked herself out of 50
had checked himself out of 96
had chiefly induced him to 83
had closest contact with the 79
had covered herself with the 130
had covered himself with the 175
had damages allowed him to 49
had decided against doing so 93
had decided against going to 230
had decided against him in 121
had decided against using the 80
had defeated general lee at 46
had deluded herself with the 51
had deluded himself that he 61
had deluded himself with the 111
had deposed richard sat in 79
had devoted himself both in 49
had devoted himself for the 202
had devoted himself with an 107
had devoted himself with so 70
had devoted himself with the 75
had divided between them the 354
had dragged anchors with the 60
had dragged forward out of 92
had dragged herself out of 209
had dragged himself out of 360
had dressed herself and the 44
had dressed herself for the 125
had dressed himself for the 315
had dressed himself with the 58
had dropped himself out of 44
had endless trouble with the 115
had ensured respect for the 41
had entered college with the 76
had entered service with the 121
had everything against him as 47
had everything arranged for the 76
had excited against him the 71
had excited enabled him to 55
had excused himself for the 41
had exerted himself for the 158
had exerted himself with an 114
had existed between them as 145
had existed between them at 65
had existed between them in 253
had existed between them on 42
had existed betwixt them in 82
had falsely accused her of 147
had falsely accused him of 499
had falsely accused him to 41
had falsely accused them of 67
had falsely assumed that the 40
had familiar spirits and the 86
had fifteen hundred men at 90
had fifteen hundred men in 57
had fifteen hundred men on 51
had fifteen thousand men in 56
had finally allowed her to 115
had finally allowed him to 185
had finally arrived and the 115
had finally arrived for the 176
had finally arrived with the 44
had finally brought her to 170
had finally brought him to 345
had finally brought them to 156
had finally climbed out of 49
had finally decided her to 46
had finally decided him to 72
had finally decided not to 606
had finally decided that he 387
had finally decided that if 51
had finally decided that it 393
had finally decided that the 750
had finally decided that we 40
had finally drifted off to 201
had finally dropped off to 97
had finally dropped out of 59
had finally enabled him to 77
