hast already fulfilled the vision 146
have actual knowledge of facts 126
have almost completed the first 51
have almost exhausted the sense 45
have almost exhausted the whole 112
have almost forgotten the sound 48
have almost forgotten the taste 74
have already addressed the first 84
have already addressed the issue 185
have already attempted to point 198
have already attempted to prove 192
have already attempted to trace 43
have already commenced at paris 129
have already completed the first 289
have already described as forming 82
have already described at large 58
have already described in speaking 146
have already described in treating 68
have already described in which 41
have already described my first 41
have already described the basic 93
have already described the change 42
have already described the chief 52
have already described the elder 62
have already described the first 283
have already described the growth 45
have already described the major 70
have already described the method 273
have already described the scene 53
have already described the state 210
have already developed the habit 70
have already discussed in brief 45
have already discussed in terms 165
have already discussed in treating 49
have already discussed the basic 238
have already discussed the basis 40
have already discussed the blood 42
have already discussed the broad 60
have already discussed the cases 65
have already discussed the chief 87
have already discussed the close 57
have already discussed the danger 55
have already discussed the final 94
have already discussed the first 1329
have already discussed the growth 74
have already discussed the issue 290
have already discussed the kinds 43
have already discussed the large 44
have already discussed the legal 65
have already discussed the major 185
have already discussed the method 127
have already discussed the moral 44
have already discussed the notion 128
have already discussed the place 70
have already discussed the point 274
have already discussed the power 70
have already discussed the reason 90
have already discussed the roles 47
have already discussed the social 101
have already discussed the strong 57
have already discussed the terms 51
have already discussed the topic 47
have already discussed the types 74
have already discussed the value 236
have already endeavored to point 42
have already endeavored to prove 82
have already explained in speaking 44
have already explained my views 63
have already explained the cause 97
have already explained the first 63
have already explained the method 78
have already explained the reason 258
have already explained the sense 49
have already expressed my thanks 49
have already expressed my views 614
have already forgotten the first 49
have already imperiled the whole 47
have already indicated in passing 65
have already indicated in speaking 42
have already indicated my views 54
have already indicated the basic 64
have already indicated the chief 69
have already indicated the first 53
have already indicated the lines 53
have already indicated the method 41
have already indicated the reason 55
have already performed the first 43
have already persuaded the wiser 55
have already presented the reader 63
have already recounted the story 58
have already repudiated the notion 99
have already succeeded in creating 118
have already succeeded in forming 40
have already succeeded in gaining 53
have already succeeded in getting 165
have already succeeded in raising 71
have already succeeded in setting 54
have already succeeded in winning 42
have already suggested in passing 42
have already suggested the reason 45
have already undergone the first 44
have already witnessed the first 40
have already witnessed the happy 65
have always advocated the cause 52
have always attempted to avoid 40
have always championed the cause 44
have always cherished the right 69
have always dominated the field 44
have always endeavored to avoid 48
have always exercised the power 59
have always exercised the right 240
have always neglected to state 52
have always oppressed the poles 41
have always possessed the power 127
have always possessed the right 104
have always preferred to avoid 50
have always preferred to stand 79
have always regretted it since 48
have always succeeded in getting 150
have always succeeded in keeping 68
have always supported the cause 43
have always supported the party 40
have always supported the right 131
have amused themselves in copying 74
have another amendment to offer 110
have another suggestion to offer 53
have arisen throughout the world 113
have become available in large 63
have become available in which 80
have become available to allow 60
have become available to people 58
have become available to study 61
have become available to women 111
have become believers in jesus 53
have become dependent on drugs 88
have become dependent on others 139
have become dependent on state 41
have become disciples of jesus 43
have become followers of jesus 65
have become incarnate in jesus 59
have become necessary by reason 70
have become necessary in order 267
have become reluctant to grant 221
have become resistant to change 46
have become secretary of state 237
have before described in large 50
have before repudiated the notion 75
have better knowledge of local 106
have buried somewhere the opening 44
have buried themselves in books 45
have called themselves the people 71
have clothed themselves in white 103
have created conditions in which 430
have created situations in which 196
have direct relevance to human 44
have effect throughout the whole 67
have enough ammunition to fight 57
have enough insurance to cover 189
have enough knowledge of human 49
have enough knowledge to solve 41
have enough knowledge to start 41
