had able enemies and feeble 109
had also invited his cousin 70
had also started his career 70
had been accused long before 41
had been adopted and avowed 63
had been adopted and become 55
had been adopted and raised 195
had been adopted and signed 77
had been adopted long before 432
had been adopted with little 46
had been adopted with regard 264
had been adorned with marble 103
had been against him lately 47
had been against his better 56
had been alerted that something 40
had been allayed for dorothea 71
had been alleged and proved 63
had been alloyed with silver 47
had been applied for before 41
had been applied long before 224
had been applied with almost 41
had been aroused long before 127
had been arranged and agreed 62
had been arranged and packed 78
had been arranged for august 66
had been arranged for before 81
had been arranged for sunday 93
had been arranged long before 586
had been arranged she should 58
had been arranged that another 57
had been arranged that before 102
had been arranged that carson 76
had been arranged that ernest 48
had been arranged that farmer 51
had been arranged that france 76
had been arranged they called 42
had been arranged they should 105
had been arranged with england 50
had been arranged with france 48
had been assisting two ladies 58
had been attending our church 63
had been beheaded for incest 46
had been beheaded for treason 103
had been between them before 278
had been bleached and ironed 150
had been blended and melted 72
had been blessed with another 92
had been blessed with better 92
had been blessed with common 59
had been blessed with enough 71
had been blessed with plenty 42
had been blocked with fallen 51
had been blocked with stones 71
had been branded with infamy 124
had been briefed and argued 70
had been brought and placed 119
had been brought for safety 46
had been brought long before 42
had been brought near enough 109
had been brought out before 217
had been brought out earlier 51
had been brought out through 51
had been bruised and broken 110
had been brushed and combed 116
had been carried all around 60
had been carried and placed 86
had been carried far beyond 150
had been carried far enough 1800
had been carried for safety 90
had been carried off before 198
had been carried off bodily 72
had been carried off except 50
had been carried off through 45
had been carried off without 128
had been carried out across 56
had been carried out almost 241
had been carried out already 139
had been carried out before 2540
had been carried out behind 80
had been carried out beyond 56
had been carried out earlier 828
had been carried out except 40
had been carried out fairly 90
had been carried out inside 45
had been carried out mainly 210
had been carried out merely 46
had been carried out mostly 47
had been carried out partly 44
had been carried out solely 80
had been carried out through 1379
had been carried out without 1837
had been cautious and crafty 93
had been certain that something 40
had been charged and proved 43
had been charged with another 51
had been charged with atheism 50
had been charged with building 125
had been charged with carrying 161
had been charged with crimes 356
