he but funk and precautions 94
he can feel and understand 118
he can find any difficulty 56
he can from his experience 60
he can give any information 70
he can have any experience 42
he can have this experience 82
he can hope for sentiments 91
he can keep his resolutions 161
he can keep his tablecloths 44
he can know and understand 49
he can look with confidence 50
he can make his characters 123
he can make his observation 56
he can make one individual 58
he can make them understand 61
he can make this distinction 51
he can meet all applicable 125
he can meet his obligations 87
he can only with difficulty 223
he can reach his destination 146
he can rely with confidence 42
he can roll his principles 60
he can speak and understand 96
he can speak with confidence 57
he can trim his principles 62
he can turn for assistance 60
he can turn for information 48
he can turn with confidence 43
he did find her attractive 73
he did know and understand 42
he did know was sufficient 44
he did what his conscience 53
he did what was equivalent 50
he goes into that conference 45
he got from his grandfather 77
he got from his grandmother 40
he got home and discovered 49
he got home with difficulty 49
he got into any difficulty 62
he got into his automobile 80
he got over that difficulty 51
he got over this difficulty 91
he had also had experience 58
he had among his attendants 96
he had been doing frequently 42
he had been her accomplice 115
he had been her unrewarded 42
he had been his particular 47
he had been his playfellow 40
he had been long accustomed 1007
he had been long acquainted 458
he had been long conversant 92
he had been long disordered 55
he had been long habituated 46
he had been long insensibly 40
he had been lying unconscious 125
he had been lying unobserved 61
he had been thus superseded 54
he had been too aggressive 57
he had been too complacent 49
he had been too distracted 126
he had been too enthusiastic 63
he had been too frightened 574
he had been too optimistic 326
he had been too peremptory 94
he had been too preoccupied 1370
he had been too republican 46
he had been too scrupulous 127
he had been too successful 271
he had been with difficulty 296
he had come was impossible 62
he had done and apologized 53
he had done and sacrificed 97
he had done for literature 43
he had done his declaration 52
he had done his lieutenant 69
he had ever had difficulty 53
he had ever had experience 52
he had faith and confidence 66
he had felt any inclination 90
he had fled for concealment 50
he had from his grandfather 134
he had good and sufficient 238
he had gout and rheumatism 58
he had great and substantial 57
he had heard and recognized 116
he had heard and remembered 94
he had heard and understood 1344
he had heard him frequently 68
he had heard his grandfather 636
he had heard his grandmother 174
he had heard this description 49
he had heard this particular 40
he had held with distinction 105
he had just now discovered 67
he had just then discovered 67
he had kept his conscience 44
he had kept this information 43
he had laid his foundations 40
he had left his cigarettes 74
he had left his employment 112
he had left his encampment 40
he had left his fingerprints 65
he had left his footprints 74
he had left his grandfather 89
he had left his manuscript 58
he had left his motorcycle 55
he had left his portmanteau 103
he had left his sentiments 41
he had left his spectacles 203
he had left that institution 47
he had lost all confidence 1080
he had lost all inclination 52
he had lost all popularity 41
he had lost his confidence 502
he had lost his employment 102
he had lost his fellowship 46
he had lost his government 49
he had lost his importance 61
he had lost his inclination 78
he had lost his livelihood 53
he had lost his manuscript 42
