hack and hew and carry 63
hair all wet and stuck 47
hair and all that stuff 43
hair and beat her breast 272
hair and beat his breast 88
hair and cut his throat 52
hair and ears that stuck 52
hair and her big brown 43
hair and his long white 52
hair and long for balls 170
hair and put her hands 40
hair and ran her fingers 218
hair and ran her hands 47
hair and ran his fingers 243
hair and ran his hands 58
hair cut and his nails 49
hair for men and women 89
hair had not yet begun 69
hair had not yet grown 104
hair hung long and loose 213
hair off with his knife 42
hair out with both hands 43
hair out with her fingers 75
hair out with his fingers 54
hair that did not quite 140
hair that had not quite 183
hair that she had given 113
hair that was cut short 222
hair that was not quite 221
hair was cut off close 140
hair was cut real short 40
hair was cut too short 119
hair was her one beauty 202
hair was long and black 3380
hair was long and blond 634
hair was long and brown 490
hair was long and bushy 502
hair was long and curling 42
hair was long and curly 914
hair was long and dirty 101
hair was long and flowing 357
hair was long and greasy 176
hair was long and light 53
hair was long and loose 618
hair was long and shining 85
hair was long and shiny 232
hair was long and silky 487
hair was long and smooth 77
hair was long and stringy 536
hair was long and white 468
hair was not cut short 49
hair was now cut short 103
hair was red and curly 148
hair was thin and graying 42
hair was thin and stringy 46
hair was thin and white 351
hair was thin and wispy 79
hair was wet and shiny 42
hair was wet and stringy 238
hair was wet and stuck 48
hair was wet with blood 66
hair was with her still 42
hair with all his might 41
hair with all ten fingers 46
hair with both her hands 358
hair with both his hands 322
hair with her long fingers 91
hair with her own hands 305
hair with her thin fingers 46
hair with her thin white 88
hair with her two hands 64
hair with his long fingers 82
hair with his own hands 278
hale old man who drove 55
half and put one piece 43
half and see her whole 43
half can read and write 45
half his age and twice 255
half his head was blown 64
half long and one broad 50
half mad and all brute 90
half pay for all hours 190
half that does not bother 53
half that sum for every 66
half way now she meets 51
half year but one after 41
hall and why his father 47
hall for men and women 278
hall one day and asked 56
hall she met her father 57
hall was hot and close 49
hall was hung with black 72
hand all art doth stand 48
hand and arm are moved 51
hand and arm are still 56
hand and arm with which 89
hand and can not write 46
hand and cut his throat 49
hand and did not allow 172
hand and eye and brain 211
hand and for this reason 107
hand and hear her voice 85
hand and hear his voice 48
hand and his bow which 40
hand and his head bowed 65
hand and led her round 145
hand and led him about 54
hand and led him aside 63
hand and let her fingers 104
hand and let his fingers 118
hand and let them serve 223
hand and men and women 47
hand and one eye bound 43
hand and put her fingers 47
hand and put her right 100
hand and put his fingers 66
hand and put his right 305
hand and ran her fingers 260
hand and ran his fingers 367
hand and seal and shall 308
hand and seal this eighth 250
hand and seal this first 342
hand and seal this fourth 183
hand and seal this thirty 104
hand and see all sorts 59
hand and she was looking 53
hand and that she could 56
hand and that she would 115
hand and that they would 91
hand and then her cheek 96
