he all along grounds his 68
he and four hundred men 86
he and lady gregory are 40
he and lady gregory had 76
he and other bishops had 50
he and other friends had 61
he and other members had 78
he and other priests had 56
he and other writers had 60
he and some buddies had 46
he and some friends got 57
he and some friends had 832
he and three friends had 113
he and three friends set 43
he any good grounds for 45
he bear arms against his 41
he beat some scholar for 46
he being well assured that 84
he but have carried his 49
he but once reflect that 90
he can ally himself with 129
he can also believe that 43
he can best achieve his 69
he can best express his 137
he can best fulfill his 55
he can best promote his 55
he can best satisfy his 42
he can clear himself with 54
he can even explain his 44
he can feed himself and 99
he can feed himself for 122
he can feed himself with 76
he can feel assured that 290
he can feel certain that 96
he can find comfort and 49
he can find himself and 66
he can find leisure for 79
he can find occasion for 46
he can find support for 55
he can help himself all 54
he can help himself and 128
he can keep himself out 113
he can know himself and 70
he can lift himself out 120
he can live happily and 52
he can look forward with 193
he can lose himself and 96
he can make capital out 92
he can make certain that 174
he can make choices and 72
he can make contact with 332
he can make friends with 70
he can make himself and 74
he can make himself six 43
he can make maximum use 42
he can make several new 164
he can make trouble for 62
he can move forward with 51
he can only account for 251
he can only achieve his 82
he can only achieve this 124
he can only acquire this 52
he can only believe that 135
he can only deceive his 58
he can only express his 437
he can only express that 118
he can only gladden our 61
he can only imagine that 159
he can only observe and 99
he can only promise that 88
he can only recover for 92
he can only recover his 67
he can only respond with 84
he can only satisfy his 126
he can only signify his 66
he can only suggest that 284
he can only suppose that 152
he can pass himself off 91
he can pull himself out 196
he can rest assured that 2021
he can rest content with 48
he can save himself and 147
he can take himself off 76
he can talk himself out 105
he can tell exactly how 71
he can tell himself that 430
he can tell himself this 46
he can throw himself with 48
he can want sailors for 43
he can work closely with 57
he cut these portions was 82
he did also shorten and 59
he did busy himself with 42
he did ever prevail and 43
he did feel strongly that 91
he did good service and 139
he did good service both 53
he did good service for 210
he did great wonders and 191
he did have contact with 97
he did have trouble with 81
he did look towards her 120
he did make contact with 108
he did make friends with 84
he did many foolish things 49
he did many notable things 87
he did more listening than 61
he did more perhaps than 80
he did much against his 79
he did nothing towards her 49
he did some research and 70
he did tell himself that 51
he did work closely with 62
he does have trouble with 49
he does nothing against his 44
he fed five thousand men 113
he for whom mankind has 42
he get into trouble for 46
he get into trouble with 98
he goes away believing that 69
he got back together with 77
he got hurt oftener than 62
he got into contact with 201
he got into trouble and 561
he got into trouble for 898
he got into trouble was 56
he got into trouble with 2769
he got more pleasure out 65
he got very excited and 266
he got very nervous and 46
he had able enemies and 108
he had also applied for 82
he had also arranged for 150
he had also assumed that 54
he had also brought his 78
he had also brought out 135
he had also brought with 245
he had also carried his 50
he had also carried off 59
he had also carried out 92
he had also claimed that 102
he had also decided that 374
he had also ensured that 120
he had also invited his 96
he had also noticed that 498
he had also ordered that 114
he had also pointed out 511
he had also realized that 364
he had also studied with 98
he had also written and 83
he had also written for 77
he had also written her 40
he had also written his 73
he had also written that 185
he had also written two 94
he had been accused and 198
he had been adamant that 255
he had been admired and 128
he had been admired for 83
he had been adopted and 201
he had been adorned with 77
he had been advancing for 53
he had been advancing with 59
he had been advised and 125
he had been advised not 504
he had been advised that 3660
he had been advised was 51
he had been against her 75
he had been against him 43
he had been against his 97
he had been against that 125
he had been against this 64
he had been agitating for 137
he had been alarmed and 87
he had been alerted that 42
he had been allowed and 48
he had been allowed for 49
he had been allowed his 184
he had been allowed out 226
he had been amerced for 50
he had been annoyed and 126
he had been annoyed that 127
he had been annoyed with 188
he had been aroused and 46
he had been ashamed and 48
he had been ashamed that 42
he had been assisting his 77
he had been assured that 9034
he had been assured they 63
he had been assured was 274
he had been attacking for 109
he had been attending and 111
he had been attending for 144
he had been attending him 42
he had been attending his 59
he had been awarded and 45
he had been awarded both 41
he had been awarded for 322
he had been awarded his 350
he had been awarded one 139
he had been awarded two 70
he had been awkward and 46
he had been baffled and 88
he had been believing and 41
he had been beloved and 93
he had been besieging for 62
he had been blessed and 113
he had been blessed with 4615
he had been blinded and 125
he had been blinded with 58
he had been boarded and 53
he had been boarded off 99
he had been bothered with 250
he had been branded with 137
he had been briefed and 42
he had been briefed for 42
he had been briefed that 86
he had been brought all 59
he had been brought and 125
he had been brought for 197
he had been brought low 385
he had been brought near 52
he had been brought out 968
he had been brought thus 56
he had been brought was 109
he had been brought with 119
he had been bruised and 70
he had been brushed off 58
he had been brusque and 49
he had been bullied and 99
he had been bundled out 41
he had been careful and 128
he had been careful not 1989
he had been careful that 108
he had been careful with 69
he had been carousing with 48
he had been carried and 129
he had been carried far 97
he had been carried for 79
he had been carried off 4035
he had been carried out 1128
he had been cautious and 237
he had been cautious with 48
he had been certain she 146
he had been certain that 2626
he had been chained and 73
he had been chained for 61
he had been charged and 283
he had been charged for 225
he had been charged was 116
he had been charged with 8032
he had been charmed and 45
he had been charmed with 123
he had been cheapening for 61
he had been checked and 77
he had been checked for 40
he had been checked out 177
he had been cheered and 71
he had been clamoring for 47
he had been clenching his 58
he had been clutching and 53
he had been clutching his 41
he had been coached for 43
he had been communing with 172
he had been competing with 49
he had been compiling for 77
he had been composing all 101
he had been composing and 40
he had been composing for 130
he had been composing his 52
he had been concealing his 45
he had been content and 44
he had been content for 57
he had been content that 83
he had been content with 2146
he had been correct all 161
he had been correct and 60
he had been counsel for 315
he had been counted out 245
he had been courted and 189
he had been covered with 335
he had been crammed with 46
he had been crouching and 60
he had been crowded out 48
he had been crowned and 210
he had been crowned with 239
he had been cruelly and 82
he had been cruelly put 41
he had been crushed and 57
he had been dazzled and 47
he had been deceiving her 145
he had been deceiving them 74
he had been declaring that 47
he had been declining for 64
he had been decoyed with 88
he had been defeated and 932
he had been defeated for 608
he had been defending her 40
he had been defending his 105
he had been delayed and 199
he had been delayed for 128
