had an ailing wife and 77
had an angel been his 127
had an angry word with 68
had an army more than 45
had an army ready for 49
had an aunt like that 181
had an aunt once who 79
had an eager mind and 46
had an early love for 134
had an edge over all 54
had an edge over his 88
had an edge over its 52
had an edge over them 40
had an even more far 195
had an evil look and 112
had an evil name for 52
had an iron roof and 56
had an iron will and 391
had an iron will that 157
had an odds ratio for 76
had an ongoing feud with 130
had an open door and 99
had an open door for 167
had an open face and 125
had an open face with 50
had an open fire and 52
had an open hand for 86
had an open heart and 116
had an open heart for 41
had an open mind and 797
had an open mind for 210
had an oval face and 225
had an oval face with 288
had an ugly face and 65
had an ugly side for 70
had as good have had 42
had as good leave his 71
had as good leave off 175
had as good left for 256
had as good pull out 54
had as good want them 105
had as lief take her 42
had as much bread and 70
had as much care and 54
had as much care for 47
had as much fire and 102
had as much food and 40
had as much less for 43
had as much life and 78
had as much love for 334
had as much luck with 52
had as much meaning for 72
had as much need for 155
had as much time and 90
had as much time for 293
had as much time with 40
had as much true wit 97
had as much truth and 65
had as their goal not 88
had as their main aim 145
had as their sole aim 45
had as well fold our 91
had at four years old 41
had at last been cut 83
had at last been got 197
had at last been let 119
had at last been met 125
had at last been put 584
had at last been run 60
had at last been set 332
had at last been too 74
had at last been won 412
had at last cast off 268
had at last come and 130
had at last come for 901
had at last come out 1086
had at last come with 67
had at last done all 73
had at last done and 85
had at last done for 58
had at last done its 56
had at last done with 76
had at last gone off 113
had at last gone out 336
had at last gone too 137
had at last heard that 41
had at last left her 75
had at last left him 165
had at last left his 55
had at last left them 81
had at last lost all 88
had at last lost his 89
had at last lost its 105
had at last made her 202
had at last made him 223
had at last made his 558
had at last made its 196
had at last made them 66
had at last paid off 176
had at last said that 50
had at last seen fit 45
had at last seen her 42
had at last seen his 116
had at last seen that 147
had at last sent him 54
had at last told her 72
had at last told him 92
had at last worn out 78
had at least been his 48
had at least been men 99
had at least been near 48
had at least been one 127
had at least been put 89
had at least come out 43
had at least done all 90
had at least done her 52
had at least done him 71
had at least done his 220
had at least done one 194
had at least done that 263
had at least done this 50
had at least four and 62
had at least four men 40
had at least half that 112
had at least held his 62
had at least held out 43
had at least kept her 92
had at least kept him 72
had at least kept his 137
had at least kept one 57
had at least left her 64
had at least left him 80
had at least made her 113
had at least made him 211
had at least made his 91
had at least made one 91
had at least more than 42
had at least once had 56
had at least paid lip 172
had at least seen her 106
had at least seen him 106
had at least seen his 57
had at least seen that 145
had at least some idea 484
had at least some one 54
had at least some say 102
had at least these two 64
had at least three and 107
had at least three men 74
had at least three things 108
had at least told her 42
had at length been put 61
