had adored and adore what 83
had agreed with every word 43
had already had ample time 79
had already long since been 266
had already long since come 73
had already read every book 41
had already set about some 50
had always had close ties 105
had always had strong ties 41
had another and still more 350
had another son whose name 41
had another try about three 60
had argued that human beings 100
had argued that women were 194
had arisen and stood gazing 46
had around them never less 44
had become her right hand 47
had become her whole life 122
had become his right hand 72
had become his whole life 140
had become one solid mass 50
had become ten times more 42
had before put paris into 64
had before that period been 65
had before this period been 54
had behind him thirty years 56
had better lay aside your 47
had better not count upon 62
had better not enter into 157
had better not enter upon 83
had better not marry their 62
had better not order your 41
had better not shoot their 87
had better not waste time 115
had better not waste your 68
had beyond all doubt been 45
had bitten his tongue when 42
had bitten off rather more 44
had bought and moved into 120
had bought for forty sous 51
had bought his house from 40
had bought that morning from 43
had bought this house from 46
had bought with money from 45
had brains and would come 110
had broken and spent these 57
had broken his right hand 139
had buried his first wife 148
had buried his puppy fangs 42
had burned his draft card 155
had burned his house down 105
had called and would call 77
had called and would like 53
had called her mother from 59
had called him father more 54
had called this place home 59
had carved his hopes years 51
had caught and could keep 43
had caught his first fish 79
had caused his father much 42
had caused his first wife 44
had caused two world wars 71
had changed and people were 56
had changed her first name 64
had changed her whole life 479
had changed his first name 140
had changed his given name 45
had changed his title from 84
had changed his whole life 541
had changed its title from 43
had chosen his place well 50
had chosen his words well 52
had chosen they might have 43
had cleared his throat drew 85
had closed his tired eyes 46
had created all human beings 42
had created and which were 46
had created this alarm among 77
had dashed its spray over 70
had dipped his fingers into 58
had dipped his hands into 49
had dipped his sponge into 49
had dogged her every step 55
had dogged his steps from 72
had driven all night from 171
had driven her father away 57
had driven her mother from 49
had driven his father away 50
had driven his father from 114
had driven his father into 74
had driven his first wife 46
had driven his point home 49
had driven that point home 56
had driven two hours from 41
had failed and would fail 71
had failed and would have 82
had failed its first test 101
had fallen far below their 94
had fallen far below those 42
had fallen far below what 54
had fallen for seven runs 44
had fallen head first into 98
had fasted for forty days 331
had fasted for seven days 96
had felled its mates were 136
had filled her apron full 81
had filled her whole life 62
had filled with water from 128
had folded her hands over 54
had folded him round like 88
had folded his hands over 52
had formed had never been 108
had formed his first band 63
had formed his style upon 387
had fought for eight years 59
had fought for fifty years 70
had fought for forty years 62
had fought for seven years 110
had fought for thirty years 142
had fought him every step 60
had fought his whole life 57
had fought two world wars 107
had gained her whole heart 79
had gained him entry into 42
had gained his first great 59
had gotten her hooks into 41
had gotten his money back 40
had ground him beneath their 51
had guided her power well 46
had halted his party till 87
had hardly any money left 216
had hardly any voice left 67
had hardly then begun their 43
had helped her mother make 109
had helped his father clear 44
had helped them build their 41
had helped they might have 119
had hidden his shining face 51
had higher death rates from 137
had issued his first call 65
had joined her party told 44
had jumped his horse over 73
had killed and never seen 118
had killed and thrown into 43
had killed and would kill 71
had killed his father when 56
had killed his first deer 108
had killed his first wife 255
had kissed her hands only 52
had kissed him forty years 52
had kissed his mother good 109
had landed that morning from 74
had lasted for about five 64
had lasted for about four 51
had lasted for about half 194
had lasted for about three 290
had lasted for eight days 61
had lasted for eight years 223
had lasted for fifty years 121
had lasted for forty years 171
had lasted for nearly five 94
had lasted for nearly four 297
had lasted for nearly half 275
had lasted for nearly three 452
had lasted for quite some 45
had lasted for rather more 41
had lasted for seven years 368
had lasted for sixty years 102
had lasted for thirty years 259
had lasted two months when 40
had learned his craft from 218
had learned his craft well 61
had learned his skill from 41
had learned his trade during 57
had learned his trade from 434
had learned his trade well 138
had learned that morning from 97
had learned that people were 108
had learned that trick from 60
had learned this method from 46
had learned this trick from 129
had lifted his right foot 52
had little idea about what 463
had little idea where their 46
had little idea would give 71
had little real power over 89
had little say about what 88
had looked and acted like 47
had looked that first time 49
had looked that morning when 49
had looked that night when 46
had looked with favor upon 306
had marked her whole life 51
had marked his first work 83
had marked his whole life 167
had opened her front door 104
had opened his first shop 51
had opened his front door 106
had opened his whole heart 72
had opened his whole soul 65
had opened its doors only 225
had opened its doors wide 56
had parted that morning from 71
had passed and people were 45
had passed and still there 260
had passed her driving test 119
had passed her first test 59
had passed her first youth 128
had passed her whole life 297
had passed him nearly half 62
had passed his driving test 106
had passed his first test 179
had passed his first youth 63
had passed his hands over 68
had passed his royal word 64
had passed his table into 67
had passed his whole life 2066
had passed his whole time 43
had passed its first reading 259
had passed its first test 202
had passed its first youth 61
had passed its zenith when 59
had passed one night there 95
had passed that point from 89
had passed them about noon 42
had passed they would have 72
had passed two whole years 77
had pinned his hopes upon 44
had placed her hands over 40
had placed his hands over 67
had placed his hands upon 135
had placed his right foot 48
had placed his right hand 105
had plasma and liver drug 73
had played and would play 41
had played her cards well 232
had played her trump card 127
had played his cards very 65
had played his cards well 448
had played his first game 64
had played his first move 59
had played his small part 47
had played his trump card 309
had played its trump card 52
had played this trick upon 65
had pleased you might have 66
had plunged head first into 75
had plunged his hands into 58
had plunged his knife into 92
had plunged his sword into 46
had posted his whole army 66
had poured ice water down 45
had poured its stream into 71
had poured out every drop 116
had proved that women were 53
had proved they could hold 43
had pulled his chair away 43
had pulled his pants down 63
had pulled out every stop 44
had pushed her chair back 135
had pushed her plate away 71
had pushed his chair away 95
had pushed his chair back 481
had pushed his flank back 43
had pushed his plate away 106
had raised and spent more 88
had raised her white face 59
had raised his nation from 63
had raised his right hand 208
had reached its final form 471
had reached its first great 48
had reached its zenith during 176
had reached its zenith when 215
had reached that coast early 56
had reached that period when 54
had reached that place from 45
had reached that place three 51
had reached that point when 401
had reached that stage when 398
had reached that state when 42
had reached this point from 44
had reached this point when 1037
had reached this stage when 497
had reached this state when 44
had ridden all night from 81
had ridden his horse hard 50
had ridden his horse into 188
had ridden his horse over 65
had sailed his boats there 47
had scarce any hopes ever 68
had scarce any money left 87
had seemed all right when 56
had seized and taken away 91
had seized his right hand 46
had served for eight years 676
had served for fifty years 215
had served for forty years 245
had served for nearly three 88
had served for seven years 635
had served for thirty years 601
had served his father these 50
had served his father well 101
had served his first term 88
had served his party well 99
had served his people well 74
had served his seven years 162
had shaped his whole life 67
had shared for thirty years 44
had shared her pitying love 69
had shaved her pubic hair 75
had shoved his chair back 64
had shoved his hands into 64
had simply not known what 85
had smoked for thirty years 58
had smoked his evening pipe 60
had someone she could talk 103
had someone who could help 67
had someone who could take 57
had something she would like 86
had something that could help 44
had something that might have 56
had something that might help 54
had something that would help 87
had something that would make 130
had something that would work 46
had sought and found help 125
had sought and found their 66
had spoken for forty years 57
had spoken she would have 58
had spoken was quite true 43
had staked his whole life 45
had stayed she would have 52
had stayed they would have 52
had stolen her voice from 126
had strewn its decay upon 81
had struck his first blow 121
had struck his roots deep 41
had struck its first blow 148
had struck its roots deep 620
had struck its roots into 207
had talked for about half 134
had talked her father into 85
had talked her mother into 77
had talked his father into 127
had talked his mother into 62
had tasted her sweet body 552
had taught for eight years 90
had taught for forty years 127
had taught for seven years 126
had taught for thirty years 141
had taught her about life 81
had taught her about love 48
had taught him about life 63
had taught him every kind 41
had taught him would give 50
had thought and acted like 41
had thought his words idle 117
had thought out every move 87
had thought she could have 56
had thought she could live 72
had thought she could make 67
had thought she might find 67
had thought she might have 313
had thought she might need 44
had thought she might take 52
had thought she might want 51
had thought she would come 123
had thought she would fall 44
had thought she would feel 146
had thought she would find 97
had thought she would give 48
had thought she would hate 44
had thought she would have 566
had thought she would like 204
had thought she would live 44
had thought she would make 45
had thought she would meet 50
had thought she would need 47
had thought she would take 59
had thought she would want 47
had thought that fancy true 67
had thought that would have 72
had thought they could have 91
had thought they could make 59
had thought they could take 53
had thought they might have 177
had thought they would come 94
had thought they would find 75
had thought they would give 43
had thought they would have 450
had thought they would lose 49
had thought they would make 62
had thought they would take 57
had thought you might have 86
had thought you would come 53
had thought you would have 451
had through his whole life 48
had tilted his chair back 106
had tipped his chair back 53
had toiled for thirty years 49
had treated his first wife 99
had treated this woman very 56
had treated with scorn those 108
had turned and headed back 84
had turned her house into 107
had turned her whole life 40
had turned him again into 45
had turned him aside from 55
had turned his broad back 40
had turned his chair away 40
had turned his father into 55
had turned his horse over 47
had turned his house into 179
had turned his naked back 115
had turned his smiling eyes 52
had turned his whole life 56
had turned our backs upon 189
had turned out every other 52
had turned out quite well 428
had turned out rather more 96
had turned out rather well 121
had turned out really well 45
had turned this place into 43
had twenty and thirty years 63
had waited for eight years 58
had waited for forty years 50
had waited for nearly three 48
had waited for seven years 54
had waited her whole life 153
had waited his whole life 143
had waited they would have 51
had waited with bated breath 97
had waived that right during 127
had walked for about half 228
had walked for about three 99
had walked for nearly half 44
had walked that morning from 56
had walked two miles from 61
had walked with lofty port 44
had wanted they could have 42
had warned her about such 84
had warned him about what 58
had washed his whole body 49
had washed our decks down 51
had wasted his whole life 51
had wished she could have 117
had wished they could have 70
had without any doubt been 52
had worked and lived there 99
had worked for about three 54
had worked for eight years 574
had worked for fifty years 90
had worked for forty years 411
had worked for nearly half 41
had worked for nearly three 151
had worked for seven years 735
had worked for sixty years 59
had worked for thirty years 670
had worked her whole life 88
had worked him rather hard 42
had worked his whole life 250
had worked out quite well 130
had worked out rather well 62
had worked with lenin during 67
hang around and watch what 42
hang around with people like 98
has already long since been 76
has already that sweet look 117
has always had close ties 246
has always had power over 65
has always had strong ties 101
has another and still more 42
has argued that human beings 120
has argued that people have 48
has argued that while there 120
has argued that women have 124
has argued that women were 74
has argued this point most 56
has become bad after having 42
has become not yours only 143
has become one which many 44
has become our daily bread 97
has become ten times more 183
has broken ten times over 98
has changed and grown over 74
has changed his whole life 118
has changed its focus from 209
has changed its state from 56
has chosen his themes among 40
has chosen one calling from 46
has clanged and faded from 554
has created all human beings 103
has created for human life 52
has doomed that shock must 71
has driven her wheel over 72
has driven its first nail 153
has driven this point home 53
has failed and never will 41
has failed for thirty days 159
has fasted for forty days 42
has filled all human life 55
has filled her whole life 44
has filled his world full 44
has formed his style from 158
has formed his taste upon 40
has fought two major wars 60
has fought two world wars 57
has gotten his booty when 45
has guided its every atom 101
has indeed long since been 97
has lasted for eight years 140
has lasted for fifty years 98
has lasted for forty years 110
has lasted for nearly four 189
has lasted for nearly half 48
has lasted for nearly three 56
has lasted for seven years 104
has lasted for sixty years 51
has lasted for thirty years 163
has learned his trade from 45
has learned his trade well 41
has lifted her white arms 102
has little idea about what 57
has looked with favor upon 149
has opened can alone show 65
has opened its doors wide 72
has passed her first youth 81
has passed her whole life 99
has passed his driving test 41
has passed his whole life 639
has passed its first reading 141
has passed its first test 77
has passed six months among 45
has passed this faint line 55
has peopled this gothic city 92
has placed his right hand 104
has placed its author among 44
has placed its stamp upon 66
has placed them above care 41
has placed them above other 43
has played her cards well 106
has played his cards very 44
has played his cards well 329
has plunged his sword into 49
has poured her whole self 47
has poured his blood into 53
has proved its value many 40
has proved its value over 122
has proved that people will 99
has proven its value over 56
has pulled his cloak over 46
has raised his right hand 117
has raised you above your 67
has ranked them under three 68
has reached its adult form 51
has reached its adult size 127
has reached its final form 402
has reached its final goal 190
has reached its final length 42
has reached its final size 163
has reached its final term 112
has reached that point there 97
has reached that point when 132
has reached that stage when 131
has reached this point will 83
has reached this stage when 52
has reached this stage will 66
has reached this state will 46
has regard for others take 49
has served for eight years 94
has served for fifty years 83
has served for forty years 51
has served for seven years 82
has served for thirty years 141
has served his party well 51
has served our nation well 74
has served that trade will 42
has served this nation well 169
has shared our morning days 81
has signed and sealed these 77
has something she would like 65
has something that looks like 89
has something that would keep 58
has something they would like 54
has staked his whole life 90
has stated that women make 79
has stated this point very 63
has struck her father most 54
has struck his hoofs into 76
has struck its roots deep 1370
has struck its roots into 180
has struck out shall have 74
has taught for eight years 53
has taught for seven years 66
has taught for thirty years 105
has turned her broad back 67
has turned her chair away 68
has turned his house into 81
has turned our world into 45
has turned out quite well 183
has turned out rather more 420
has turned out rather well 78
has turned this place into 41
has washed his sooty face 203
has wasted his whole life 122
has without any doubt been 91
has worked for eight years 142
has worked for fifty years 101
has worked for forty years 160
has worked for seven years 157
has worked for thirty years 267
has worked his whole life 94
has worked out quite well 572
has worked out rather well 89
has worked out really well 72
has worked with human beings 42
has worked with people from 41
hath fallen they drift along 161
hath rested and ceased from 99
head before she could stop 64
head injury with brief loss 67
head office was moved from 96
head opened and stuff came 46
