half disbelieves even his own 44
hand thoughtfully over her own 59
have anticipated from his age 73
have anticipated what was going 59
have apprehended more than has 73
have constituted less than one 42
have constituted more than one 50
have constructed more than one 40
have contributed less than they 84
have contributed more than all 123
have contributed more than any 1293
have contributed more than his 61
have contributed more than one 474
have contributed more than they 314
have encountered more than one 136
have established laws and set 95
have established more than one 160
have established once and for 199
have established once for all 116
have established their own web 55
have established what you are 46
have experienced many things that 41
have experienced many ups and 98
have experienced more than any 46
have experienced more than one 1341
have experienced more than two 48
have experienced what they are 57
have experienced what you are 150
have experienced when she had 44
have interviewed more than one 89
have jurisdiction over its own 73
have obliterated from any man 48
have occasionally been met with 582
have occasionally cost him dear 45
have opportunity unto all men 50
have perpetually come off with 44
have recommended what she did 65
have represented more than one 155
have represented wealth and ease 83
have undoubtedly gone too far 44
have unprotected anal sex with 62
having accumulated wealth with ease 47
having contributed more than any 334
having distinguished these two things 42
having encountered more than one 110
having experienced more than one 79
having jurisdiction over her that 76
having jurisdiction over him and 47
having jurisdiction over its own 43
having jurisdiction over that area 111
health professional caring for her 93
held accountable only for his 48
held responsible only for his 166
held responsible only for that 72
high expectations were not met 77
high frequencies more than low 214
high solemnities when kings and 47
hold accountable those who are 50
