had addison laid himself out 40
had appeared from nowhere and 572
had arrived from america and 121
had arrived from america for 43
had arrived from america with 56
had arrived from germany and 96
had arrived from jamaica with 96
had avoided such thoughts for 41
had besides many vessels and 57
had between five hundred and 87
had between three hundred and 72
had between three thousand and 40
had boarded their vessels and 47
had brought away captive out 560
had brought from america and 59
had brought from america for 46
had brought from america was 51
had brought from germany and 67
had brought from holland not 85
had brought from ireland and 42
had brought great britain and 61
had brought into contact with 129
had brought into tuscany with 53
had brought into visible being 103
had brought some flowers for 61
had brought suit against her 50
had brought suit against him 155
had brought suit against his 98
had brought their dinners with 49
had brought their lunches and 49
had brought three hundred and 45
had brought upon herself and 116
had brought upon himself and 390
had brought upon himself this 127
had carried arms against him 124
had carried away bridges and 45
had carried back flowers and 52
had carried their secrets with 60
had claimed more victims than 45
had counted five hundred they 63
had counted three hundred and 63
had covered three hundred and 63
had degrees from harvard and 44
had divided into northern and 43
had dragged their anchors and 41
had drifted from religion and 50
had enacted laws providing for 98
had enacted soon expired with 105
had enjoyed great success with 152
had enjoyed more success than 50
had enjoyed some success with 107
had enjoyed their company and 54
had entered into alliance with 1175
had entered into compact with 68
had entered into contact with 239
had entered into himself and 85
had entered into marriage with 114
had entered into rivalry with 65
had entered into sympathy with 57
had entered into treaties with 529
had entered their country with 53
had equally good grounds for 45
had equally good results with 82
had escaped from bondage and 40
had escaped from custody and 118
had escaped from dunkirk with 41
had escaped from germany and 228
had escaped from slavery and 287
had escaped from slavery with 43
had evolved from animals for 82
had excited great jealousy and 48
had excited such discord and 43
had existed some occasion for 57
had finally been brought out 90
had finally been carried out 61
had finally been crowned with 64
had finally been decided that 283
had finally been defeated and 82
had finally been removed and 59
had finally come together and 41
had finally made contact with 191
had gathered their belongings and 45
had handled such matters and 74
had himself been charged with 89
had himself been familiar with 54
had himself been present and 109
had hitherto been allowed them 52
had hitherto been annoyed and 73
had hitherto been assumed that 259
had hitherto been betwixt them 46
had hitherto been carried out 625
had hitherto been charged with 103
had hitherto been content with 289
had hitherto been covered with 54
had hitherto been crowned with 59
had hitherto been refused them 46
had hitherto been unknown and 98
had imposed upon herself was 48
had imposed upon herself with 69
had imposed upon himself and 96
had imposed upon himself for 171
had imposed upon himself was 113
had imposed upon himself with 45
had invaded their country and 190
had invited some friends for 58
had knocked down osborne and 165
had largely been carried out 149
had largely lost contact with 63
had managed their affairs with 56
had marched from granada with 62
had marched from valencia with 49
had married into poverty and 67
had perhaps gone outside his 111
had perhaps less liberty than 61
had perhaps less sympathy with 41
had plainly been floated for 94
had pledged their fortune and 53
had pledged their support for 220
had quickly made friends with 138
had realized their mistake and 86
had realized very quickly that 112
had reduced their numbers and 108
had refused their request for 54
had related gave subject for 72
had removed their helmets and 62
had removed their jackets and 117
had renewed their alliance with 66
had rescued from anarchy and 59
had rescued from poverty and 45
had resumed their courage and 92
had resumed their journey and 54
had retired from congress and 49
had retired from service and 111
had settled their account with 47
had settled their bargain with 116
had several good friends who 46
had several heart attacks and 165
had several love affairs and 57
had several love affairs with 80
had several risk factors for 54
had several teeth knocked out 137
had shifted their position and 48
had slipped from between his 46
had somehow lost contact with 84
had somehow made contact with 57
had started from memphis for 46
had started from scratch and 113
had started their careers with 82
had stuffed their pockets with 79
had tacitly said herself that 49
had trouble making friends and 70
had trouble making friends with 45
had usually been assumed that 175
had usually been carried out 101
had visited north vietnam and 41
had visited south america and 45
had written down everything that 160
had written from america that 79
had written many letters and 50
hang together more closely than 87
has abjured their religion and 42
has adhered more closely than 43
has appeared from nowhere and 51
has brought into contact with 64
has brought into general use 56
has brought suit against him 63
has brought suit against you 42
has brought upon herself and 52
has brought upon himself and 242
has brought upon himself his 72
has certain good effects not 106
has claimed more victims than 67
has control over himself and 67
has emerged from slavery and 52
has emerged from studies using 50
has emerged from studies with 64
has endowed some animals with 130
has endowed your majesty with 98
has enjoyed great success and 61
has enjoyed great success with 107
has enjoyed more success than 46
has entered into alliance with 183
has entered into contact with 121
has entered into dialogue with 117
has entered into history and 59
has entered into marriage with 47
