he any scruple of submitting 62
he can attract the attention 50
he can believe in miracles 48
he can combine the virtuous 60
he can command my services 68
he can command the attention 69
he can command the elements 53
he can command the services 240
he can control the movement 41
he can control the situation 160
he can develop an interest 45
he can enforce the contract 110
he can explain the situation 56
he can express in detached 48
he can increase or diminish 41
he can perform the essential 119
he can perform the functions 47
he can perform the operation 99
he can perhaps be forgiven 69
he can procure the original 107
he can produce no evidence 74
he can promote so valuable 52
he can provide an adequate 44
he can recover the property 56
he can rescind the contract 93
he can resolve the conflict 53
he can succeed in overcoming 46
he can succeed in persuading 40
he can support the legality 471
he can towards the opposite 55
he can triumph in security 237
he can usually be depended 92
he did attract the attention 46
he did because he believed 315
he did believe it possible 45
he did everything he possibly 127
he did everything to alienate 57
he did everything to strengthen 65
he did exactly the opposite 383
he did express an interest 55
he did perhaps in imitation 71
he did recover the necklace 44
he did succeed in attracting 56
he did succeed in convincing 280
he did succeed in developing 54
he did succeed in persuading 188
he did succeed in preventing 98
he does acquire an interest 55
he does because he believes 149
he does exactly the opposite 136
he doth execute the judgment 58
he goes forward or backward 63
he had accused the battalion 63
he had adopted an attitude 122
he had adopted the attitude 101
he had adopted the christian 65
he had adopted the contrary 65
he had adopted the enthusiasm 80
he had adopted the practice 220
he had adopted the somewhat 44
he had adopted to preserve 41
he had advised the barbarian 88
he had advised the governor 78
he had advised the selection 66
he had against the assignor 227
he had against the original 57
he had allowed to continue 45
he had alluded so strangely 56
he had amassed an enormous 135
he had annexed my revolver 45
he had aroused my curiosity 59
he had aroused no suspicion 48
he had aroused the interest 120
he had aroused the suspicion 48
he had arranged to purchase 109
he had arranged to transfer 40
he had arrived at complete 48
he had arrived at concerning 44
he had arrived at definite 55
he had arrived at florence 55
he had arrived at maturity 118
he had arrived in australia 114
he had arrived in calcutta 116
he had arrived in florence 46
he had arrived in richmond 45
he had arrived in scotland 95
he had arrived in washington 816
he had assumed an attitude 87
he had assumed an authority 50
he had assumed the attitude 72
he had assumed the authority 77
he had assumed the direction 171
he had assumed the functions 55
he had assumed the garments 59
he had assumed the identity 49
he had assumed the monastic 49
he had attacks of delirium 209
he had behaved so strangely 71
he had boasted of blockading 181
he had breached the contract 68
he had brought an umbrella 87
he had brought as presents 49
he had brought by practice 60
he had brought it upstairs 95
he had brought the business 56
he had brought the children 110
he had brought the industry 99
he had brought the prisoner 40
he had brought the promised 46
he had brought to washington 295
he had carried an advanced 93
he had carried on business 185
he had chanced to discover 44
he had climbed the mountain 262
he had courage to alleviate 138
he had covered the allotted 48
he had covered the distance 466
he had crossed in darkness 93
he had crossed the atlantic 3042
he had crossed the boundary 225
he had crossed the colorado 62
he had crossed the dangerous 64
he had crossed the delaware 184
he had crossed the distance 47
he had crossed the frontier 881
he had crossed the mountain 110
he had crossed the pyrenees 234
he had crossed the threshold 1454
he had crushed the rebellion 70
he had dabbled in politics 51
he had decided to abdicate 85
he had decided to announce 71
he had decided to approach 106
he had decided to assemble 75
he had decided to challenge 87
he had decided to complete 127
he had decided to conclude 53
he had decided to confront 84
he had decided to consider 45
he had decided to continue 478
he had decided to dedicate 206
he had decided to dispatch 43
he had decided to dispense 102
he had decided to dissolve 108
he had decided to emigrate 196
he had decided to evacuate 52
he had decided to exercise 85
he had decided to maintain 112
he had decided to negotiate 43
he had decided to nominate 72
he had decided to organize 78
he had decided to overlook 47
he had decided to postpone 444
he had decided to practice 43
he had decided to preserve 46
he had decided to proclaim 46
he had decided to purchase 183
he had decided to renounce 233
he had decided to separate 138
he had decided to suppress 55
he had decided to transfer 216
he had defeated the austrians 143
he had delayed the execution 56
he had desired so ardently 49
he had desired the messenger 48
he had desired to overcome 51
he had devised an adequate 44
he had devoted the energies 124
he had drained the contents 130
he had emptied the contents 271
he had emptied the decanter 45
he had emptied the magazine 54
he had endured in scotland 50
he had endured the conflict 42
