ha done your heart good 95
he acts very much like 76
he also gave much time 55
he also knew full well 279
he also knew there were 193
he also knew very well 166
he also lays down some 53
he also made many other 81
he also made some very 91
he also must have been 389
he also must have felt 64
he also said there were 73
he also took away from 40
he also took good care 78
he also took great care 57
he also took over from 65
he been away from home 91
he been leaping from body 40
he bent down once more 45
he bent once more over 208
he brings back from down 137
he came along past home 50
he came away from down 95
he came away from their 42
he came back down from 78
he came back down into 47
he came back early from 57
he came back four years 51
he came back from camp 47
he came back from cuba 60
he came back from elba 77
he came back from india 326
he came back from korea 123
he came back from leave 290
he came back from making 41
he came back from over 41
he came back from rome 438
he came back from seeing 311
he came back from some 86
he came back from south 281
he came back from taking 69
he came back from there 394
he came back from these 162
he came back from those 46
he came back from time 79
he came back from town 256
he came back from what 47
he came back from work 736
he came back home from 227
he came back into their 45
he came back into town 93
he came back into view 124
he came back into your 47
he came back late from 101
he came back once more 789
he came back some half 110
he came back some time 49
he came back there were 76
he came back three days 42
he came back three years 44
he came back very late 42
he came back very soon 105
he came down here from 76
he came forth from thine 141
he came from some other 102
he came from there were 47
he came here last week 51
he came here there were 49
he came here three years 44
he came home early from 306
he came home from camp 49
he came home from india 107
he came home from korea 58
he came home from seeing 49
he came home from these 57
he came home from town 131
he came home from west 55
he came home from work 20241
he came home from your 45
he came home last week 54
he came home late from 555
he came home once more 46
he came home there were 74
he came home three years 43
he came home very late 651
he came home very much 45
he came home weary from 53
he came into full view 259
he came into their room 100
he came into town from 40
he came into town only 45
he came into view from 42
he came into your life 95
he came into your room 69
he came once more into 253
he came over here from 101
he came there only when 41
he came upon some boys 56
he came upon some fine 60
he came upon three young 51
he came very late home 67
he come down like rain 49
he come home from work 110
he come upon some wild 173
he damn well felt like 86
he dealt were very sure 44
he died away from home 102
he died just three years 56
he died only five years 82
he died only four years 101
he died only three years 113
he died some five years 62
he died some three years 92
he died some time during 41
he died some years back 53
he died there some time 48
he died there three years 48
he died there were many 79
he died there were more 41
he died there were only 129
he drew back from such 55
he drew back once more 42
he drew tears from many 42
he drew tears from those 47
he drew their gaze from 63
he even bore arms there 62
he even have seen into 118
he ever been away from 51
he ever came back from 59
he ever come back from 80
he ever come back here 49
he ever fell into their 52
he ever have been able 88
he ever have been heard 52
he ever have been such 49
he ever know well what 351
he ever seen your face 180
he ever went back there 41
he ever will come back 55
he fell back down into 45
he fell back once more 283
he fell down those coming 150
he fell face down into 101
he fell full length upon 92
he fell into evil ways 144
he fell into fits upon 59
he fell into great want 42
he fell into such deep 58
he fell into such fits 51
he fell into very great 89
he fell once more among 64
he fell once more into 306
he fell upon evil days 174
he fell will make more 50
he felt during these years 40
he felt even more like 157
he felt like having some 50
he felt like making love 58
he felt like some kind 76
he felt more like crying 82
he felt much more like 225
he felt must have been 264
he felt some deep meaning 128
he felt sure from what 43
he felt sure must have 82
he felt sure must some 40
he felt sure there must 118
he felt sure there were 102
he felt their eyes upon 44
he felt there were many 141
he felt there were more 138
he felt there were other 55
he felt there were some 95
he felt very much hurt 135
he felt very much like 567
he felt very much more 40
he fled from saul into 56
he fled there when troy 42
he gave came most from 77
he gave must have been 48
he gets along very well 312
he gets away from home 93
he gets back from town 53
he gets back from work 167
he gets back into town 43
he gets back next week 45
he gets even angry when 48
he gets home from work 3272
he gets into some sort 40
he gets more work done 58
he gets some help from 45
he gets very angry when 47
he grew even more angry 61
he grew into such great 65
he have been among those 57
he have been rapt into 77
he have seen only half 108
he heard bill come into 50
he heard must have been 86
he heard nothing more from 162
he heard there were many 43
he heard there were some 68
he heard were coming from 55
he held back from coming 43
he held back from giving 42
he held back from saying 45
he held back from what 56
he just came back from 196
he just came home from 48
he just come back from 48
he just kept coming back 210
he just sits there like 44
he just walk away from 76
he just went down into 56
he kept during these years 70
he kept nothing back from 56
he kept saying from time 47
he kept well away from 332
he kiss your soul away 54
he knew also very well 55
he knew best were those 44
he knew damn well there 61
he knew damn well what 173
he knew from having been 51
he knew from having seen 41
he knew from their days 57
he knew from what part 70
he knew full well from 56
he knew full well there 119
he knew full well were 103
he knew full well what 1963
he knew good from evil 52
he knew just what kind 91
he knew must come from 92
he knew must have been 351
he knew must soon come 95
he knew nothing more till 140
he knew only from reading 40
he knew only three great 54
he knew there must have 63
he knew there were five 52
he knew there were four 55
he knew there were lots 44
