had all lying so beautifully 57
had any idea of appropriating 42
had any idea of establishing 98
had can not be determined 45
had cut off the circulation 181
had cut out of newspapers 41
had for god the omnipotent 62
had for him no attractions 124
had for him the fascination 155
had got all the information 362
had had all the advantages 378
had had all the excitement 71
had had all the experience 140
had had all the information 45
had had with the archbishop 49
had had with the authorities 42
had had with the chancellor 41
had had with the government 48
had her fling of dissipation 49
had his ears so completely 66
had his seat of government 405
had its day of popularity 65
had its seat of government 187
had led her to anticipate 83
had led her to understand 55
had led him to accelerate 52
had led him to anticipate 521
had led him to conclusions 100
had led him to destruction 42
had led him to exaggerate 113
had led him to experience 54
had led him to experiment 89
had led him to philosophy 46
had led him to reconsider 65
had led him to repurchase 45
had led him to understand 284
had led them to anticipate 236
had led them to destruction 58
had led them to understand 117
had long had an inclination 57
had long hid my repentance 51
had met with an accidental 68
had met with an enthusiastic 147
had met with an impediment 87
had met with an overwhelming 40
had met with an unexpected 234
had met with no adventures 83
had met with no casualties 42
had met with no difficulty 123
had met with no obstruction 103
had met with no resistance 642
had met with the approbation 389
had met with the description 43
had met with the misfortune 71
had met with the portuguese 164
had met with the punishment 99
had not all the advantages 65
had not all the requisites 57
had not got the confidence 52
had not got the information 83
had not got the proportions 73
had not had an experience 177
had not had an expressive 63
had not had an imagination 51
had not had my advantages 98
had not had my experience 98
had not had the advantages 602
had not had the assistance 208
had not had the background 43
had not had the confidence 227
had not had the cooperation 43
had not had the discipline 55
had not had the educational 88
had not had the effrontery 48
had not had the enterprise 47
had not had the experience 1694
had not had the forethought 212
had not had the generosity 61
had not had the imagination 77
had not had the imprudence 51
had not had the inclination 64
had not had the information 157
had not had the inspiration 55
had not had the management 77
had not had the misfortune 816
had not had the politeness 105
had not had the prescience 44
had not had the wherewithal 89
had not had to experience 70
had not long to deliberate 41
had not now the melancholy 47
had not read or understood 209
had not read so distinctly 54
had not read the assignment 146
had not read the declaration 118
had not read the literature 102
had not read the manuscript 439
had not read the memorandum 41
