hair powdered with gold dust 77
half laughter and half tears 44
half repletion she sits down 50
hall katherine was just coming 40
hand conflict was soon over 46
hand gestures and other body 46
hand protecting his face from 55
hard commands can tame your 43
hard evidence has ever been 89
hard knuckles beat down into 90
hard struggle for living here 57
hard struggle for many years 55
hard struggle for some years 53
harm whatever had been done 56
have accepted for many years 40
have accepted for some time 45
have accepted that there were 48
have achieved had there been 49
have acquired all their ideas 49
have acquired for some years 54
have acquired its name from 305
have acquired this name from 68
have acquired with much toil 48
have admitted him into their 42
have admitted that there must 58
have admitted that there were 189
have admitted them into your 77
have admitted you into their 115
have advanced one more step 58
have affected him very much 142
have affected not only their 44
have affected them much more 43
have afforded her many means 69
have afforded him many other 46
have anchored her life upon 51
have answered that there were 47
have answered with great truth 40
have appalled any heart less 41
have approved any such code 105
have arrested her rash step 65
have asserted that there were 85
have asserted that these were 44
have attained any great size 45
have attained its full size 54
have attained than fate meant 111
have attended for many years 90
have authority not only over 104
have awakenings that come upon 42
have banished for ever from 58
have banished god from their 50
have believed all these years 50
have believed all your life 63
have believed and done good 73
have believed and fled their 97
have believed and have been 90
have believed and have come 178
have believed and have fled 68
have believed for many years 283
have believed for some time 877
have believed for some years 52
have believed that such evil 41
have believed that their gods 48
have believed that there must 42
have believed that there were 913
have believed that these were 207
have believed that those were 45
have believed they were acting 46
have bestowed too much upon 44
have betrayed him into some 76
have betrayed him into their 66
have borrowed his ideas from 60
have borrowed its name from 105
have borrowed this book from 40
have borrowed this term from 696
have borrowed this theory from 40
have borrowed this word from 72
have borrowed too much from 57
have branched out from their 50
have branched out into many 86
have branched out into other 201
have business that will take 42
have children and stay home 94
have children and take care 121
have children for many years 53
have children who have been 155
have children who were born 165
have children who were more 221
have children who will grow 44
have children with high self 108
have coexisted for many years 69
have coexisted for some time 88
have complied with their duty 69
have complied with your kind 106
have complied with your wish 77
have composed this tenth book 117
have concealed his love from 55
have concealed them from their 62
have concealed this wish from 75
have conceded too much upon 73
have consumed that much less 179
have consumed too much time 170
have conveyed his meaning more 44
have cornwall and kent during 84
have crippled his army more 40
have crumbled his soul into 43
have declared that there must 52
have declared that there were 167
have declined and have been 52
have defended his ship more 40
have defended that same great 107
have defended you upon your 85
have demanded too much from 49
have departed for ever from 63
have departed this life have 42
have departed too much from 50
have depended not only upon 44
have depended too much upon 280
have desisted and come back 153
have desisted and gone down 45
have detained him here till 60
have detained you some time 63
have deterred her from making 78
have deterred him from giving 50
have deterred him from making 157
have deterred him from such 156
have deterred him from taking 76
have deterred them from making 80
have devoured all their other 49
have diameters that range from 137
have differed for some time 84
have disputed for many ages 63
have distinct and clear ideas 79
have diverted his mind from 48
have diverted them from their 103
have employed for many years 192
have employed for some time 76
have employed for some years 65
have enlisted for three years 54
have ennobled all other poets 87
have enrolled his name among 66
have escorted and gone hand 73
have evidence that there were 154
have examined with great care 300
have examined with much care 151
have examined with some care 538
have exceeded this last blow 109
have excluded him from many 42
have excluded them from their 87
have executed this writ make 109
have executed with such zest 52
have exempted him from such 45
have exempted him from those 42
have expanded and have been 41
have expected any less from 55
have expected any other kind 49
have expected for some time 82
have expected had there been 67
have expected too much from 483
have expected you here these 42
have expelled them from their 91
have expended his breath much 151
have extended his rule over 56
have extended his sway over 133
have extended its sway over 123
have fastened his name upon 77
have finished his work when 62
have finished our work here 91
have finished you will find 40
have finished you will have 192
have followed all these years 51
have followed each other from 70
have followed each other like 47
have followed for many years 319
have followed for some time 112
have followed for some years 91
have followed had there been 80
have followed him have been 151
have followed him have done 45
have followed him into hell 181
have followed them have been 79
have followed this book from 45
