hair fell across her cheeks 63
hair from behind and pulled 44
hair seem denser and heavier 78
hair shot through with silver 154
hair tied behind and floating 57
half over better than myself 52
half past eleven and twelve 92
half their number had fallen 288
hall door opened and closed 64
hand from inside his jacket 54
hand more violent than common 57
hand moving faster and faster 81
hand slid inside his jacket 50
hand went inside his jacket 95
hand were thicker than itself 494
hanging down before and behind 898
hanging down behind and before 105
hangs down before and behind 298
hard disk drives and floppy 93
hard time figuring out whether 75
hard work swimming with clothes 50
hast made summer and winter 968
have also arisen with regard 81
have also broken new ground 40
have also called for greater 56
have also chosen six elders 50
have been abroad long enough 47
have been absent long enough 51
have been active and useful 61
have been active and zealous 42
have been afraid that something 46
have been already long before 87
have been always her friend 63
have been amazed and amused 79
have been amazed had anyone 52
have been amused and pleased 172
have been amused with another 85
have been another man placed 63
have been anxious for something 54
have been around and around 40
have been around for almost 420
have been around for awhile 763
have been around for twenty 157
have been around long before 135
have been around long enough 4368
have been asleep and dreamed 68
have been asleep long before 82
have been asleep long enough 52
have been awaiting his return 59
have been awaiting this moment 59
have been banned and burned 42
have been before his nerves 79
have been before they became 49
have been before they reached 64
have been better all around 500
have been better and better 106
have been better and cheaper 110
have been better for austria 216
have been better for dorothy 80
have been better for england 254
have been better for english 44
have been better for europe 96
have been better for france 290
have been better for greece 69
have been better for little 83
have been better for myself 71
have been better for poland 47
have been better for stalking 50
have been better off avoiding 45
have been better off before 109
have been better off choosing 77
have been better off marrying 106
have been better off pursuing 43
have been better off simply 122
have been better off sleeping 51
have been better off spending 302
have been better off starting 72
have been better off sticking 174
have been better off studying 55
have been better off without 3488
have been better than before 45
have been better than standing 42
have been beyond all belief 45
have been beyond all praise 335
have been beyond her powers 58
have been beyond her strength 58
have been beyond his powers 251
have been beyond his strength 74
have been beyond our powers 42
have been bigger and better 125
have been blamed for allowing 58
have been blamed for spreading 54
have been boiled and cooled 50
have been boiled with dundee 90
have been boldly and openly 48
have been bolted and barred 40
have been bombed and burned 56
have been bought for twenty 237
have been bought with specie 53
have been broken and fallen 52
have been broken and mended 164
have been broken and ruined 55
have been broken and tilted 47
have been broken long before 119
have been broken off before 60
have been broken off without 72
have been brother and sister 1895
have been building our strength 67
have been buried and raised 53
have been buried with christ 521
have been burned and looted 43
have been burned for heresy 65
have been burned with powder 90
have been busily and almost 43
have been called and chosen 207
have been called for before 108
have been carrying out various 63
have been caught and killed 247
have been caught and turned 47
have been caught dead without 42
have been caught doing something 132
have been caught long before 124
have been caught red handed 50
have been changed but little 248
have been changed for obvious 170
have been changed for reasons 275
have been changed for various 51
have been changed long before 103
have been cheaper and better 141
have been cheated and abused 43
have been cheated and robbed 60
have been chosen and called 126
