had all solemnly risen now 153
had and probably still has 49
had and received could not 79
had and received would lie 250
had and received would not 130
had any business dealings with 394
had any concerns about her 43
had any concerns about his 44
had any definite plans for 89
had any financial dealings with 92
had any illusions about being 93
had any illusions about her 169
had any illusions about him 85
had any illusions about his 256
had any illusions about how 95
had any illusions about its 90
had any illusions about our 40
had any illusions about that 324
had any illusions about them 132
had any illusions about this 88
had any illusions about who 73
had any immediate plans for 47
had any misgivings about her 45
had any misgivings about his 118
had any personal dealings with 211
had any personal reason for 53
had any questions about her 61
had any questions about his 75
had any specific plans for 47
had but recently shown his 45
had but recently taken his 164
had few illusions about her 165
had few illusions about him 73
had few illusions about his 567
had few illusions about how 105
had few illusions about its 123
had few scruples about using 42
had got properly under way 111
had had business dealings with 395
had had financial dealings with 60
had had frequent dealings with 54
had had misgivings about his 40
had had numerous dealings with 40
had had personal dealings with 100
had had specially built for 70
had had specially taken and 47
had her appendix taken out 63
had her children about her 43
had her servants about her 50
had her shoulder under his 49
had her stripped naked and 69
had him stripped naked and 91
had his allotted place and 40
had his appendix taken out 105
had his assigned place and 45
had his audience under his 52
had his entrails taken out 60
had his nickname given him 93
had his servants carry him 52
had its beginnings thirty odd 47
had not actually asked for 98
had not actually asked her 177
had not actually asked him 72
had not actually given her 86
had not actually known that 91
had not actually slept with 52
had not actually taken any 64
had not actually voted for 44
had not advanced above two 80
had not believed until then 41
had not complied fully with 109
had not entirely given way 48
had not entirely ruled out 92
had not entirely thrown off 83
had not exchanged words with 58
had not expected anything but 80
had not expected anything this 51
had not expected quite that 110
had not expected quite this 54
had not finished drawing his 40
had not finished telling his 83
had not finished writing his 41
had not formally asked for 42
had not happened after all 77
had not happened since she 75
had not imagined until now 52
had not improved since his 152
had not improved since she 54
had not improved since then 109
had not inquired about her 50
had not inquired about his 89
had not inwardly given his 96
had not obtained mercy but 213
had not occurred since her 55
had not occurred since men 126
had not occurred under his 50
had not prepared anything for 81
had not properly cared for 98
had not provided funds for 45
had not received anything for 104
had not received mercy but 307
had not received money for 58
had not received wages for 49
had not resolved again and 119
had not returned after his 42
had not returned after two 50
had not returned since her 61
had not returned since then 55
had not suddenly cried out 42
had not troubled about her 54
had now advanced within one 44
had now finished dusting and 70
had our pictures taken and 70
had our pictures taken for 51
had our pictures taken with 265
