he ate three buttered muffins 49
he can best minister comfort 40
he can only consider himself 50
he can only maintain himself 166
he can only manifest himself 72
he can only partially control 63
he did much original research 45
he got into financial trouble 69
he had also provided himself 51
he had also received letters 52
he had been absolute monarch 70
he had been actually present 398
he had been addressing himself 81
he had been annually elected 84
he had been anxiously expecting 56
he had been arrested because 640
he had been arrested several 302
he had been attacked because 66
he had been attacked himself 99
he had been attorney general 402
he had been banished because 141
he had been bitterly opposed 197
he had been business manager 68
he had been cautioned against 104
he had been collecting material 615
he had been commanding officer 75
he had been conducting himself 56
he had been conducting research 45
he had been confined because 131
he had been confined several 44
he had been conspiring against 76
he had been contending against 91
he had been cordially invited 115
he had been deceived himself 104
he had been deceived regarding 46
he had been declaiming against 45
he had been declared elected 69
he had been declared legally 67
he had been declared persona 149
he had been detained against 46
he had been detained because 135
he had been educated between 43
he had been educated himself 53
he had been employed against 144
he had been entirely defeated 113
he had been entirely devoted 44
he had been entirely unaware 77
he had been excluded because 190
he had been expelled because 131
he had been expressing himself 63
he had been flattering himself 72
he had been forcibly carried 48
he had been forcibly ejected 139
he had been forcibly removed 103
he had been forgetting himself 49
he had been formally accused 50
he had been formally adopted 62
he had been formally charged 112
he had been formally crowned 42
he had been formally deposed 46
he had been formally elected 82
he had been formally invited 52
he had been formerly accused 63
he had been formerly subject 122
he had been formerly wrecked 71
he had been fortifying himself 53
he had been governor general 61
he had been honestly elected 41
he had been ignorant himself 48
he had been incensed against 109
he had been indulged hitherto 103
he had been informed against 70
he had been intriguing against 46
he had been inveighing against 62
he had been knighted himself 86
he had been lawfully elected 93
he had been lawfully married 67
he had been mentioned several 43
he had been military attache 191
he had been mortally wounded 1149
he had been murdered because 214
he had been narrowly defeated 40
he had been narrowly watched 77
he had been partially roasted 48
he had been partially scalped 40
he had been persuading himself 99
he had been promised freedom 40
he had been promised support 81
he had been promoted because 120
he had been promoted captain 102
he had been promoted colonel 44
he had been promoted rapidly 40
he had been properly advised 62
he had been properly brought 76
he had been properly elected 56
he had been properly married 41
he had been properly trained 148
he had been protecting himself 55
he had been protesting against 54
he had been publicly accused 135
he had been publicly branded 52
he had been publicly rebuked 44
he had been punished according 63
he had been recalled because 125
he had been recently elected 186
he had been recently married 183
he had been recently obliged 70
he had been refreshing himself 80
he had been rejected because 375
he had been rendered capable 62
he had been secretly married 336
he had been secretly preparing 87
he had been secretly tampering 64
he had been selected because 386
he had been seriously alarmed 60
he had been seriously annoyed 86
he had been seriously injured 1066
he had been seriously worried 41
he had been seriously wounded 1133
he had been severely handled 115
