had a bb gun and 57
had a king who had 63
had a king who was 319
had a ring that was 63
had a thing all day 72
had a thing for big 49
had a thing for each 162
had a thing for her 787
had a thing for him 506
had a thing for his 135
had a thing for men 111
had a thing for that 86
had a thing for them 54
had a thing for this 79
had a thing for you 433
had a thing going and 44
had a thing going for 175
had a thing going with 542
had a thing with her 65
had a thing with him 72
had a tv and vcr 51
had a tv set and 65
had i as yet any 63
had i do not see 65
had i in all this 49
had i in any way 80
had i my own way 44
had i to deal with 61
has a king bed and 99
has a thing for her 120
has a thing for him 63
has a thing for you 481
has a thing going with 62
has a toe that can 67
has a tv and vcr 78
has a tv set and 56
head i do not see 42
hear a thing that was 93
hear a thing with all 51
hear a thing you say 85
her a ring and she 83
her a ring set with 76
her a ring that she 40
her a ring with his 52
her i am not going 62
her i do not mean 164
her i do not see 246
him a ring and see 53
him a ring for his 130
him a ring set with 167
him a ring that she 43
him a thing that was 57
him i am not going 103
him i do not get 102
him i do not mean 115
him i do not say 48
him i do not see 423
him i is not got 74
how a king who had 41
how i am and how 176
how i am and that 65
how i am doing and 194
how i am doing this 47
how i am doing with 74
how i am meat for 59
how i am now and 48
how i am using them 49
how i am with you 136
how i do long for 118
how i do not get 51
how i do not see 95
how i do not yet 58
how i do things and 51
how i is not got 47
hut i do not see 95
