hack and forth between the 90
hail let their welcome be 381
hail with much pleasure the 153
hair and beard against the 69
hair and nail clippings in 49
hair and nail clippings of 69
hair and other aspects of 46
hair and some scarlet on 104
hair and were dressed in 81
hair and what appeared to 43
hair for some mistake he 40
hair had been allowed to 342
hair had been arranged by 49
hair had been arranged in 122
hair had been bleached by 121
hair had been bleached to 76
hair had been braided in 52
hair had been brushed to 105
hair had been cropped to 55
hair had been dressed by 40
hair had been dressed in 80
hair had been reduced to 90
hair had been removed by 50
hair had been ruffled by 57
hair had been tousled by 58
hair had been trimmed to 71
hair had just started to 40
hair has been admired by 52
hair has been allowed to 93
hair has been arranged in 55
hair has been grouped as 41
hair has been removed by 68
hair has gone towards the 92
hair that fell forward on 40
hair that once adorned the 43
hair was half covered by 66
hair was just beginning to 816
hair was more precious to 54
half and half between the 1248
half and half division of 46
half and half mixture of 351
half had been applied to 78
half had been devoted to 74
half had been exposed to 49
half had been members of 76
half has been devoted to 140
half its unit diameter in 40
half per cent increase in 304
half per cent solution of 1061
half she felt unwilling to 42
half they were brought to 156
half way down between the 156
half way down towards the 74
half way from lexington to 62
hall for their sessions to 63
hall they were greeted by 55
halt and even reverse the 349
hand and farm bondage on 50
hand and foot against the 128
hand and foot remaining the 76
hand and gave himself up 133
hand and great britain on 128
hand and held tightly to 44
hand and just watches the 41
hand and leaning against the 41
hand and leaning forward to 123
hand and north america on 55
hand and said goodbye to 53
hand and south america on 40
hand and their ability to 45
hand and went against the 66
hand and went forward to 54
hand and went towards the 44
hand and what appeared to 89
hand being held against the 45
hand can make baskets no 109
hand for some friends of 79
hand had been allowed to 42
hand had been clapped on 68
hand had been crushed by 58
hand had been crushed in 62
hand had been injured by 53
hand had been injured in 42
hand had been offered to 104
hand had been reduced to 99
hand had been refused by 49
hand had been severed at 109
hand had been severed by 64
hand had been wounded by 42
hand had just touched the 73
hand has been against me 49
hand has been allowed to 49
hand has been reduced to 68
hand has been trained to 56
hand out free samples of 163
hand out from between the 116
hand that even princes of 42
hand that once belonged to 144
hand they only excited my 151
hand they were obliged to 57
hand they were subject to 57
hand they were unwilling to 42
hand was held against the 48
hand was laid lightly on 171
hand was laid roughly on 41
hand was seen beckoning to 89
hand was what appeared to 57
hand with their ability to 93
hand with their efforts to 46
hand with these efforts to 56
hard and clear against the 183
hard and cold against the 76
hard and fast against the 286
hard and fast aground at 47
hard and fast aground in 43
hard and fast aground on 105
hard and fast answers to 286
hard and fast barrier of 52
hard and fast between the 61
hard and fast division of 317
hard and fast pattern of 50
hard and leaning forward in 40
hard and shut himself up 40
hard and soft aspects of 139
hard and soft measures of 55
hard and soft palates as 114
hard and soft palates by 45
hard and soft palates in 97
hard and soft palates is 152
hard and soft palates of 63
hard and soft palates to 148
hard and soft portions of 135
hard and soft tissues at 55
hard and soft tissues in 244
hard and soft tissues is 105
hard and soft tissues of 1154
hard and soft tissues to 55
hard and soft versions of 109
hard and time consuming to 52
hard and work together to 43
hard for many parents to 120
hard for many persons to 77
hard for many teachers to 61
hard for most parents to 72
hard for most persons to 72
hard for other animals to 60
hard for some members of 40
hard for some parents to 183
hard for some persons to 69
hard for some teachers to 56
hard for their enemies in 47
hard for their enemies to 41
hard for their parents to 72
hard for these parents to 45
hard for third parties to 50
hard for your parents to 76
hard for your partner to 73
hard not only because of 130
harm has been wrought by 57
harm than good because it 521
harm than good because of 297
harm than good because the 505
harm was done because the 65
hast not been faithful in 45
hast not been mindful of 242
hast thou well weighed the 60
hate and anger against the 57
hate and lost himself in 75
hate and speak peaceably to 53
hate each other because of 260
hate each other because we 77
hate him just because he 108
hating each other because of 75
hats and lawn sleeves as 115
have all along appealed to 42
have all along behaved to 42
have all along desired to 55
have all along enjoyed the 53
have all along opposed the 77
have all along planned the 57
have all along reasoned as 179
have all along refused to 101
have all been accused of 429
have all been adapted to 128
have all been adduced as 83
have all been adopted by 124
have all been adopted in 79
have all been allowed to 160
have all been alluded to 59
have all been altered by 94
have all been altered in 53
have all been altered to 58
have all been annoyed by 49
have all been appealed to 55
have all been applied in 154
have all been applied to 793
have all been arranged in 70
have all been arrived at 60
have all been assumed to 163
have all been avoided if 61
have all been awarded the 54
have all been blessed by 98
have all been briefed on 83
have all been brought by 42
have all been brought in 149
have all been brought to 636
have all been brought up 3548
have all been carried on 353
have all been carried to 41
have all been central to 75
have all been checked by 57
have all been claimed as 126
have all been claimed to 176
have all been classed as 184
have all been content to 41
have all been couched in 51
have all been covered by 62
have all been covered in 160
have all been damaged by 53
have all been decided by 41
have all been decided in 49
have all been defeated by 79
have all been defined as 165
have all been defined by 92
have all been defined in 155
have all been derived by 68
have all been derived in 48
have all been devised by 46
have all been devised to 66
have all been devoted to 278
have all been divided by 57
have all been drowned in 59
have all been elected by 52
have all been entered in 57
have all been exposed to 933
have all been factors in 275
have all been faithful to 44
have all been featured in 40
have all been features of 72
have all been focused on 52
have all been following the 48
have all been founded by 74
have all been founded on 112
have all been gathered in 241
have all been gathered to 53
have all been helpful in 199
have all been helpful to 46
have all been invaded by 48
have all been invited to 268
have all been invoked as 331
have all been invoked in 82
have all been invoked to 173
have all been labeled as 87
have all been limited to 99
have all been listening to 76
have all been located in 136
have all been matters of 95
have all been measured at 44
have all been measured by 77
have all been measured in 112
have all been members of 364
have all been noticed in 47
have all been objects of 96
have all been obliged to 180
have all been offered as 254
have all been offered to 61
have all been ordered to 110
have all been painted by 46
have all been plagued by 91
have all been planted by 71
have all been plotted on 52
have all been pointed to 47
have all been posited as 55
have all been present at 69
have all been present in 160
have all been printed in 180
have all been reduced by 106
have all been reduced in 89
have all been reduced to 847
have all been related in 72
have all been related to 596
have all been removed by 200
have all been removed in 46
have all been removed to 234
have all been revised to 58
have all been rounded to 45
have all been rounded up 61
have all been settled by 69
have all been settled in 80
have all been shifted to 56
have all been shocked by 60
have all been sources of 156
have all been spoiled by 42
have all been stirred by 47
have all been stopped up 88
have all been studied as 243
have all been studied by 181
have all been studied in 558
have all been studied to 79
have all been subject to 1277
have all been targets of 145
have all been tempted to 91
have all been thrilled by 40
have all been thwarted by 42
have all been together in 62
have all been touched by 373
have all been touched on 56
have all been trained by 105
have all been trained in 1081
have all been trained to 484
have all been trussed up 64
have all been updated to 84
have all been victims of 423
have all been visited by 123
have all been witness to 116
have all been wounded by 56
have all been written at 44
have all been written by 515
have all been written in 291
have all been written on 53
have all been written to 66
have all been written up 85
have all been wrought by 40
have all come together at 46
have all come together in 189
have all come together to 248
have all done together in 82
have all heard stories of 738
have all made efforts to 71
have all other defects in 40
have all paid tribute to 112
have all ready against the 41
have all some features of 62
have all their members in 48
have all their religion in 41
have all their species in 210
have all these sources of 62
have all your courses to 86
have and their ability to 86
have any clear concept of 116
have any clear picture of 209
have any clear relation to 78
have any data regarding the 49
have any good answers to 53
have any great success in 63
have any high dignity or 64
have any idle stories to 55
have any just grounds to 59
have any life outside of 50
have any meaning outside of 86
have any meaning outside the 117
have any more ability to 55
have any more chances to 72
have any more concern in 125
have any more relation to 48
have any more success in 126
have any more trouble in 103
have any more trouble of 65
have any more trouble on 66
have any other brothers or 149
have any other effects on 54
have any other example of 47
have any other friends in 97
have any other function in 75
have any other members of 47
have any other objects in 57
have any other purpose in 202
have any other relation to 80
have any other reliance on 88
have any other request to 204
have any other sources of 242
have any other thoughts on 77
have any other thoughts or 64
have any past history of 62
have any side effects on 59
have any side effects or 90
have any such designs as 48
have any such freedom at 113
have any such thoughts as 50
have any tooth against me 261
have bid open defiance to 43
have both been accused of 192
have both been applied to 169
have both been awarded the 43
have both been brought to 91
have both been brought up 125
have both been claimed as 71
have both been defined as 44
have both been exposed to 77
have both been invited to 59
have both been members of 141
have both been obliged to 73
have both been reduced by 77
have both been reduced to 92
have both been related to 60
have both been studied in 83
have both been subject to 220
have both been victims of 98
have both feet planted on 67
have but five minutes to 137
have but just arrived at 75
have but just arrived in 92
have but just entered on 329
have but just entered the 170
have but three degrees of 41
have but three windows in 51
have can more rejoice in 57
have cut away portions of 62
have cut back sharply on 77
have cut deep canyons in 134
have cut deep valleys in 150
have each been claimed as 89
have each been divided by 44
have each been exposed to 45
have each been invited to 41
have each been reduced by 68
have each been reduced to 46
have each been studied in 40
have each been subject to 46
have far less ability to 116
have far less freedom in 48
have far less freedom of 65
have far less freedom to 76
have far less trouble in 43
have far more ability to 92
have far more control of 51
have far more courage to 96
have far more freedom in 91
have far more freedom of 110
have far more freedom to 150
have far more pleasure in 106
have far more success in 70
have few other sources of 284
have for ages existed in 41
have for ever blasted the 68
have for ever crushed the 112
have for ever secured the 85
have for ever settled the 43
have for ever stifled the 40
have for other aspects of 92
have for their content the 47
have for their friends is 42
have for their function the 356
have for their function to 215
have for their objects the 568
have for their objects to 51
have for their purport the 54
have for their purpose the 7085
have for their purpose to 864
have for their squares the 57
have for their subject the 568
have for their support the 71
have for years belonged to 45
have for years carried on 196
have for years debated the 68
have for years endured the 77
have for years enjoyed the 73
have for years refused to 111
have for years studied the 67
have got full control of 40
have got good estates in 53
have got great lawyers to 47
have got into trouble at 90
have got into trouble by 85
have got into trouble if 299
have got into trouble in 145
have got into trouble on 80
have got nothing rational to 50
have got some friends of 46
have got some letters to 44
have got three millions of 69
have had deep pleasure in 94
have had fair success in 67
have had from fifteen to 80
have had from listening to 40
have had full command of 49
have had full control of 138
have had full freedom of 115
have had full leisure to 62
have had full liberty to 73
have had good dinners at 45
have had good fortune in 44
have had good grounds to 68
have had good reports of 81
have had good results by 204
have had good results in 867
have had good success by 53
have had good success in 581
have had good teachers at 105
have had great comfort in 92
have had great courage to 65
have had great delight in 208
have had great effects on 159
have had great fortune in 63
have had great impacts on 68
have had great numbers of 75
have had great pleasure in 4138
have had great success as 77
have had great success at 92
have had great success by 51
have had great success in 4616
have had great success on 77
have had great trouble in 518
have had great trouble to 121
have had hard thoughts of 70
have had heart attacks or 240
have had heart attacks to 45
have had high priority in 42
have had just occasion to 58
have had less freedom of 102
have had less freedom to 42
have had less occasion to 148
have had less success at 43
have had less success in 718
have had less trouble in 286
have had many attacks of 74
have had many chances of 124
have had many chances to 252
have had many enemies in 43
have had many features in 71
have had many friends in 137
have had many lessons in 63
have had many letters of 130
have had many letters to 70
have had many millions of 41
have had many moments of 192
have had many reports of 117
have had many sources of 43
have had many stories of 46
have had many thoughts of 107
have had more chances of 50
have had more chances to 143
have had more comfort in 56
have had more control of 47
have had more freedom in 110
have had more freedom of 116
have had more freedom to 226
have had more leisure to 174
have had more liberty to 82
