hail every one with delight 47
hair cells that are located 49
hair which was his especial 48
half cents per one hundred 258
half crazy with his religion 66
half slept off his debauch 137
half times its own diameter 111
half times that for married 41
half turning his head towards 45
hand brake for that purpose 147
hand could not but occasion 58
hand found its way between 75
hand stole out and touched 47
hand until they are swamped 59
hand where she had touched 61
hand which did not tremble 45
hand which does not contain 55
hand while his new partner 43
hand writing that was against 49
hard after him his doughty 91
hard breathing and long strides 47
hard drive does not contain 45
hard earnings for that purpose 94
hard knots with his nervous 57
hard point easy and familiar 84
hate which had long existed 45
have acted with his sanction 42
have apple pie for dessert 44
have asked but one question 145
have asked for her lighter 79
have asked for his removal 84
have asked her that question 79
have asked him his trouble 100
have asked him that question 118
have asked him this question 145
have asked him with imploring 48
have asked you that question 421
have asked you this question 121
have banged his head against 57
have beaten her head against 70
have beaten his head against 79
have beaten them both together 44
have begun our real journey 41
have borne all things quietly 89
have borne them out against 78
have borne with our fellows 135
have bound them all together 51
have built and are operating 58
have built for that purpose 44
have cared for his letters 52
have chose for any amorous 42
have coped with this problem 208
have cried out and stopped 97
have dealings with any country 88
have dined with them several 61
have drawn its own picture 82
have drawn out his courage 55
have dwelt too long perhaps 49
have fewer than one hundred 275
have fewer than one thousand 64
have fewer than ten members 62
have fewer than ten workers 58
have fewer than two hundred 119
have fewer than two thousand 54
have filed all tax returns 50
have fingers and toes because 79
have first put them together 57
have flown with its stomach 94
have forms for this purpose 54
have found for this problem 49
have found for this purpose 123
have found her and brought 47
have found him and brought 59
have found its own reliable 49
have found its way between 45
have found out and written 45
have found out for certain 116
have found out for herself 82
have found out for himself 418
have found out her mistake 41
have found out his mistake 173
have found out our mistake 62
have found out that although 56
have found out that certain 67
have found out that everything 91
have found that both parents 43
have found that for certain 110
have found that our present 168
have found that our results 40
have found that they benefit 55
have found that they consist 79
have found that they contain 101
have found that they possess 83
have found that they produce 99
have found that they provide 59
have found that they respond 42
have found that they usually 178
have found that this formula 52
have found that this increase 44
have found that this material 56
have found that this pattern 91
have found that this problem 171
have found that this process 274
have found that this program 51
have found that this question 42
have found that this results 43
have found that this species 65
have found that this usually 45
have found that two factors 47
have found that with careful 66
have found that with increasing 45
have found them her friends 108
have found weak and recreant 71
have freed him for wakeful 51
have funds for that purpose 62
have funds for this purpose 48
have given aid and comfort 1351
have given all his chances 141
have given all his worldly 43
have given and now confirm 107
have given does not include 44
have given for that purpose 48
have given her any promise 60
have given her any trouble 59
have given him any pleasure 76
have given him any trouble 63
have given him his freedom 281
have given him his liberty 129
have given him his position 53
have given him his present 151
have given him one hundred 46
have given him one thousand 72
have given him our flowers 47
have given him real pleasure 80
have given him ten thousand 55
have given him two hundred 117
have given long and careful 73
have given long and faithful 99
have given thee ten shekels 149
have given this long extract 115
have given you any occasion 53
have given you any trouble 164
have given you his address 40
have given you his message 43
have given you one example 133
have given you this account 152
have given you this example 55
have given you this trouble 412
have glory for this victory 52
have grown old and retired 56
have grown old and withered 85
have homer and don quixote 70
have hoped for nor desired 43
have known her for several 73
have known him for fifteen 111
have known him for several 252
have known that her conduct 50
have known that her husband 281
have known that his chances 85
have known that his conduct 433
have known that his decision 49
have known that his enemies 46
have known that his example 72
have known that his position 62
have known that his remarks 41
have known that its conduct 72
have known that our marriage 58
have known that sir francis 43
have known that they existed 69
have known that thou wouldst 101
have known them for several 60
have known this for certain 46
have known this for decades 89
have known you for several 53
have leaned out and touched 55
have light for his seizure 66
have lived for one hundred 129
have lived for two hundred 84
have lived for two thousand 89
have lived long and happily 139
have lived with and studied 60
have lived with both parents 73
have lived with for decades 62
have lived with her fifteen 120
have lived with her husband 120
