had an hour of conversation 68
had as clear an understanding 65
had as deep an understanding 42
had as fair an opportunity 250
had as full an opportunity 91
had as good an opportunity 1030
had as good an understanding 117
had as great an opportunity 83
had at heart the improvement 44
had at heart the maintenance 44
had at heart the preservation 86
had at last an opportunity 288
had at last the opportunity 219
had at last the satisfaction 885
had at last to acknowledge 42
had at least an approximate 87
had at least an introduction 46
had at least an opportunity 248
had at least an understanding 46
had at least the compensation 63
had at least the opportunity 391
had at least the originality 51
had at least the possibility 196
had at least the satisfaction 2385
had at length an opportunity 150
had at length the satisfaction 426
had at once the satisfaction 69
had he been so unfortunate 378
had he felt so comfortable 44
had he gone to philadelphia 55
had in fact no alternative 235
had in fact so demoralized 64
had in hearing the philosopher 65
had in mind an alternative 130
had in mind an independent 44
had in mind an organization 154
had in mind is illustrated 71
had in mind the appointment 110
had in mind the construction 214
had in mind the controversy 40
had in mind the development 348
had in mind the differences 42
had in mind the experiences 49
had in mind the fundamental 67
had in mind the improvement 86
had in mind the introduction 82
had in mind the organization 91
had in mind the possibility 2301
had in mind the presentation 40
had in mind the preservation 97
had in mind the probability 84
had in mind the relationship 70
had in mind the unfortunate 59
had in truth no alternative 48
had in view the advancement 60
had in view the construction 85
had in view the deliverance 48
had in view the development 109
had in view the improvement 100
had in view the maintenance 111
had in view the necessities 48
had in view the organization 55
had in view the possibility 432
had in view the preservation 149
had in view to accommodate 72
had it been an independent 86
had it been as represented 86
had it been so mysteriously 51
had no call to investigate 46
had no cult of personality 72
had no duty to accommodate 61
had no duty to communicate 53
had no duty to investigate 282
had no faith in christianity 63
had no faith in immortality 82
had no gust to antiquities 45
had no hope of accomplishing 107
had no hope of advancement 124
had no hope of comprehending 52
had no hope of deliverance 247
had no hope of immortality 57
had no hope of improvement 63
had no hope of participating 42
had no hope of preservation 68
had no hope of understanding 458
had no ideas to communicate 47
had no kind of intercourse 117
had no kind of understanding 85
had no lack of opportunity 135
had no means of accomplishing 46
had no means of advancement 40
had no means of communicating 1668
had no means of comprehending 49
had no means of contradicting 53
had no means of counteracting 87
had no means of demonstrating 55
had no means of effectively 95
had no means of effectually 69
had no means of enforcement 131
had no means of independent 50
had no means of intercourse 62
had no means of introduction 40
had no means of investigating 135
had no means of subsistence 1189
had no means of understanding 948
had no means or opportunity 127
had no means to communicate 77
had no mind to precipitate 89
had no mode of intervention 48
had no more in remembrance 61
had no more to communicate 103
had no need of forgiveness 56
had no need of purification 78
had no need or opportunity 61
had no need to acknowledge 82
had no need to communicate 118
had no need to demonstrate 100
had no need to investigate 55
had no need to manufacture 56
had no need to participate 65
had no news to communicate 105
had no part or inheritance 41
had no rise of temperature 56
had no room to accommodate 70
had no sort of consequence 257
had no sort of conversation 85
had no sort of intercourse 84
had no sort of introduction 50
had no sort of relationship 45
had no sort of resemblance 63
had no time or opportunity 788
had no time to acknowledge 62
had no time to communicate 184
had no time to concentrate 190
had no time to congratulate 113
had no time to consolidate 250
had no time to contemplate 465
had no time to crystallize 44
had no time to investigate 864
had no time to participate 140
had no time to remonstrate 91
had no type or resemblance 40
had no wish to acknowledge 81
had no wish to communicate 66
had no wish to investigate 60
had no wish to participate 226
had no wish to precipitate 530
had no word of commendation 43
had no word of condemnation 162
had so clear an understanding 89
had so fair an opportunity 607
had so fine an opportunity 163
had so good an opportunity 1182
had so good an understanding 100
had so great an opportunity 288
had so much to communicate 130
had the arts of complacence 40
had the best of governesses 47
had the duke of marlborough 73
had the duty of administering 92
had the duty of investigating 108
had the duty to investigate 95
had the gift of communicating 197
had the gift of conversation 57
had the gift of discernment 231
had the gift of hospitality 81
had the gift of immortality 50
had the gift of organization 88
had the gift of understanding 500
had the kind of conversation 54
had the kind of experiences 114
had the kind of opportunity 41
had the kind of personality 606
had the kind of relationship 549
