had again relapsed into his 89
had close business ties with 121
had close cultural ties with 117
had close economic ties with 267
had close emotional ties with 50
had close financial ties with 57
had close personal ties with 508
had crept untimely over him 188
had daily inquired into his 41
had drunk copiously from its 52
had either vanished from her 57
had every attention paid him 43
had faded entirely from his 48
had false prophets among you 56
had feared somebody else was 69
had final authority over all 71
had found entrance into his 43
had given definite form and 52
had legal authority over his 46
had nearly expended their own 68
had nearly finished their meal 94
had nearly finished when she 52
had never achieved more than 123
had never achieved what she 45
had never acquired more than 51
had never actually been out 114
had never actually been put 48
had never actually done any 44
had never actually done this 42
had never actually heard him 50
had never actually said that 228
had never actually seen any 243
had never actually seen her 235
had never actually seen him 341
had never actually seen his 50
had never actually seen one 1130
had never actually seen them 161
had never actually seen this 65
had never actually told her 60
had never actually told him 66
had never averaged more than 62
had never banished from his 54
had never believed there was 137
had never concealed from her 46
had never concealed from him 82
had never departed from her 89
had never departed from him 46
had never departed from his 120
had never departed from that 61
had never deserved less than 56
had never differed from him 72
had never embraced more than 76
had never employed more than 70
had never entirely died out 649
had never entirely left her 74
had never entirely left him 137
had never entirely lost his 48
had never entirely lost its 99
had never exchanged more than 431
had never expected from him 51
had never expected less that 68
had never happened like this 47
had never imagined such things 43
had never imagined there was 119
had never intended more than 86
had never mentioned having any 41
had never mentioned such things 85
had never numbered more than 266
had never obtained more than 61
had never occupied more than 63
had never produced more than 242
had never promised more than 62
had never provided more than 48
had never received from any 116
had never received from her 450
had never received from him 261
had never received from his 163
had never received from them 40
had never received less than 76
had never received more than 705
had never returned from his 109
had never suffered from any 830
had never suffered from him 41
had never suffered from that 60
had never suffered from this 62
had never suffered more than 40
had never supposed there was 87
had never traveled more than 420
had never traveled very far 97
had never ventured into this 80
had never ventured more than 167
had never ventured very far 67
had never wandered from his 50
had never wandered from our 47
had often enlarged upon his 51
had often exchanged nods and 51
had often lavished upon him 63
had often pondered over this 68
had often wondered just how 69
had often wondered just who 45
had often wondered what had 461
had often wondered what her 78
had often wondered what his 60
had often wondered what she 171
had often wondered what that 112
had often wondered what they 78
had often wondered what was 156
had quite suddenly left her 41
had quite vanished from his 94
had quite vanished into one 159
had rather continue poor all 79
had really happened there for 47
had really received from his 57
had risen straight from his 46
had seven children from his 49
had spent eighteen years with 44
had spent fourteen years with 42
had spent laborious days and 57
had spread abruptly over his 43
had strong cultural ties with 80
had strong economic ties with 134
had strong emotional ties with 71
had strong personal ties with 119
had taken definite form and 47
had taken monastic vows and 69
had taken religious vows and 51
had taken scarcely more than 43
had taken wearisome time and 59
had until recently been one 57
had water splashed over him 43
has alone remained pure and 48
has close economic ties with 152
has close personal ties with 48
has drawn visitors from all 45
has final authority over all 154
has gross receipts more than 87
has never absorbed more than 45
has never achieved more than 74
has never actually seen one 52
has never departed from his 114
has never departed from its 156
has never departed from that 85
has never departed from this 100
has never depended upon any 41
has never employed more than 54
has never entirely died out 391
has never entirely lost its 189
has never exceeded more than 82
has never happened like this 61
has never included more than 83
has never involved more than 52
has never numbered more than 163
has never occupied more than 44
has never produced more than 155
has never provided more than 46
has never received less than 58
has never received more than 328
has never required more than 49
has never squarely held that 148
has never suffered from any 339
has never suffered from that 52
has never suffered from this 77
has often differed from that 41
has often suffered from being 41
has quite recently been put 102
has since produced more than 71
has since retreated from this 44
has spent enormous sums for 46
has strong cultural ties with 41
has strong economic ties with 63
has taken abundant care that 52
has taken definite form and 52
has thrown reginald over for 41
has until recently been far 44
has until recently been one 174
has until recently been that 100
has until recently been too 56
hath quite devoured also our 156
head thrown slightly back and 78
heat which proceeds from that 48
her breast suffused over him 43
her cheek reclines upon her 56
her chief accusers were two 94
her close economic ties with 54
her dress differed from her 109
her every instinct told her 85
her exact likeness more than 50
her false guardians during his 44
her father bestowed upon her 50
her father depended upon her 40
her father insisted upon her 149
her father returned from his 204
her fingers trembled when she 45
her first communion when she 90
her first entrance into this 77
her hands clenched like death 44
her hands clenched over her 67
her hands clutched over her 40
her hands suddenly from his 55
her hands suddenly over her 61
her hands trembled when she 212
her knees slightly bent and 57
her light footstep from all 62
her minor children living with 194
her money troubles were too 64
her money whatever else had 68
her moral portrait these few 43
her mother rejoiced when she 84
her mother returned from her 44
her satin slippers were wet 117
her small straight nose and 54
her social security card and 121
her strong religious faith and 46
her tongue protruding from her 89
her voice acquired when her 139
her voice faltered when she 51
her voice quavered when she 56
her voice quivered when she 46
her voice remained calm and 51
her voice scarcely more than 133
her voice softened when she 68
her voice suddenly soft and 53
her voice suddenly thick with 45
her voice trembled when she 228
her whole attention upon her 56
her whole attitude there was 65
her whole innocent life had 45
him after everyone else had 41
him could scarcely hold him 45
