hair lips 164 hair stir 44
half nothing 239 half three 204
half what 209 half birth 467
half came 58 half coming 166
half dark 717 half dawn 379
half dick 46 half dusk 86
half five 1623 half food 278
half four 919 half giving 59
half having 361 half hearing 155
half high 49 half leaving 1981
half making 56 half meals 1076
half mixing 70 half nine 2339
half noon 1338 half reading 91
half rising 64 half seeing 168
half such 47 half take 101
half taking 1202 half their 1927
half these 70 half three 1052
half time 203 half waking 54
half work 72 half your 406
half have 95 half into 64
half from 80 half other 149
half three 149 half time 69
half week 167 half went 95
half came 525 half from 279
half having 41 half into 89
half made 49 half miss 43
half over 58 half some 42
half their 46 half there 1203
half these 78 half three 63
half took 51 half wearing 88
half went 77 half were 259
half when 5786 half when 45
half over 73 half break 106
half have 126 half came 55
half your 59 half over 54
half some 45 half their 48
half your 40 half have 370
half pass 56 half their 55
half from 208 half their 85
half length 68 half down 268
half have 129 half were 71
half living 48 half were 148
half will 55 half were 57
half what 44 half from 178
half over 48 half when 98
half into 296 half away 44
half life 53 half time 55
half from 73 half from 64
half from 302 half from 374
half dues 117 half asking 40
half trying 110 half length 42
half from 97 half time 64
half will 40 half length 122
half time 48 half life 138
half time 496 half were 92
half were 41 half have 196
half there 177 half were 750
half will 65 half were 44
half have 56 half were 53
half went 43 half were 159
half were 94 half were 134
half have 398 half live 350
half were 856 half will 262
half were 71 half were 54
half were 115 half have 328
half said 45 half were 830
half will 304 half have 292
half were 41 half were 121
half will 59 half have 69
half were 128 half have 115
half have 555 half have 622
half have 202 half aged 44
half life 66 half time 41
half from 130 half from 338
half north 81 half have 59
half break 57 half have 48
half must 110 half have 44
half half 84 half away 141
half have 82 half have 197
half know 42 half feet 101
half from 56 half wide 69
half more 61 half from 52
half wide 51 half more 145
half from 41 half from 178
half wide 178 half more 690
half their 158 half those 46
half what 56 half deep 47
halt rate 47 hand turn 40
hand went 53 hand come 56
hand like 42 hand have 79
hand hand 123 hand away 121
hand held 41 hand have 65
hand draw 135 hand have 271
hand cast 47 hand back 168
hand knee 679 hand thigh 136
hand hand 98 hand held 78
hand when 52 hand said 42
hand took 257 hand were 41
hand their 101 hand seem 127
hand foot 117 hand hand 112
hanging from 209 hanging from 261
hanging from 489 hanging from 115
hanging from 43 hanging word 968
hanging word 1531 hangs word 46
hangs word 176 hard think 45
hard years 150 hard down 43
hard down 163 hard ready 239
hard dawn 42 hard early 54
hard time 44 hard will 126
hard have 61 hard came 338
hard blow 57 hard from 55
hard sure 99 hard else 172
hard good 96 hard less 45
hard like 91 hard more 1470
hard very 44 hard wrong 51
hard like 46 hard into 41
hard like 40 hard from 68
hard from 182 hard down 70
hard from 46 hard from 176
hard when 91 hard when 57
hard what 193 hard their 45
hard came 135 hard ones 194
hard part 56 hard side 202
hard from 61 hard feel 41
hard like 59 hard think 82
hard talk 118 hard during 43
hard when 45 hard from 52
hard some 62 hard such 248
hard their 138 hard these 249
hard what 437 hard your 170
hard these 71 hard from 49
hard from 404 hard when 45
hard from 65 hard what 50
hard from 66 hard their 53
hard came 199 hard kind 41
hard ones 181 hard part 104
hard side 614 hard type 43
hard were 326 hard will 61
hard side 47 hard giving 47
hard leaving 56 hard much 96
hard other 50 hard such 41
hard these 51 hard what 497
hard your 49 hard from 48
hard such 101 hare have 65
harm over 101 harm till 109
harm good 88 harm from 43
harm beings 285 hate eyes 62
hate call 449 hate come 59
hate feel 47 hate look 42
hate make 103 hate take 41
hate talk 180 hate tell 397
hate think 65 hate think 125
hate your 124 hate what 468
hate away 266 hating part 66
hats like 47 have from 40
have time 138 have life 155
have list 45 have rate 87
have risk 42 have range 291
have time 107 have plan 75
have there 65 have upon 283
have died 44 have here 130
have upon 56 have into 63
have from 43 have left 65
have left 49 have over 597
have here 497 have there 173
have life 47 have time 67
have goal 51 have some 128
have goal 64 have goal 118
have duty 61 have task 68
have goal 175 have task 44
have theme 40 have what 88
have upon 101 have peace 66
have some 81 have their 507
have time 138 have what 107
have your 70 have weary 48
have done 65 have their 43
have days 45 have more 144
have years 276 have some 51
have great 79 have some 155
have your 43 have what 92
have been 56 have days 55
have years 300 have some 90
have what 126 have ells 67
have some 87 have days 207
have years 69 have very 58
have upon 223 have their 156
have been 55 have been 86
have some 65 have been 392
have seen 43 have date 40
have time 43 have been 159
have been 879 have felt 41
have been 215 have been 97
have been 91 have dealt 155
have ends 44 have their 44
have rise 188 have from 54
have been 369 have been 284
have over 55 have been 53
have also 104 have been 16007
have come 210 have done 110
have felt 153 have gone 164
have left 121 have lost 179
have made 314 have more 106
have only 216 have paid 48
have seen 84 have sunk 148
have used 115 have been 114
have like 107 have from 113
have like 85 have when 72
have such 50 have have 144
have also 58 have been 4078
have come 81 have done 43
have gone 97 have left 41
have lost 66 have made 73
have only 308 have their 57
have used 90 have very 41
have been 53 have seen 47
have paid 42 have your 42
have what 40 have been 249
have been 89 have also 133
have been 14025 have come 199
have done 180 have even 134
have gone 205 have held 57
have lost 56 have made 589
have only 85 have seen 68
have used 113 have been 53
have been 389 have been 175
have life 51 have most 45
