had all he can stand 56
had all of her mother 99
had all of his books 50
had all of his father 99
had all of his fingers 89
had all of his money 92
had all of his shots 49
had all of them bound 74
had all of them either 106
had all of them taken 59
had all of them tried 51
had all of them under 52
had all of this stuff 61
had all the new learning 50
had all the real power 419
had all the sex appeal 133
had all the things which 83
had all the year round 715
had and we are still 61
had any ear for music 175
had any of his books 46
had any of his father 41
had any of his fourth 150
had any of his money 59
had any of his works 65
had any of its stock 179
had any of our party 53
had any of our people 103
had any of that stuff 77
had any of them anything 72
had any of them green 80
had any of them known 50
had any thing but giants 148
had any thing that could 178
had any thing that would 57
had both of her hands 117
had both of his hands 243
had both of them finer 77
had both of them taken 56
had both to say might 180
had but an ill night 225
had but my own small 80
had but the one child 205
had but the one feeling 53
had but the one sight 43
had but to see white 87
had but to sit still 87
had cut in sir roger 168
had cut it too close 100
had cut it too short 41
had dug in her heels 150
had dug in his heels 329
had dug in its heels 176
had dug up and thrown 64
had each of them drunk 49
had each of them given 68
had each of them taken 72
had ears to hear could 82
had ears to hear might 70
had fed on his sweet 50
had few if any close 56
had few if any legal 58
had few if any peers 74
had for me and which 72
had for so long acted 111
had for so long borne 152
had for so long bound 184
had for so long ceased 101
had for so long feared 156
had for so long found 133
had for so long given 198
had for so long known 137
had for so long lived 616
had for so long ruled 334
had for so long stood 378
had for so long taken 244
had for so long tried 423
had for so long urged 41
had got in his hands 50
had got it all fixed 66
had got it all right 111
had got on all right 189
had got on his horse 98
had got on his trail 43
had got to hear about 111
had got to her first 52
had got to him first 97
had got to his knees 57
had got to his place 62
had got to that pitch 56
had got to that point 355
had got to that stage 190
had got to that state 110
had got to them first 91
had got to this place 81
had got to this point 569
had got to this stage 88
had got to this state 72
had got up and begun 79
had got up and given 44
had got up and moved 268
had got up and stood 169
had got up and taken 109
had got up that morning 333
had got up this morning 125
had got up two hours 41
had had an easy laugh 66
had had an idea about 66
had had an idea which 61
had had an odd feeling 69
had had as its first 49
had had by her first 67
had had by his first 80
had had in her brief 57
had had in her father 40
had had in her hands 55
had had in him faded 58
had had in his father 53
had had in his first 66
had had in his hands 392
had had in his house 196
had had in his keeping 162
had had in his power 48
had had in its hands 40
had had in six months 72
had had in this world 68
had had in two weeks 47
had had it for about 106
had had it read aloud 53
had had my way about 49
had had no idea about 193
had had no idea until 155
had had no idea where 330
had had no meal since 63
had had no meat since 41
had had no pay since 46
had had no real power 46
had had no real reason 49
had had no real sleep 41
had had of his father 53
had had on her first 90
had had on his father 61
had had on his first 44
