had ably discharged its principal 70
had been accumulating for centuries 630
had been accustomed for centuries 732
had been astonished and delighted 201
had been celebrated for centuries 98
had been christened and confirmed 79
had been considered and discarded 97
had been considered and discussed 144
had been considered and dismissed 74
had been considered for centuries 54
had been considered too difficult 47
had been considered too expensive 82
had been cultivated and developed 46
had been cultivated and exercised 68
had been cultivated for centuries 352
had been desecrated and destroyed 54
had been designated his successor 58
had been determined and discussed 40
had been devastated and abandoned 45
had been diligently and skilfully 61
had been discharged for impudence 44
had been discovered and colonized 66
had been discovered and conquered 173
had been discovered and corrected 72
had been discovered and described 216
had been discovered and destroyed 111
had been discovered and developed 601
had been discovered and excavated 116
had been discovered and exploited 247
had been discovered and perfected 52
had been discovered and prevented 78
had been discovered and published 256
had been dismantled and abandoned 55
had been encouraged and developed 104
had been encouraged and protected 46
had been encouraged and supported 208
had been entrenched for centuries 88
had been extinguished and abandoned 63
had been formulated and presented 56
had been formulated and published 64
had been formulated with reference 72
had been frequently her assistant 69
had been identified and corrected 54
had been identified and described 112
had been identified and discussed 61
had been imprisoned and condemned 74
had been imprisoned and maltreated 112
had been imprisoned and sentenced 104
had been imprisoned for blasphemy 53
had been imprisoned for political 368
had been improperly and illegally 49
had been instituted and developed 40
had been intermixed with inquiries 51
had been introduced and developed 95
had been introduced and discussed 68
had been introduced and supported 53
had been maintained and developed 47
had been maintained for centuries 237
had been ornamented and beautified 51
had been overlooked and forgotten 113
had been overlooked and neglected 65
had been overturned and scattered 135
had been overworked and underpaid 87
had been patronized and appointed 47
had been persecuted and oppressed 199
had been persecuted for centuries 128
had been persecuted for political 53
had been prosecuted and acquitted 65
had been prosecuted and condemned 76
had been prosecuted and convicted 215
had been prosecuted and sentenced 82
had been prosecuted for obscenity 52
had been prosecuted with reasonable 45
had been prosecuted with unremitting 45
had been prospected and condemned 101
had been prosperous and respected 91
had been provisioned with reference 47
had been recognized and confirmed 81
had been recognized and described 122
had been recognized and protected 160
had been recognized and respected 79
had been recognized for centuries 309
had been registered for copyright 49
had been sacrificed for political 49
had been stimulated and sharpened 57
had been strengthened and augmented 94
had been strengthened and confirmed 234
had been strengthened and developed 44
had been strengthened and fortified 42
had been suppressed for centuries 157
had been surrounded and destroyed 59
had been traditional for centuries 108
had been translated and published 1920
had been treacherous and ungrateful 107
had been undermined and destroyed 69
had been understood and exercised 62
had been understood and explained 48
had been understood and practiced 48
had been understood for centuries 89
had been undertaken and completed 128
had been undertaken was fulfilled 63
had been undertaken with resolution 179
had ever confronted any president 53
had ever maintained that revelation 45
had great experience and knowledge 54
had just celebrated her eighteenth 53
had just celebrated his eighteenth 55
had just celebrated his seventieth 73
had left mesopotamia but slenderly 54
