hail from the approaching boat 51
half come to prosecute their 99
half from the dizziness bred 60
half hour of television time 217
half hour we descended into 75
half years of intensive work 126
hand down to posterity some 145
hand down to posterity such 45
hand down to posterity their 193
hand down to posterity these 95
hand down to posterity those 170
hand from the empirical laws 48
hand side is different from 43
hand upon the abdominal wall 64
hand upon the distended part 61
hand will be stretched forth 114
hanging like an avalanche over 57
hanging over the redemption fund 101
hanging over the starboard side 72
hangs over the political life 77
hard disk or removable disk 45
hard disk or removable media 70
hard fact of political life 101
hard part is determining what 52
hard work is generally done 46
harm from the predicate acts 94
harm will be inflicted upon 71
have also an advantage over 44
have also an important bearing 396
have also an important part 51
have also an important role 188
have also an influence upon 66
have also the advantage over 57
have been an abstainer from 76
have been an actionable wrong 68
have been an adaptation from 81
have been an additional spur 47
have been an advantage when 43
have been an agreement among 85
have been an altogether more 99
have been an ancestral form 51
have been an attempted coup 41
have been an effective means 534
have been an effective tool 183
have been an efficient means 57
have been an elaborate hoax 48
have been an encouraging sign 58
have been an englishman born 45
have been an especially good 68
have been an estimable young 91
have been an exceedingly busy 43
have been an exceedingly fine 80
have been an exceedingly good 77
have been an exceedingly slow 49
have been an excellent base 45
have been an excellent good 49
have been an excellent means 99
have been an excellent part 92
have been an excellent plan 47
have been an excellent shot 67
have been an excellent site 47
have been an excellent time 161
have been an excellent tool 41
have been an excellent wife 131
have been an expensive item 44
have been an extremely busy 66
have been an extremely good 143
have been an extremely high 73
have been an extremely poor 49
have been an extremely rare 138
have been an extremely rich 44
have been an extremely slow 246
have been an extremely time 42
have been an immigrant from 155
have been an important base 41
have been an important book 97
have been an important city 352
have been an important clue 52
have been an important crop 146
have been an important early 88
have been an important fact 218
have been an important food 406
have been an important form 105
have been an important goal 85
have been an important item 418
have been an important link 237
have been an important means 701
have been an important part 13317
have been an important port 136
have been an important post 52
have been an important road 41
have been an important role 47
have been an important site 163
have been an important step 777
have been an important task 48
have been an important theme 125
have been an important time 58
have been an important tool 368
have been an important town 327
have been an important work 89
have been an impression made 60
have been an inference from 103
have been an influence from 73
have been an influence here 65
have been an influence upon 135
have been an interesting case 78
have been an interesting kind 47
have been an interesting test 40
have been an interesting time 80
have been an interesting trip 61
have been an interesting work 41
have been an intricate part 43
have been an intrinsic part 237
have been an invariable rule 44
have been an invitation from 51
have been an irrational step 48
have been an opportune time 234
have been an unpleasant task 68
have been an unusually fine 98
have been an unusually good 129
have been an unusually high 118
have been an unwritten rule 56
have been as dependent upon 47
have been as different from 242
have been as reasonably made 47
have been by dismantling part 82
have been in centuries past 42
have been in desperate need 165
have been in different ages 48
have been in different ways 70
have been in excellent health 274
have been in excruciating pain 86
have been in existence among 147
have been in existence during 851
have been in existence early 73
have been in existence even 341
have been in existence ever 307
have been in existence four 73
have been in existence from 1195
have been in existence here 129
have been in existence less 365
have been in existence many 220
have been in existence more 564
have been in existence much 404
have been in existence only 1024
have been in existence over 273
have been in existence prior 591
have been in existence some 377
have been in existence soon 46
have been in existence there 386
have been in existence these 77
have been in existence three 63
have been in existence very 60
have been in existence well 83
have been in existence when 917
have been in intensive care 87
have been in miserable case 56
have been in newspaper work 43
have been in political life 99
