hardly overestimate the value of 153
heavily overshadowed by learning in 54
helped considerably to raise the 78
helped considerably to swell the 45
herald communicated the words of 85
hereby acknowledges the right of 382
higher concentration in order to 40
higher concentration is found in 43
higher concentration of auxin on 78
higher concentration of people in 52
higher concentration of salts in 76
higher concentration of sugar in 63
higher concentration of water in 68
higher concentration of water to 106
higher concentration of women in 52
higher consciousness in which the 42
higher magnification in order to 41
higher magnification is shown in 77
higher participation of women in 206
higher productivity in order to 69
higher productivity in terms of 113
higher productivity of labor in 109
higher requirements in terms of 51
higher temperatures as shown in 82
higher temperatures at which the 171
higher temperatures in order to 346
higher temperatures is shown in 49
higher temperatures the value of 54
higher temperatures the yield of 56
higher temperatures to which the 51
higher unemployment in order to 47
highly concentrated in terms of 188
highly consequential in terms of 44
highly controversial in terms of 66
highly heterogeneous in terms of 229
highly instrumental in changing the 54
highly instrumental in rousing the 83
highly instrumental in shaping the 52
highly satisfactory in terms of 59
highly standardized in terms of 47
honest independence of feeling in 41
