he ask for a fish 152
he ate with a good 234
he being then a young 82
he bit off a chew 58
he bit with a good 63
he can act a part 41
he can bring a suit 142
he can buy a farm 54
he can buy a good 75
he can dig a pond 50
he can earn a good 74
he can earn a living 1394
he can for a living 81
he can for a time 121
he can get a boat 46
he can get a book 57
he can get a clear 183
he can get a copy 143
he can get a date 66
he can get a fair 258
he can get a feel 78
he can get a firm 43
he can get a free 145
he can get a full 149
he can get a girl 73
he can get a good 1712
he can get a great 144
he can get a grip 142
he can get a hearing 184
he can get a high 53
he can get a hold 253
he can get a lease 97
he can get a line 40
he can get a living 300
he can get a loan 208
he can get a look 94
he can get a more 117
he can get a much 163
he can get a pass 41
he can get a ride 96
he can get a rise 63
he can get a room 88
he can get a ship 62
he can get a shot 286
he can get a single 49
he can get a very 112
he can get a view 56
he can get a wife 77
he can get a word 165
he can get a work 73
he can hit a ball 109
he can hit a mark 56
he can lay a hand 46
he can lead a life 102
he can not i will 47
he can put a stop 153
he can read a book 178
he can run a mile 62
he can say a good 41
he can say a word 242
he can see a clear 55
he can see a good 93
he can see a great 117
he can see a joke 45
he can set a good 40
he can tie a knot 43
he can with a clear 40
he can with a good 104
he can with a safe 44
he can with a single 106
he cut but a poor 76
he cut him a good 45
he cut off a finger 81
he cut off a foot 366
he cut off a great 101
he cut off a length 68
he cut off a lock 241
he cut off a part 83
he cut off a tiny 47
he cut out a hole 43
he did and a love 47
he did and i grow 62
he did and i have 69
he did and i know 53
he did and i think 60
he did for a good 102
he did for a living 20198
he did for a month 45
he did for a time 2088
he did for a very 44
he did for a week 45
he did get a call 46
he did get a good 179
he did get a great 51
he did get a look 42
he did get a very 42
he did her a great 41
he did him a great 44
he did him a wrong 48
he did not i must 42
he did not i said 82
he did not i think 72
he did not i went 43
he did own a copy 48
he did say a great 84
he did say a word 111
he did see a great 78
he did them a great 96
he did was a good 48
he did was a great 99
he did was a very 58
he did with a clear 43
he did with a firm 107
he did with a full 64
he did with a good 241
he did with a great 665
he did with a heavy 111
he did with a kind 49
he did with a loving 41
he did with a most 133
he did with a single 94
he did with a sort 89
he did with a very 416
he did with a view 297
he did with a will 337
he did you a good 61
he did you a great 49
he does for a living 9996
he does for a time 48
he does get a good 71
he does not i have 51
he does not i know 43
he does not i will 282
he does owe a duty 55
he does read a great 72
he does that i will 47
he does them a great 217
he does with a great 71
he does with a lord 153
he does with a most 48
he does with a view 96
he doing for a living 107
he goes for a ride 106
he goes for a swim 224
he goes for a walk 1125
he goes for a week 104
he goes out a good 41
he goes out a great 44
he got but a very 55
he got him a good 41
he got not a single 43
