had among the highest rates 167
had been an adopted child 129
had been an airline pilot 108
had been an amateur actor 88
had been an amateur boxer 544
had been an ancient greek 143
had been an ancient roman 192
had been an antique dealer 40
had been an article about 127
had been an awkward pause 42
had been an elderly woman 43
had been an election issue 45
had been an endless round 54
had been an engineer under 48
had been an episode which 42
had been an express order 41
had been an express party 46
had been an honored guest 290
had been an increase since 65
had been an increasing trend 75
had been an invalid since 194
had been an invited guest 251
had been an officer since 86
had been an officer thirty 59
had been an officer under 656
had been an official dutch 50
had been an official under 122
had been an olympic event 51
had been an unhappy child 68
had been an unusual child 40
had been an unusual woman 50
had been an unwilling agent 48
had been an unwilling party 54
had been an upright judge 106
had been as excited about 47
had been as worried about 45
had been at carlton house 98
had been at college about 44
had been at daggers drawn 579
had been at hampton court 91
had been at immense pains 60
had been at unusual pains 82
had been in america about 140
had been in america longer 137
had been in america nearly 120
had been in america since 777
had been in ancient egypt 101
had been in ancient times 888
had been in austrian hands 74
had been in beverly hills 53
had been in britain since 162
had been in british hands 486
had been in certain cases 41
had been in chicago about 41
had been in chicago since 91
had been in closest touch 74
had been in colonial times 555
had been in command since 348
had been in congress since 313
had been in contact since 356
had been in control since 277
had been in custody since 364
had been in decline since 1686
had been in default since 193
had been in deficit since 63
had been in despair about 61
had been in dispute since 475
had been in distant lands 130
had been in eclipse since 210
had been in extreme danger 222
had been in extreme peril 43
had been in federal hands 48
had been in florida since 56
had been in foreign hands 143
had been in foreign lands 95
had been in foreign parts 251
had been in general terms 97
had been in germany since 246
had been in happier times 55
had been in holland since 42
had been in ireland since 263
had been in jeopardy since 40
had been in peaceful times 46
had been in perfect order 158
had been in perfect shape 51
had been in perfect working 133
had been in position about 58
had been in position since 359
had been in previous months 64
had been in previous times 182
had been in private hands 417
had been in process since 384
had been in question since 61
had been in refugee camps 42
had been in regular touch 86
had been in request since 114
had been in reserve since 63
had been in service about 160
had been in service longer 137
had been in service nearly 61
had been in service since 929
had been in service under 48
had been in several parts 98
had been in several times 233
had been in shanghai since 48
had been in southern italy 45
had been in spanish hands 126
had been in storage since 296
had been in trouble about 65
had been in trouble again 81
had been in trouble since 310
had been in tsarist times 64
had been in turkish hands 170
had been in turmoil since 223
had been in uniform since 82
had been in vietnam since 194
had been in virginia since 202
had been no advance since 40
had been no advance warning 215
had been no anxiety about 55
had been no contact since 87
had been no dispute about 82
had been no drastic change 46
had been no election since 47
had been no example since 63
had been no increase since 43
had been no instant since 45
had been no material change 596
had been no mistake about 140
had been no mystery about 41
had been no outward change 50
had been no previous signs 41
had been no previous warning 76
had been no problem about 80
had been no quarter given 61
had been no question about 334
had been no radical change 170
had been no regular treaty 40
had been no secrecy about 84
had been no supreme court 52
had been no trouble about 98
had been no trouble since 60
had been no trouble until 68
had been no useless gnawing 85
had been no visible change 64
had been no visible signs 80
had been no written proof 46
had been of gradual growth 92
had been of immense value 302
had been of limited value 72
had been on display since 76
had been on distant terms 74
had been on familiar terms 519
had been on hostile terms 68
had been on pleasant terms 51
had been on previous trips 40
had been on several raids 48
had been on several trips 46
had been on stiffly speaking 57
had been so adamant about 1122
had been so careful about 216
had been so cautious about 55
had been so certain about 65
had been so closely bound 532
had been so closely drawn 47
had been so cruelly beaten 85
had been so cruelly slain 41
had been so cruelly taken 128
had been so cruelly tried 57
had been so evasive about 47
