hair in readiness to perform 111
half an imitation of writers 53
half is composed of granite 41
half is strained to conceit 46
half so numerous or dreadful 40
half the calories of regular 156
half the children in america 71
half the children of primary 237
half the citizens to trample 64
half the distance is covered 57
half the distance of closest 160
half the distance of mercury 48
half the families in america 176
half the husbands in grenada 53
half the legality of marriage 62
half the marriages in america 54
half the miseries of mankind 59
half the quantity of alcohol 65
half the quantity of caustic 100
half the quantity of diamonds 85
half the quantity of protein 54
half the salaries of medical 56
half the wavelength of visible 153
halt the expansion of slavery 204
halt the extension of slavery 54
halt the progress of science 97
hand he declined to support 83
hand he required the estates 41
hand in disguising the letters 71
hand is extended to receive 74
hand is required to operate 49
hand me straight the precise 71
hand of sometime thy husband 69
hand the direction of affairs 112
hand the patriarch of poverty 143
hand to desolate the country 114
hanging of convicts in prisons 51
hard as possible to achieve 67
hard as possible to prevent 59
hard to conceive of anybody 44
hard to conceive of emerson 105
hard to conceive the anxiety 48
hard to convince the average 147
hard to convince the british 146
hard to convince the country 48
hard to describe in general 90
hard to describe in language 65
hard to describe the emotions 72
hard to describe the pleasure 48
hard to describe the process 60
hard to discover the precise 92
hard to estimate in advance 147
hard to estimate the effects 42
hard to estimate the numbers 63
hard to estimate the precise 55
hard to evaluate the effects 53
hard to evaluate the quality 57
hard to evaluate the results 68
hard to identify in advance 46
hard to identify the precise 76
hard to maintain the balance 94
hard to maintain the delusion 51
hard to maintain the dignity 41
hard to maintain the illusion 92
hard to maintain the position 60
hard to maintain the quality 71
hard to overcome the effects 69
hard to overcome the problem 53
hard to persuade the average 80
hard to persuade the british 171
hard to pinpoint the precise 60
hard to remember the beginning 131
hard to remember the details 151
hard to separate the effects 372
hard to vanquish or control 64
harm in attempting to wrestle 86
hate the condition of slavery 45
have an accident or illness 51
have an addiction to alcohol 81
have an alkaline or neutral 61
have an attitude of respect 252
have an attitude of service 54
have an audience of millions 67
have an audience of napoleon 47
have an audience to witness 62
have an elevation of between 86
have an immediate or delayed 41
have an immersion to undergo 50
have an instance of alliance 82
have an instinct to protect 79
have an intention of deceiving 240
have an intention of remaining 69
have an interest in accepting 83
have an interest in achieving 185
have an interest in acquiring 384
have an interest in advancing 70
have an interest in african 46
have an interest in analyzing 50
have an interest in asserting 60
have an interest in assessing 55
have an interest in assisting 81
have an interest in attacking 46
have an interest in attending 74
have an interest in banishing 69
have an interest in believing 61
have an interest in certain 246
have an interest in comparing 48
have an interest in concealing 400
have an interest in conveying 97
have an interest in current 41
have an interest in deceiving 195
have an interest in defending 566
have an interest in directing 45
have an interest in employing 55
have an interest in enforcing 153
have an interest in enhancing 61
have an interest in enlarging 45
have an interest in everything 311
have an interest in examining 77
have an interest in excluding 95
have an interest in expanding 315
have an interest in exploring 165
have an interest in extending 152
have an interest in following 138
have an interest in fomenting 44
have an interest in foreign 181
have an interest in forgiving 68
have an interest in fostering 472
have an interest in freedom 62
have an interest in furthering 90
have an interest in gardening 114
have an interest in general 45
have an interest in history 251
have an interest in improving 465
have an interest in increasing 531
have an interest in investing 148
have an interest in language 77
have an interest in marketing 119
have an interest in matters 110
have an interest in medical 66
have an interest in misleading 151
have an interest in national 73
have an interest in natural 95
have an interest in obscuring 145
have an interest in observing 83
have an interest in obtaining 433
have an interest in privacy 110
have an interest in private 47
have an interest in procuring 44
have an interest in producing 173
have an interest in profits 70
have an interest in prolonging 76
have an interest in promoting 1416
have an interest in providing 489
have an interest in quality 148
have an interest in receiving 306
have an interest in recording 68
have an interest in rejecting 45
have an interest in religion 145
have an interest in remaining 166
have an interest in rendering 74
have an interest in repelling 48
have an interest in reporting 75
have an interest in research 353
have an interest in resisting 141
have an interest in resolving 131
have an interest in restoring 43
have an interest in retaining 338
have an interest in returning 45
have an interest in schools 42
have an interest in science 721
have an interest in selecting 62
have an interest in several 68
have an interest in supplying 68
have an interest in tourism 49
have an interest in upholding 138
have an interest in utilizing 40
have an interest or concern 67
have an interest to deceive 118
have an interest to declare 43
have an interest to prevent 187
have an interest to protect 137
have an interval of leisure 83
have an operation to correct 177
have in reaffirming the central 290
have it education to purpose 114
have it entirely to himself 57
have it prepared in advance 48
have it therefore in command 68
have me renounce my religion 63
have my daughter in marriage 95
have no alphabet of letters 119
have no authority in matters 104
have no authority or control 277
have no authority to acquire 41
have no authority to appoint 167
have no authority to approve 83
have no authority to ascribe 231
have no authority to believe 47
have no authority to collect 58
have no authority to command 196
have no authority to concern 53
have no authority to conduct 89
have no authority to consent 42
have no authority to control 151
