had as my daily portion 58
had at the first glance 187
had at the first moment 198
had at the right moment 51
had at the usual places 60
had by the first decade 40
had in an equal degree 93
had in it force enough 91
had in my breast pocket 114
had in my shirt pocket 55
had in my sleep strange 42
had in my whole career 45
had in my whole entire 46
had in no sense become 65
had in no small degree 622
had in no small measure 417
had in the armed forces 45
had in the breast pocket 41
had in the civil rights 70
had in the first decade 176
had in the first edition 174
had in the first moment 107
had in the first person 50
had in the first session 114
had in the first twenty 44
had in the first version 54
had in the greek church 169
had in the large vessel 43
had in the later middle 65
had in the later stages 46
had in the months before 223
had in the period before 128
had in the roman empire 233
had in the season before 45
had in the state courts 282
had in the stock market 205
had in the usual course 118
had in the usual manner 112
had in the weeks before 82
had in the whole course 305
had in the whole island 66
had in the whole pieces 52
had in the world before 252
had in the world except 193
had in the world should 41
had in the world without 40
had in the world wooden 48
had it in large coarse 66
had it in large measure 52
had it the night before 255
had of the issue joined 42
had of the whole affair 59
had on my hands another 51
had on the anvil various 69
had on the black market 94
had on the drawing boards 104
had on the evening before 284
had on the final result 42
had on the first ballot 82
had on the labor market 59
had on the money supply 48
had on the night before 1680
had on the people around 178
had on the point itself 149
had on the rhine itself 53
had on the stock market 49
had on the table before 217
had on the whole become 104
had on the whole better 132
had on the whole failed 129
had on the whole gained 44
had on the whole little 136
had on the whole proved 264
had on the whole tended 91
had on the whole treated 104
had on the whole worked 370
had on the world around 114
had to an equal degree 47
had to be about something 321
had to be about twenty 132
had to be above ground 52
had to be added another 66
had to be added before 346
had to be added twenty 95
had to be after something 47
had to be alert enough 60
had to be asked before 220
had to be asked whether 308
had to be based almost 65
had to be based mainly 111
had to be based partly 44
had to be based solely 172
had to be beaten before 265
had to be begun afresh 250
had to be begun before 51
had to be bored through 232
had to be borne almost 41
had to be borne before 63
had to be borne mainly 42
had to be borne without 118
had to be brave enough 165
had to be broad enough 315
had to be built across 589
had to be built afresh 90
had to be built almost 174
had to be built around 1893
had to be built before 542
had to be built behind 47
had to be built farther 48
had to be built higher 211
had to be built inside 137
had to be built slowly 49
had to be built through 381
had to be built without 117
had to be close enough 643
had to be cured before 141
had to be dearly bought 71
had to be drawn across 83
had to be drawn around 99
had to be drawn before 127
had to be drawn through 178
had to be dried before 253
had to be drunk before 77
had to be earned before 91
had to be earned through 310
had to be ended before 103
had to be ended without 42
had to be faced before 823
had to be faced sooner 163
had to be faced whether 94
had to be faced without 160
had to be feeling pretty 45
had to be filed before 245
had to be fired before 123
had to be first cleared 57
had to be first created 42
had to be fixed before 448
had to be flown across 62
had to be found abroad 82
had to be found across 42
had to be found around 211
had to be found before 1677
had to be found beyond 44
had to be found guilty 234
had to be found inside 93
had to be found through 312
had to be found without 205
had to be freed before 64
had to be fully backed 81
had to be fully clothed 111
had to be geared toward 114
had to be getting closer 63
had to be given access 166
had to be given another 166
had to be given before 789
had to be given brandy 62
had to be given credit 205
had to be given effect 169
had to be given enough 230
had to be given freely 98
had to be given further 93
had to be given greater 206
had to be given higher 50
had to be given instead 54
had to be given notice 140
had to be given orally 182
had to be given orders 51
had to be given oxygen 166
had to be given police 154
had to be given powers 42
had to be given proper 66
had to be given public 46
had to be given relief 65
had to be given serious 177
had to be given something 395
had to be given special 664
had to be given through 204
had to be given without 148
had to be healed before 74
had to be healthy enough 89
had to be heated before 197
had to be hired through 51
had to be known before 252
had to be large enough 6091
had to be light enough 723
had to be lived before 77
had to be lived through 1763
had to be lucky enough 72
had to be missing something 148
had to be moved across 280
had to be moved around 840
had to be moved before 321
had to be moved closer 110
had to be moved farther 206
had to be moved further 385
had to be moved inland 208
had to be moved inside 228
had to be moved slowly 41
had to be moved through 211
had to be neatly folded 41
had to be newly created 126
had to be playing tricks 175
had to be pushing eighty 99
had to be quick before 82
had to be quick enough 53
had to be quite simple 45
had to be right around 45
had to be right before 72
had to be rigid enough 49
had to be rowed across 106
had to be rowed ashore 114
had to be saved before 53
had to be saved through 58
had to be seated before 45
had to be short enough 408
had to be shown around 49
had to be shown before 221
