had also its prominent class 56
had been any telephone calls 44
had been for centuries feeding 40
had been for centuries under 291
had been for centuries until 45
had been her bitterest enemy 60
had been her defensive armor 116
had been her spiritual guide 58
had been his assistant since 101
had been his bitterest enemy 79
had been his companions since 40
had been his principal agent 48
had been his residence since 65
had been his secretary since 85
had been his spiritual father 66
had been his spiritual guide 44
had been his trademark since 42
had been its president since 75
had been long generally known 101
had been long separated under 83
had been lying perfectly still 104
had been one continued scene 216
had been one delegation after 46
had been one principal author 84
had been our customary haven 68
had been she certainly would 40
had been thus destroyed would 68
had been too concerned about 240
had been two centuries since 52
had been two different people 85
had done this countless times 119
had eased her overflowing bosom 41
had from any published works 45
had held its inaugural meeting 63
had kept them gravitating round 44
had laid her desperate hands 47
had lain for centuries under 72
had left its indelible marks 45
had left its indelible stamp 41
had lost all effective power 62
had lost all political power 155
had lost all political value 40
had lost all practical value 57
had lost his political power 59
had lost its expansive power 55
had lost its political power 162
had lost its strategic value 71
had lost that political power 83
had made any inquiries about 118
had made her painfully aware 62
had made him determine never 57
had made him generally feared 52
had made him painfully aware 114
had made him translate short 49
had made his appearance about 57
had made his appearance within 43
had made his intentions known 188
had made his intentions plain 50
had made his intentions quite 66
had made his political debut 80
had made his statement about 56
had made his triumphal entry 250
had made its appearance about 120
had made its appearance after 42
had made its appearance again 54
had made its appearance since 74
had made its appearance under 98
had made its appearance within 40
had made one concession after 61
had made that perfectly plain 100
had made them apprehend danger 262
had made two scaffolds under 48
had made two telephone calls 63
had made with wonderful skill 56
had many and mysterious dealings 46
had many and plentiful feasts 119
had more than fulfilled every 40
had only one complaint about 88
had only one irregular child 40
had only one political party 163
had owed her existence rather 161
had paid her assiduous court 41
had said that afternoon about 47
had seen any prodigious birds 316
had seen him countless times 57
had seen that charlotte could 44
had seen this wonderful sight 52
had sent them christmas cards 53
had their own interests which 54
had their own intrinsic value 42
had their own political party 127
had their own suspicions about 54
had ties with organized crime 115
had told her countless times 76
had told her yesterday about 40
had told him countless times 67
had told him petitioner might 66
had told him yesterday about 45
had used his political power 45
had used its political power 47
has been and sometimes still 82
has been any important change 61
has been any reasonable cause 48
has been for centuries close 79
has been for centuries known 50
has been for centuries under 181
has been its president since 570
has been its secretary since 63
has been one continued habit 40
