facsimile here given is 49
factories also began to 64
factories also sprang up 50
factories came under the 88
factories come under the 40
factories coming under the 189
factories from coast to 52
factories from morning to 46
factories from which it 109
factories from which the 177
factories have begun to 165
factories have ceased to 68
factories have found it 65
factories have grown up 473
factories have moved to 120
factories have risen on 51
factories have sprung up 779
factories have taken the 57
factories have tried to 43
factories soon began to 44
factories there would be 52
factories took place in 84
factories upon which the 40
factories were about to 59
factories were added to 118
factories were asked to 95
factories were based on 133
factories were begun in 40
factories were blown up 191
factories were bound to 43
factories were built as 115
factories were built at 411
factories were built by 279
factories were built in 5230
factories were built on 704
factories were built or 66
factories were built to 777
factories were built up 50
factories were drawn to 44
factories were fixed at 46
factories were found in 94
factories were found to 196
factories were geared to 77
factories were given the 52
factories were growing up 42
factories were known as 69
factories were known to 58
factories were moved to 206
factories were often the 50
factories were owned by 604
factories were quick to 48
factories were running at 211
factories were running on 100
factories were short of 84
factories were sited in 45
factories were small in 40
factories were springing up 1099
factories were still in 154
factories were under the 189
factories were urged to 57
factories were willing to 82
factories were within the 42
factories were working at 259
factories were working in 69
factories were working on 223
factories were working to 105
factories will begin to 61
faculties from which it 80
faculties from which the 179
faculties from which we 68
faculties have begun to 170
faculties have ceased to 52
faculties into which the 61
faculties must first be 58
faculties must issue in 67
faculties only which we 49
faculties over which we 63
faculties upon which it 81
faculties upon which the 120
faculties were added to 76
faculties were asked to 56
faculties were equal to 78
faculties were failing me 41
faculties were flown to 162
faculties were found to 40
faculties were given to 162
faculties were given us 86
faculties were still in 60
faculties were strung to 58
faculties were taken up 79
faculties were under the 78
faculties were wanting to 79
faculties will admit of 46
faculties will allow us 51
faithfully from place to 46
faithfully kept since the 43
faithfully kept until the 82
faithfully were liable to 68
fallacies from which the 164
fallacies into which he 97
fallacies into which the 106
fallacies into which we 106
fallacies upon which it 102
fallacies upon which the 145
fallacious ideas about the 53
falsehood from which it 111
falsehood into which he 54
falsehood must cause the 59
falsehood take place of 234
falsehood will occur in 125
falsified their claim to 42
fanatical sect known as 120
fantasies from which the 51
fantasies were about to 72
fantasies were based on 84
fantastic dream world of 51
fantastic ideas about the 249
fantastic tale about the 120
fantastic turn taken by 47
farewells took place in 57
farmhouse from which he 53
farmhouse from which the 102
farmhouse just below the 56
farmhouse once owned by 40
farmlands were owned by 47
fascinating book about the 439
fascinating book based on 47
fascinating book could be 117
fascinating book might be 41
fascinating book tells the 64
fascinating book worthy of 53
fascinating case study in 549
fascinating case study of 1667
fascinating case study on 60
fascinating data about the 64
fascinating fact about the 103
fascinating life cycle of 47
fascinating life story of 193
fascinating reading about the 64
fascinating tale about the 72
fascinating theory about the 50
fascinating true story of 102
fascinating young woman is 56
fascinating young woman of 41
fastidious muse might be 41
fatherland from which he 94
fathomless great deeps of 54
favorable case where the 66
favorable even though the 69
favorable news about the 211
favorable ruling would be 53
favorable view taken by 49
favorable vote could be 46
favorable will would be 64
favorable wind sprang up 258
favorable wind springing up 133
favorable wind sprung up 198
favorable word about the 56
favorites sail close by 51
fearlessly make known the 359
federation fell apart in 51
federation into which the 41
federation there would be 71
federation took place in 92
federation were drawn up 47
feminists also began to 75
feminists have begun to 1157
feminists have drawn on 347
feminists have found in 85
feminists have found it 223
feminists have found the 100
feminists have given up 42
feminists have noted the 84
feminists have shown the 60
feminists have shown to 48
feminists have taken on 152
feminists have taken the 167
feminists have taken to 44
feminists have taken up 199
feminists have tried to 819
feminists talk about the 59
feminists urge women to 75
feminists want women to 88
feminists were aware of 68
feminists were drawn to 43
feminists were quick to 162
feminists were right to 43
feminists were seeking to 51
feminists were willing to 192
fermented milk known as 51
fertility also began to 43
fertility among women in 222
fertility among women of 104
fertility cult based on 41
fertility even though the 44
fertility rate based on 66
fertility rate began to 111
fertility rate below the 92
fertility rate could be 77
fertility rate drops to 59
fertility rate falls to 49
fertility rate peaked at 41
fertility rate seems to 80
fertility rate since the 95
fertility rate stood at 95
fertility rate tends to 83
fertility rate which is 127
fertility rate would be 218
fertility took place in 66
fertility well below the 54
fertility were found in 50
fertility were found to 60
fertility will begin to 67
fervently hope never to 50
festivals came round to 86
festivals during which the 175
festivals have begun to 42
festivals have sprung up 77
festivals take place at 216
festivals take place in 722
festivals take place on 301
festivals taking place in 136
festivals took place at 143
festivals took place in 420
festivals took place on 65
festivals were added to 65
festivals were based on 86
festivals were fixed by 55
festivals were given at 51
festivals were given in 108
festivals were given to 60
festivals were known as 63
festivals were times of 76
festivals were under the 45
festivity took place in 63
festooned from floor to 53
feudalism from which it 71
feudalism gave place to 80
feudalism took place in 50
feudalism will appear to 43
fictitious body which is 48
fictitious life which is 79
fictitious name given by 53
fictitious name given to 252
fictitious name which is 61
fictitious part which he 191
fictitious self which we 233
fieldwork took place at 46
fieldwork took place in 431
fieldwork upon which the 51
fifteenths were voted in 46
figurines were found at 259
figurines were found in 902
figurines were found on 121
filaments also occur in 43
filaments from which the 141
filaments into which the 129
filaments were added to 42
filaments were found in 258
filaments were found to 223
filaments were heated to 50
filaments were shown to 56
filtrates were added to 50
filtrates were found to 66
filtration rate based on 42
filtration rate could be 133
filtration rate falls to 167
filtration rate tends to 150
filtration rate which is 75
filtration rate would be 99
finalists were asked to 43
finalized only after the 191
finalized their plans to 84
firebombs were thrown at 47
fireflies were dancing in 43
fireplace adds warmth to 42
fireplace from which the 95
fireplace over which the 55
fireworks took place in 69
fireworks took place on 64
fireworks were about to 236
firmament from which the 133
firstborn male child of 45
firstborn male shall be 220
firstborn were slain of 42
fisheries take place in 43
fisheries upon which the 44
fisheries were based on 52
fisherman were drawing in 42
fishermen from fishing in 104
fishermen have begun to 104
fishermen have found it 55
fishermen have given up 63
fishermen have taken to 46
fishermen have tried to 67
fishermen know where to 90
fishermen were about to 107
fishermen were asked to 93
fishermen were aware of 51
fishermen were bound to 48
fishermen were drawing in 100
fishermen were fishing in 46
fishermen were found to 74
fishermen were given the 93
