facade overlooking the river 56
facile imitations of prose 139
faction succeeded in gaining 40
faction succeeded in getting 74
factor abundance in terms 55
factor activation in human 51
factor consisted of items 91
factor controlling the growth 188
factor controlling the level 76
factor controlling the onset 59
factor controlling the speed 45
factor cytotoxic to human 46
factor determining the change 95
factor determining the child 42
factor determining the final 136
factor determining the growth 295
factor determining the level 877
factor determining the local 46
factor determining the onset 84
factor determining the order 62
factor determining the power 83
factor determining the price 430
factor determining the scale 68
factor determining the scope 92
factor determining the shape 254
factor determining the social 94
factor determining the speed 158
factor determining the spread 44
factor determining the state 77
factor determining the total 228
factor determining the trend 50
factor determining the upper 43
factor determining the value 635
factor determining the yield 61
factor encouraging the growth 217
factor encouraging the spread 41
factor expressed in terms 220
factor expression in human 1148
factor indicated in table 43
factor influencing the change 112
factor influencing the child 274
factor influencing the court 98
factor influencing the final 170
factor influencing the growth 661
factor influencing the learning 142
factor influencing the level 1075
factor influencing the lives 52
factor influencing the local 57
factor influencing the onset 58
factor influencing the power 41
factor influencing the price 366
factor influencing the rates 45
factor influencing the scope 46
factor influencing the shape 173
factor influencing the shift 50
factor influencing the social 97
factor influencing the speed 153
factor influencing the spread 79
factor influencing the state 67
factor influencing the total 148
factor influencing the trend 81
factor influencing the value 263
factor influencing the water 42
factor influencing the yield 85
factor intensity of trade 197
factor presented in table 46
factor prevention in black 53
factor production by human 362
factor production by tumor 218
factor production in human 58
factor receptors by human 113
factor receptors in human 879
factor receptors in mouse 55
factor receptors on human 290
factor restraining the growth 41
factor restricting the growth 73
factor specified in table 57
factor stimulating the growth 181
factor structure in which 68
factor structure of adult 63
factor structure of moral 42
factor suspected of causing 44
factor throughout the period 151
factor throughout the region 54
factor throughout the whole 428
factor throughout the world 59
failed altogether to grasp 88
failed altogether to prove 70
failed decidedly to endear 57
failed miserably at every 54
failed miserably in every 56
failed miserably in getting 48
failed miserably in keeping 43
failed miserably in meeting 51
failed miserably in others 58
failed miserably in terms 63
failed miserably to carry 51
failed miserably to create 41
failed miserably to prove 41
failed miserably to solve 86
failed precisely to catch 48
failed throughout the world 62
fainting christians no longer 78
fairly attribute no small 95
fairly committed the whole 42
fairly committed to black 69
fairly confident he could 101
fairly confident he would 97
fairly confident it would 54
fairly confident of finding 54
fairly confident of getting 63
fairly confident of winning 57
fairly conquered in point 129
fairly convicted of error 49
fairly convulsed the whole 214
fairly deposited in front 147
fairly described in terms 64
fairly difficult to carry 40
fairly difficult to catch 52
fairly difficult to change 66
fairly difficult to prove 48
fairly difficult to solve 54
fairly difficult to write 50
fairly effective in keeping 85
fairly effective in treating 41
fairly efficient in terms 43
fairly enveloped in smoke 46
fairly estimated at about 256
fairly expensive in terms 76
fairly expensive to build 58
fairly forgotten the words 175
fairly impervious to water 118
fairly insoluble in water 166
fairly prisoners as though 43
fairly proceeded to pulling 58
fairly reasonable in price 74
fairly regularly in small 45
fairly represent the author 42
fairly represent the class 124
fairly represent the facts 251
fairly represent the moral 46
fairly represent the nation 84
fairly represent the people 360
fairly represent the state 199
fairly represent the total 232
fairly represent the value 193
fairly represent the views 270
fairly represent the whole 1108
fairly resistant to acids 146
fairly resistant to change 313
fairly resistant to decay 56
fairly resistant to frost 122
fairly resistant to water 105
fairly sensitive to price 44
fairly stationary at about 52
fairly supported the finding 83
fairly unsettled the reason 295
fairly widespread in china 43
fairly widespread in japan 44
fallen character of human 88
fallen commander in chief 47
fallen fragments of stone 145
fallen limestone of every 48
fallen secretary of state 48
fallen throughout the night 132
fallen throughout the period 48
fallen throughout the world 75
family allowance or child 101
family assembled to greet 42
family assembled to mourn 76
family chronicle in which 65
family collection of books 53
family community in which 96
family conditions in which 87
family consisted of about 90
family consisted of eight 769
family consisted of father 1477
family consisted of george 57
family consisted of james 59
family consisted of mother 266
family consisted of seven 733
family consisted of thomas 52
family consisted of women 255
family continued to carry 62
family continued to dwell 46
family continued to enjoy 313
family continued to exert 57
family continued to exist 148
family continued to fight 40
family continued to press 49
family continued to reign 211
family continued to serve 134
family continued to sleep 50
family continued to spend 80
family continued to thrive 66
family continued to visit 128
family continued to write 42
family continues to change 61
family continues to enjoy 87
family continues to exert 66
family continues to exist 248
family continues to serve 105
family continues to thrive 41
family converted to islam 228
family discussion in which 72
family dominated by women 66
family emergency or juror 46
family emigrated to egypt 50
family emigrated to israel 147
family emigrated to paris 43
family existence as petty 53
family expedition to visit 40
family foundation of louis 91
family hierarchy in which 121
family histories in order 49
family histories in which 324
family histories of asthma 103
family histories of breast 698
family histories of colon 67
family histories of every 59
family histories of major 49
family histories of manic 46
family histories of people 65
family household in which 276
family influence is still 50
family influence on child 40
family inhabited the house 67
family limitation or spacing 45
family occupation of farming 87
family ownership at first 50
family ownership is still 51
family ownership of farms 66
