fan wavering higher like 52
far better mental health 51
far beyond anyone else 199
far beyond middle life 72
far beyond simply making 63
far beyond visual range 52
far darker shadow over 150
far deeper emotion when 65
far detach itself from 41
far eastern soviet union 108
far enough beyond their 142
far enough indeed from 41
far enough inland from 74
far future gleamed like 66
far greater charge have 44
far greater degree among 49
far greater degree done 47
far greater degree even 41
far greater degree from 85
far greater degree those 495
far greater degree upon 87
far greater degree when 88
far greater demand upon 77
far greater effect upon 568
far greater effect when 57
far greater effort must 43
far greater extent among 81
far greater extent during 81
far greater extent even 114
far greater extent from 266
far greater extent into 55
far greater extent upon 181
far greater extent when 109
far greater impact upon 392
far greater impact when 59
far greater injury upon 59
far greater issues were 50
far greater losses from 76
far greater moment were 127
far greater number from 125
far greater number have 423
far greater number having 45
far greater number must 110
far greater number were 701
far greater number will 144
far greater powers over 59
far greater powers were 41
far greater profit from 44
far greater public health 50
far greater rights over 103
far greater strain upon 99
far greater stress upon 181
far greater through what 74
far greater twenty years 85
far higher degree among 49
far higher prices were 47
far indeed beyond what 88
far larger impact upon 103
far larger number have 149
far larger number must 52
far larger number were 245
far larger number will 64
far lesser extent from 48
far neither agreed what 49
far played little part 91
fat intake should come 70
fat through merely hearing 48
fear already creeping over 52
fear passed coldly over 72
fear something graver even 47
fed almost wholly upon 64
fed babies should have 57
fee simple estate will 58
few animal models have 41
few atomic layers from 49
few atomic layers thick 262
few blocks across town 112
few blocks farther along 302
few blocks farther away 85
few blocks farther down 442
few blocks farther from 47
few blocks farther north 392
few blocks farther south 328
few blocks farther west 220
few blocks further along 74
few blocks further down 203
few blocks further north 208
few blocks further south 155
few blocks further west 138
few blocks inland from 182
few blocks uphill from 86
few blocks uptown from 69
few brains except those 63
few bright colors there 71
few cabins seemed like 51
few career options open 52
few changes around here 136
few choice quotes from 46
few chosen guests whom 65
few curious stares from 52
few damned thieves only 40
few direct quotes from 74
few drinks before coming 50
few drinks before heading 43
few eastern states have 55
few english authors have 72
few english pupils there 49
few english readers ever 63
few english readers have 53
few english readers will 64
few english troops were 42
few evenings before their 40
few fleecy clouds were 134
few forbear drinking wine 58
few french papers rising 52
few french troops were 70
few further changes were 59
few further points need 56
few german planes were 54
few german troops were 83
few guests except during 60
few hollow groans from 101
few houses farther down 69
few houses further down 47
few inches behind your 49
few inches beyond their 40
few inches deeper into 102
few inches farther along 44
few inches farther away 251
few inches farther back 157
few inches farther down 117
few inches farther from 148
few inches farther into 56
few inches further away 114
few inches further back 87
few inches further down 129
few inches further from 70
few inches higher from 50
few indians passed into 73
few krauts around there 42
few leagues farther north 41
few leagues inland from 78
few lights gleamed from 45
few little asters amid 61
few lonely voices were 51
few maxims handed down 191
few member states have 177
few million pounds worth 45
few modern authors have 74
few modern nations have 70
few modern readers have 106
few modern readers will 194
few modern villas were 83
few mornings before seen 52
few native states take 56
few nights before from 87
few nights before leaving 49
few nights before there 44
few nights before when 202
few nights earlier when 133
few nights passed during 86
few normal adults many 109
few obvious errors have 43
few orders issued from 62
few places around here 74
few places around town 127
few places better worth 44
few points emerge from 49
few pollen grains were 62
few powers beyond those 56
few public meetings were 57
few public spaces left 44
few recent novels more 159
few recent papers have 71
few reform meetings were 63
few school boards have 90
few silver grains were 52
few simple groups such 48
few skills beyond those 48
few slight changes have 143
few slight changes were 169
few square inches only 62
few stakes driven into 67
few states already have 72
few states passed laws 130
few states permit none 127
few stopping places upon 40
few street lights were 77
few unifying values have 68
