field analysis provides a 68
final sentence contains a 45
final syllable contains a 151
finding probably reflects a 127
first appendix contains a 53
first approach involves a 183
first approach provides a 64
first approach requires a 139
first approach utilizes a 44
first argument contains a 89
first category contains a 61
first category includes a 182
first category involves a 72
first condition requires a 71
first evidence suggesting a 46
first incident involved a 148
first instance intended a 41
first instance involved a 62
first instance involves a 42
first movement contains a 140
first movement presents a 76
first movement provides a 45
first sentence contains a 349
first sentence presents a 65
first sentence provides a 115
first sentence suggests a 67
first situation involved a 50
first situation involves a 102
first syllable contains a 118
fishing industry provides a 44
foods containing vitamins a 75
found evidence suggesting a 99
found evidence supporting a 116
fourth category includes a 46
fruit somewhat resembling a 97
fusion proteins containing a 67
