fabled lost continent of 89
fables were collected by 62
fables were published in 74
fabric were possessed of 45
fabric will determine the 59
faction from intermingling in 60
faction having confessed it 45
faction once possessed of 87
faction took advantage of 202
faction took possession of 58
factor beta modulates the 125
factor beta regulates the 42
factor during transition of 64
factor from membranes of 44
factor gene expression at 85
factor gene expression by 233
factor gene expression in 1392
factor gene expression is 50
factor more difficult to 54
factor more important in 110
factor more important to 83
factor most conducive to 91
factor most difficult to 98
factor most important in 317
factor most important to 186
factor must certainly be 65
factor must influence the 45
factor theory developed by 43
factor very difficult to 53
factor very important in 54
factor viii expressed in 49
factor viii inhibitor in 84
factor viii inhibitor is 142
factor when calculating the 191
factor when considering an 54
factor when considering the 1208
factor when determining the 418
factor will certainly be 57
factor will determine the 348
factor will generally be 155
factor will influence the 298
factor worth considering in 158
factor worth considering is 236
failed from inability to 79
failed most miserably in 120
failed most miserably to 42
failed when subjected to 140
fairly been described as 154
fairly clean separation of 53
fairly clear conception of 1067
fairly clear definition of 187
fairly clear delineation of 47
fairly clear exposition of 63
fairly clear expression of 70
fairly clear hierarchy of 47
fairly clear impression of 412
fairly clear indication of 1056
fairly clear instances of 49
fairly clear knowledge of 124
fairly clear perception of 188
fairly clear reference to 147
fairly clear reflection of 43
fairly clear separation of 88
fairly clear statement of 333
fairly clear throughout the 44
fairly deep knowledge of 104
fairly even proportion of 50
fairly even throughout the 451
fairly free adaptation of 52
fairly free expression of 51
fairly full collection of 64
fairly full discussion of 231
fairly full exposition of 82
fairly full knowledge of 238
fairly full statement of 127
fairly good adaptation to 43
fairly good agreement as 193
fairly good agreement at 43
fairly good agreement in 276
fairly good agreement is 304
fairly good agreement of 159
fairly good agreement on 163
fairly good awareness of 45
fairly good barometer of 104
fairly good collection of 513
fairly good conception of 209
fairly good conductor of 517
fairly good considering the 118
fairly good definition of 152
fairly good discussion of 60
fairly good estimates of 559
fairly good estimation of 133
fairly good evaluation of 56
fairly good imitations of 73
fairly good impression of 450
fairly good impression on 58
fairly good indication as 44
fairly good indication of 2014
fairly good indicator of 1080
fairly good knowledge of 2855
fairly good perception on 43
fairly good prediction of 236
fairly good predictor of 770
fairly good proportion of 143
fairly good prospects of 88
fairly good reflection of 136
fairly good reputation in 74
fairly good resolution of 48
fairly good separation of 171
fairly good simulation of 46
fairly good specimens of 119
fairly good statement of 80
fairly good throughout the 107
fairly high altitudes in 64
fairly high considering the 70
fairly high densities of 75
fairly high frequency in 176
fairly high frequency is 47
fairly high frequency of 599
fairly high incidence in 74
fairly high incidence of 1739
fairly high intensity of 95
fairly high proportion in 57
fairly high proportion of 5671
fairly high stability of 58
fairly high standards in 44
fairly high standards of 349
fairly high throughout the 269
fairly into possession of 67
fairly just criticism in 93
fairly rich collection of 65
fairly safe assumption is 54
fairly safe assumption to 51
fairly safe indication of 61
fairly sure indication of 108
fairly take advantage of 79
fairly take possession of 50
fairly took possession of 164
fairly true reflection of 74
fairly well committed to 112
fairly well completed by 86
fairly well confirmed by 290
fairly well connected by 60
fairly well connected to 43
fairly well conserved in 43
fairly well considering the 156
fairly well contained in 49
fairly well convinced by 56
fairly well convinced of 118
fairly well corrected by 41
fairly well delineated by 58
fairly well delineated in 43
fairly well described as 91
fairly well described by 1072
fairly well described in 336
fairly well described the 68
fairly well describes the 247
fairly well developed as 195
fairly well developed at 458
fairly well developed by 608
fairly well developed in 3499
fairly well developed on 215
fairly well developed so 49
fairly well developed the 60
fairly well developed to 68
fairly well dominated by 54
fairly well establish the 45
fairly well estimated by 131
fairly well exhausted by 48
fairly well exhausted the 56
fairly well explained by 359
fairly well explained in 116
