fabled minerva from the 51
fables current among the 152
fables derived from the 209
fables gathered from the 72
fabric depends upon the 171
fabric derived from the 55
fabric emerges from the 43
fabric extending from the 47
fabric resulting from the 115
fabric results from the 51
fabric samples from the 53
fabric tightly over the 63
fabric together along the 92
fabric together leaving an 55
fabric usually made of 114
facade visible from the 52
facets resulting from the 52
facile descent into the 81
faction against their king 41
faction seceded from the 96
faction withdrew from the 168
factor affecting rate of 94
factor affects only the 121
factor applies also to 71
factor applies only to 313
factor balancing test to 54
factor because many of 64
factor because most of 57
factor because there is 236
factor becomes part of 46
factor between what is 41
factor brought into the 48
factor deduced from the 139
factor depending only on 428
factor depending upon the 3282
factor depends also on 80
factor depends only on 843
factor depends upon the 1992
factor derived from an 64
factor derived from the 2205
factor derives from the 545
factor deviates from the 58
factor differing from the 42
factor differs from the 312
factor emanating from the 295
factor emerged from the 169
factor emerges from the 124
factor entered into the 1125
factor follows from the 190
factor incomes from the 140
factor incomes such as 44
factor markets during the 42
factor markets must be 71
factor markets such as 213
factor markets will be 64
factor omitted from the 224
factor operating during the 47
factor operating here in 75
factor operating here is 95
factor operating upon the 50
factor present only in 179
factor released from the 419
factor released into the 83
factor removed from the 63
factor resulting from the 2139
factor results from the 638
factor returns will be 55
factor solution will be 45
factor stemmed from the 116
failed because even if 57
failed because many of 120
failed because most of 229
failed because none of 181
failed because only the 60
failed because some of 170
failed because there is 361
failed because when the 46
failed rapidly during the 77
failed several years in 41
failed utterly when the 49
fainting invalid into the 57
fairly against those of 42
fairly assumed from the 103
fairly average sort of 44
fairly between four in 53
fairly bounced into the 47
fairly bounded into the 86
fairly bounded over the 47
fairly brought down the 387
fairly brought face to 107
fairly brought home to 156
fairly brought into the 97
fairly brought tears to 83
fairly carried away by 302
fairly carried away the 112
fairly central part of 60
fairly central role in 71
fairly certain from the 492
fairly certain means of 54
fairly certain none of 54
fairly certain sign of 100
fairly certain there is 113
fairly certain what the 120
fairly charged upon the 68
fairly classed among the 120
fairly closely along the 67
fairly closely during the 46
fairly closely from the 163
fairly closely into the 64
fairly closely over the 98
fairly closely those of 239
fairly closely tied to 191
fairly closely upon the 80
fairly closely what the 90
fairly compact body of 70
fairly compact mass of 73
fairly complex body of 49
fairly complex form of 65
fairly complex sets of 47
fairly complex type of 42
fairly correct view of 107
fairly counted gold is 40
fairly cowered down to 77
fairly crawled upon my 97
fairly cynical view of 74
fairly deduced from it 138
fairly deduced from the 1157
fairly defined areas of 49
fairly derived from the 253
fairly descend into the 58
fairly distant from the 700
fairly diverse range of 119
fairly divided among the 585
fairly dragged into the 40
fairly dripped from the 50
fairly emerged from the 229
fairly entered into by 109
fairly entered into the 651
fairly entered upon it 72
fairly entered upon the 859
fairly equally among the 222
fairly equally from the 49
fairly equally over the 119
fairly escaped from the 108
fairly evident from the 816
fairly examine into the 100
fairly extreme case of 77
fairly extreme form of 132
fairly faithful copy of 221
fairly familiar even to 72
fairly follows from the 90
fairly gathered from the 242
fairly general among the 168
fairly general case of 70
fairly general during the 86
fairly general form of 83
fairly general lack of 63
fairly general over the 43
fairly general rule in 57
fairly general theory of 75
fairly general type of 97
fairly general view of 56
fairly gloated over the 153
fairly implied from the 444
fairly knocked down by 106
fairly liberal form of 48
fairly liberal view of 89
fairly limited areas of 41
fairly limited body of 59
fairly limited list of 41
fairly limited part of 41
fairly limited range of 1394
fairly limited role in 126
fairly limited view of 72
fairly literal reading of 94
fairly orthodox view of 40
fairly painful time of 62
fairly passive role in 149
fairly peaceful during the 41
fairly popular among the 158
fairly popular during the 75
fairly popular form of 55
fairly pounced upon the 51
fairly precise dating of 63
fairly precise meaning in 62
fairly precise view of 42
fairly puzzled what to 58
fairly quickly came to 107
fairly quickly come to 48
fairly quickly during the 118
fairly quickly from the 465
fairly quickly into the 218
fairly quickly once it 43
fairly quickly once the 154
fairly quickly over the 101
fairly quickly when the 112
fairly radical form of 61
fairly rapidly along the 83
fairly rapidly among the 51
fairly rapidly during the 631
fairly rapidly even at 42
fairly rapidly from the 654
fairly rapidly into the 259
fairly rapidly once the 112
fairly rapidly over the 336
fairly rapidly when the 206
fairly regular during the 41
fairly regular flow of 165
fairly regular over the 65
fairly regular part of 123
fairly regular rate of 89
fairly regular rows of 79
fairly relaxed view of 104
fairly released from the 146
fairly reliable body of 48
fairly reliable clue to 62
fairly reliable data on 211
fairly reliable list of 70
fairly reliable means of 311
fairly reliable rule of 120
fairly reliable sign of 228
fairly reliable test of 93
fairly reliable ways of 64
fairly reliable when the 45
fairly reliably from the 43
fairly removed from the 205
fairly resulting from the 56
fairly routine part of 55
fairly sanguine view of 50
fairly screamed into the 59
fairly settled down in 249
fairly settled down to 498
fairly settled upon the 43
fairly shallow depth of 70
fairly sharply during the 59
fairly sharply from the 144
fairly shouted into the 123
fairly sighted from the 57
fairly similar among the 113
fairly similar over the 59
fairly sizable body of 83
fairly skimmed over the 113
fairly skipped down the 58
fairly smoothly during the 59
fairly smoothly from the 75
fairly smoothly into the 68
fairly smoothly over the 43
fairly squealed into my 64
fairly started down the 54
fairly started from the 49
fairly started upon the 128
fairly started when the 71
fairly steadily during the 403
fairly steadily from the 419
fairly steadily over the 522
fairly steeply from the 197
fairly steeply into the 41
fairly stringent test of 102
fairly swarmed into the 73
fairly swarmed over the 54
fairly tightly into the 76
fairly tightly over the 57
fairly tumbled down the 97
fairly tumbled into the 47
fairly typical among the 48
fairly typical case in 64
fairly typical case is 77
fairly typical case of 603
fairly typical form of 97
fairly typical home of 92
fairly typical kind of 59
fairly typical list of 79
fairly typical range of 77
fairly typical type of 56
fairly typical view of 71
fairly unified body of 47
fairly uniform along the 228
fairly uniform among the 261
fairly uniform body of 126
fairly uniform code of 62
fairly uniform depth of 132
fairly uniform during the 211
fairly uniform flow of 110
fairly uniform from the 139
fairly uniform over the 1156
fairly uniform range of 44
fairly uniform rate in 52
fairly uniform rate of 570
fairly uniform rise in 45
fairly uniform size in 55
fairly uniform size of 89
fairly uniform type of 209
fairly uniform when the 44
fairly uniform width of 108
fairly ushered into the 44
fairly visible from the 50
falcon towered high in 117
fallen chiefly into the 67
fallen chiefly upon the 141
fallen comrade from the 55
fallen finally into the 43
fallen forward from the 136
fallen forward into the 324
fallen forward onto the 101
fallen forward over the 109
fallen forward upon the 215
fallen halfway down the 47
fallen halfway into the 40
fallen heaviest upon the 55
fallen himself into the 138
fallen largely into the 515
fallen largely upon the 105
fallen perhaps into the 61
fallen plaster from the 146
fallen rapidly during the 90
fallen rapidly over the 61
fallen sharply during the 401
fallen sharply from the 129
fallen sharply over the 412
fallen steadily during the 194
fallen steadily from the 85
fallen steadily over the 516
fallen steeply during the 43
fallen together into the 98
fallen veteran from the 54
fallen warriors from the 106
fallen wounded into the 52
family adopted into the 58
family affairs coming to 290
family affairs during the 76
family affairs from the 49
family affairs into the 144
family affairs must be 89
family affairs such as 338
family affairs were in 96
family affairs will be 92
