face alternately pale and 117
face transformed into that 83
face wonderfully like that 60
fact constitutes only one 51
fact contributed more than 46
fact inseparable from its 43
fact predominate over any 57
fading environment when using 865
fail prematurely during its 127
fair distribution among all 62
fair inheritance from our 66
fair presentation when one 138
fair understanding from her 44
faith development theory and 70
faith requirement were not 73
fall comfortably into any 41
fall exclusively into any 45
fall exclusively into one 297
fall ineffectual from his 129
fall principally into two 247
fall principally upon him 74
feel comfortable among them 71
feel comfortable asking any 55
feel comfortable asking for 801
feel comfortable asking her 112
feel comfortable asking him 166
feel comfortable asking them 170
feel comfortable asking you 107
feel comfortable caring for 98
feel comfortable coming out 159
feel comfortable dealing with 870
feel comfortable giving and 45
feel comfortable giving him 42
feel comfortable giving out 116
feel comfortable giving them 45
feel comfortable giving you 125
feel comfortable hanging out 162
feel comfortable having her 53
feel comfortable having him 68
feel comfortable having sex 136
feel comfortable having them 76
feel comfortable having this 51
feel comfortable having you 86
feel comfortable here and 102
feel comfortable here with 46
feel comfortable just being 53
feel comfortable leaving her 147
feel comfortable leaving him 83
feel comfortable leaving them 77
feel comfortable leaving you 89
feel comfortable living with 380
feel comfortable making this 55
feel comfortable only with 215
feel comfortable saying that 718
feel comfortable saying this 45
feel comfortable taking off 46
feel comfortable taking them 46
feel comfortable there and 108
feel comfortable trying out 59
feel comfortable voting for 60
feel comfortable wearing them 56
feel comfortable when she 185
feel comfortable when they 1775
feel comfortable when using 69
feel comfortable when you 1296
feel comfortably sure that 81
feel constrained from doing 67
feel differently from any 47
feel differently from her 47
feel differently from him 99
feel differently from one 98
feel differently from you 71
feel differently once you 72
feel differently when she 85
feel differently when they 142
feel differently when you 631
feel discouraged when they 102
feel discouraged when you 102
feel embarrassed when she 64
feel embarrassed when they 747
feel embarrassed when you 330
feel intimidated when they 116
feel intimidated when you 66
feel overwhelmed when they 189
feel overwhelmed when you 150
feel responsible only for 198
feel satisfaction when they 101
fell impatiently upon her 49
fell occasionally from his 48
fell straightway into one 146
felt comfortable among them 66
felt comfortable asking for 123
felt comfortable asking her 91
felt comfortable asking him 105
felt comfortable dealing with 240
felt comfortable giving him 45
felt comfortable hanging out 42
felt comfortable leaving her 88
felt comfortable leaving him 50
felt comfortable only with 136
felt comfortable saying that 103
felt comfortable there and 147
felt comfortable when she 75
felt comfortable when they 72
felt comfortably sure that 55
felt constrained from doing 62
felt embarrassed when she 243
felt embarrassed when they 109
felt immeasurably hard and 45
felt perspiration break out 220
felt responsible only for 59
