fan winnows the buxom 192
far abandon the rules 142
far advance the cause 112
far against the grain 67
far against the night 99
far alarmed the people 72
far appeared in print 291
far asunder as heaven 88
far asunder the morning 41
far avoided the issue 46
far avoided the worst 42
far because he could 46
far because it would 111
far because the right 50
far between at first 74
far between in hills 45
far between in rural 61
far between in which 134
far between the lines 109
far between the trees 47
far broader in scope 1085
far brought to light 1870
far claimed the lives 53
far corners of china 58
far corners of japan 50
far corners of russia 56
far corners of space 54
far country in order 119
far country in search 72
far country in times 107
far country in which 97
far country of which 58
far country to trade 45
far country to which 255
far declare the throne 53
far distant as china 98
far distant as heaven 70
far distant as thirty 61
far distant in place 167
far distant in point 48
far distant in space 631
far distant in which 300
far distant on either 44
far distant on which 55
far distant to admit 56
far distant to allow 100
far eastward as boone 43
far eastward as china 63
far eastward as japan 50
far enabled to judge 146
far escaped the worst 96
far everything is quite 55
far exceeding in beauty 165
far exceeding in merit 43
far exceeding in power 145
far exceeding in scope 114
far exceeding in value 482
far exceeding the costs 68
far exceeding the dancing 75
far exceeding the first 72
far exceeding the growth 539
far exceeding the hopes 46
far exceeding the human 153
far exceeding the legal 151
far exceeding the level 201
far exceeding the limit 83
far exceeding the local 45
far exceeding the needs 169
far exceeding the others 123
far exceeding the period 43
far exceeding the power 462
far exceeding the price 44
far exceeding the rates 74
far exceeding the royal 196
far exceeding the scale 41
far exceeding the scope 535
far exceeding the space 44
far exceeding the speed 179
far exceeding the total 917
far exceeding the usual 380
far exceeding the value 520
far exceeding the wants 146
far exceeding the whole 290
far exceeding the works 52
far exceeding the world 49
far exceeding the worst 59
far exceeds in beauty 127
far exceeds in merit 40
far exceeds in scope 92
far exceeds in value 472
far exceeds the above 58
far exceeds the breadth 54
far exceeds the costs 147
far exceeds the crime 60
far exceeds the danger 54
far exceeds the first 75
far exceeds the funds 60
far exceeds the grasp 109
far exceeds the growth 308
far exceeds the human 323
far exceeds the known 113
far exceeds the legal 58
far exceeds the level 680
far exceeds the limit 141
far exceeds the local 118
far exceeds the money 141
far exceeds the needs 276
