facilitate weaning from mechanical 80
facilities have been completely 84
facilities have been considered 131
facilities have been criticized 49
facilities have been designated 46
facilities have been determined 52
facilities have been dismantled 43
facilities have been eliminated 48
facilities have been identified 236
facilities have been inadequate 174
facilities have been integrated 83
facilities have been introduced 386
facilities have been maintained 43
facilities have been modernized 138
facilities have been privatized 52
facilities have been recognized 52
facilities have been relatively 44
facilities have been strengthened 48
facilities have been successful 65
facilities have been undertaken 85
facilities there were inadequate 57
facilities were also considered 46
facilities were also inadequate 90
facilities were very inadequate 141
facsimiles have been reproduced 103
falsehoods have been circulated 133
falsehoods have been propagated 64
fatalities have been attributed 156
fellowship from yale university 78
filmmakers were more interested 44
flourished even more vigorously 44
footprints have been discovered 142
forefathers have been accustomed 160
forefathers were very particular 115
foreigners like some tremendous 80
formidable from their possessions 53
fortresses were well garrisoned 46
foundations have been criticized 43
foundations have been discovered 417
foundations have been identified 93
foundations have been strengthened 90
foundations have been undermined 292
frameworks have been formulated 43
frameworks have been identified 67
frameworks have been introduced 73
franchises even more democratic 63
frequently errs from invincible 81
frequently find great difficulty 70
frequently give their indications 43
frequently have been attributed 42
frequently have been considered 93
frequently have been criticized 77
frequently have been identified 65
frequently have been overlooked 99
frequently have been successful 55
frequently have great difficulty 228
frequently have more difficulty 72
frequently have some difficulty 50
frequently made into insensible 50
frequently much more convenient 72
frequently these were cultivated 111
frequently used coping strategies 98
frequently used data structures 80
frequently used such expressions 60
frequently uses such expressions 55
friendship have been invaluable 266
