fan mounted under the 49
far appeared under the 56
far between after the 75
far between since the 109
far between until the 208
far briefer period of 51
far britain would be 42
far britain would go 64
far broader array of 593
far broader basis of 71
far broader class of 119
far broader field of 123
far broader group of 66
far broader issue of 48
far broader notion of 80
far broader scope of 141
far broader sense of 77
far broader vision of 62
far brought about by 40
far brought under the 74
far certain types of 44
far congress could go 71
far corners where the 80
far country where he 234
far country where the 217
far country which is 59
far distant began to 63
far distant hills of 62
far distant isles of 53
far distant lands as 41
far distant lands of 80
far distant lands to 166
far distant parts of 1329
far distant period in 67
far distant period of 198
far distant place of 139
far distant place to 62
far distant point in 92
far distant point of 170
far distant realms of 51
far distant region of 737
far distant sound of 77
far distant stage of 62
far distant stood the 42
far distant though it 76
far distant times of 58
far distant where the 47
far distant wilds of 66
far everything seems to 210
far exactly shall it 59
far exalted above the 651
far exalted above us 99
far exceeding anything he 147
far exceeding anything in 196
far exceeding anything of 228
far exceeding anything the 129
far exceeding anything to 61
far exceeding anything we 183
far exceeds anything he 41
far exceeds anything in 104
far exceeds anything of 197
far exceeds anything the 112
far exceeds anything to 84
far exceeds anything we 567
far exceeds either of 41
far exceeds every thing 94
far excelling anything of 45
far feebler sense of 75
far forward above the 61
far forward beneath the 65
far forward under the 255
far forward until he 59
far grander piece of 40
far grander scale in 154
far grander scale of 49
far grander scale the 42
far happier frame of 81
far happier state of 124
far happier under the 61
far healthier state of 44
far horizon might be 110
far horizon where the 310
far inferior force of 99
far inferior state of 83
far inferior value to 142
far interior where the 116
far lighter trials of 45
far loftier merit of 82
far loftier order of 56
far mankind still is 65
far northeast coast of 61
far northern coast of 361
far northern fringes of 40
far northern limit of 49
far northern parts of 852
far northern point of 60
far northern region of 348
far northern state of 61
far released again as 71
far removed above the 670
far removed either in 70
far removed parts of 48
far removed though it 87
far removed within the 58
far sharper sense of 49
far shorter period of 454
far shorter space of 187
far sighted vision of 86
far simpler forms of 57
far simpler method is 55
far simpler method of 194
far smaller doses of 66
far smaller force of 89
far smaller group of 242
far smaller place in 93
far smaller scale in 79
far smaller scale of 51
far smaller share in 78
far smaller share of 689
far smaller world of 52
far southern coast of 66
far southern parts of 250
far southern point of 49
far southern region of 132
far southern state of 46
far stopped short of 238
far stranger force of 76
far stronger appeal to 124
far stronger claim on 55
far stronger claim to 202
far stronger feeling of 82
far stronger force in 67
far stronger force of 108
far stronger kingdom of 42
far stronger proof of 176
far stronger reason to 58
far stronger sense of 494
far stronger showing of 166
far studied appear to 142
far subtler sense of 56
far superior class of 120
far superior class to 92
far superior either to 96
far superior fleet of 76
far superior force he 61
far superior force of 1053
far superior force to 228
far superior level of 49
far superior merit to 41
far superior method of 507
far superior method to 64
far superior order of 66
far superior order to 80
far superior power of 101
far superior state of 49
far superior style to 86
far superior value of 106
far superior weapon to 45
far surpass anything in 140
far surpass anything of 207
far surpass anything the 94
far surpass anything we 111
far surpass others in 97
far tougher labor to 168
far towards breaking the 75
far towards breaking up 74
far towards changing the 125
far towards clearing the 44
far towards clearing up 153
far towards creating the 132
far towards cutting the 51
far towards filling the 87
far towards forming the 54
far towards helping the 64
far towards helping us 78
far towards holding the 52
far towards keeping the 121
far towards meeting the 549
far towards placing the 54
far towards proving the 328
far towards putting an 156
far towards putting the 47
far towards raising the 58
far towards ruining the 90
far towards setting the 66
far towards shaping the 54
far towards showing the 102
far towards solving it 47
far towards solving the 877
far towards telling the 76
far towards turning the 74
far towards winning the 109
far upstream region of 59
far upstream where the 55
far western coast of 266
far western edges of 109
far western flank of 46
far western fringes of 92
far western parts of 642
far western point of 117
far western region of 480
far western shore of 66
far western state of 243
far written about the 129
fat content based on 59
fat content could be 101
fat content equal to 46
fat content found in 61
fat content makes it 132
fat content shall be 58
fat content tends to 121
fat content which is 160
fat content within the 92
fat content would be 140
fat usually found in 100
fax machine began to 140
fax machine could be 51
fax machine might be 42
fax machine scans the 51
fax machine would be 47
fear bragged about it 56
fear brought about by 690
fear certain kinds of 109
fear certain types of 107
fear increase until it 78
fear remains nearly at 102
fed flowers worthy of 479
fed forward until the 61
fed infants appear to 134
fed massive doses of 315
fee charged shall be 58
fee charged under the 52
fee charged would be 51
fee dispute would be 41
fee imposed under the 69
fee increase would be 44
fee payable shall be 767
fee payable under the 1033
fee secures twice as 59
fee therefor shall be 284
few african women in 45
few alleged cases of 40
few ancient books is 52
few ancient coins in 48
few ancient sites in 88
few angstrom units in 104
few animals appear to 56
few animals began to 58
few animals could be 152
few animals known to 54
few animals which do 81
few animals which the 99
few animals which we 73
few animals would be 92
few animating words to 123
few answers about the 63
few appeared willing to 56
few archers might be 79
few artists began to 56
few artists working in 108
few artists would be 44
few awkward words of 78
few bacteria enter the 62
few beliefs about the 57
few blessed hours of 44
few british ships of 45
few buildings could be 65
few buildings within the 77
few buildings worthy of 79
few bullets began to 40
few candles burning in 66
few capital lines in 44
few cautions about the 86
few cautious steps in 68
few cautious steps to 72
few centers where the 62
few central banks in 46
few central themes in 48
few certain dates in 48
few charges could be 43
few chinese women in 227
few choices about the 81
few ciphers added to 47
few clients willing to 40
few clients would be 59
few coastal towns in 40
few coconut trees in 48
few colored people in 218
few consoling words to 150
few country people in 41
few couples began to 48
few courses above the 112
few cramped hours of 63
few credits short of 179
few critics began to 76
few critics tried to 60
few critics would be 60
few crowded hours of 41
few decades about the 237
few decades after it 143
few decades after the 5163
few decades appear to 60
few decades began to 48
few decades begun to 60
few decades could be 268
few decades later an 45
few decades later as 265
few decades later at 57
few decades later by 634
few decades later he 75
few decades later in 892
few decades later is 79
few decades later it 280
few decades later on 123
few decades later the 1471
few decades later to 150
few decades later we 92
few decades makes it 100
few decades seems to 137
few decades since it 44
few decades since the 416
few decades thanks to 53
few decades under the 246
few decades until the 143
few decades while the 81
few decades within the 88
few decades would be 236
few decided cases in 51
few decided cases on 100
few degrees about the 114
few degrees above it 273
few degrees above or 563
few degrees above the 6096
few degrees after the 93
few degrees below it 104
few degrees below or 43
few degrees below the 3559
few degrees change in 149
few degrees lower in 244
few degrees nearer the 82
few degrees nearer to 66
few degrees round the 61
few degrees short of 201
few degrees under the 74
few degrees until the 67
few degrees while the 57
few degrees within the 60
few degrees would be 52
few details about it 218
few details about my 144
few details about the 4926
few details could be 112
few details given by 93
few details given in 133
few details given of 66
few details known of 74
few details might be 42
few details which he 93
few details which the 71
few details which we 147
few dilated loops of 49
few diseases where the 60
few diseases which do 47
few distant shots at 47
few doctors began to 45
few doctors willing to 63
few doctors would be 62
few dollars above the 142
few dollars added to 44
few dollars below the 60
few dollars could be 98
few dollars extra in 49
