face a glowing irradiation 103
face a harsh character 141
face a major political 78
face a mingled expression 56
face a quite different 436
face a rather different 257
face a rather difficult 78
face a really difficult 45
face a strong incentive 138
face a strong opposition 481
face a strong temptation 183
face a whole different 40
facing a major political 60
facing a major transition 58
facing a quite different 68
facing a small courtyard 56
facing a small television 40
facing a strong opposition 44
facing a tough reelection 221
fact a close connection 110
fact a false dichotomy 44
fact a fully developed 49
fact a joint ownership 114
fact a large proportion 712
fact a major component 58
fact a quite different 167
fact a rather different 41
fact a social construct 61
fact a social revolution 43
fact a thinly disguised 360
fact i would recommend 44
fall a fanning themselves 43
feed a dense population 79
feed a growing industrial 76
feed a growing population 3666
feed a hungry multitude 87
feed a hungry population 207
feed a large household 59
feed a large population 379
feed a large proportion 163
feed a world population 442
feel a close connection 213
feel a growing conviction 64
feel a growing uneasiness 50
feel a lasting gratitude 41
feel a moral certainty 148
feel a moral compulsion 100
feel a moral conviction 56
feel a moral obligation 2371
feel a sneaking admiration 67
feel a social gratitude 55
feel a social obligation 132
feel a still attraction 42
feel a strong admiration 46
feel a strong affiliation 79
feel a strong allegiance 122
feel a strong assurance 109
feel a strong attraction 573
feel a strong compulsion 209
feel a strong connection 776
feel a strong conviction 510
feel a strong impression 69
feel a strong incentive 221
feel a strong motivation 46
feel a strong necessity 60
feel a strong obligation 776
feel a strong partiality 65
feel a strong persuasion 377
feel a strong prejudice 111
feel a strong sentiment 68
feel a strong spiritual 107
feel a strong temptation 362
feel a sweet assurance 49
feel a vague uneasiness 354
feel i really possessed 73
fell a noble sacrifice 48
felt a close association 41
felt a close connection 204
felt a close spiritual 49
felt a deadly faintness 59
felt a dreary influence 250
felt a faint irritation 43
felt a gnawing emptiness 79
felt a growing admiration 143
felt a growing attraction 90
felt a growing awareness 72
felt a growing certainty 133
felt a growing compulsion 42
felt a growing conviction 429
felt a growing hostility 44
felt a growing irritation 134
felt a growing tightness 46
felt a growing uneasiness 370
felt a moral certainty 75
felt a moral compulsion 58
felt a moral obligation 2458
felt a quiet assurance 49
felt a quiet happiness 45
felt a quite different 47
felt a sneaking admiration 152
felt a social obligation 128
felt a strong admiration 110
felt a strong allegiance 198
felt a strong assurance 47
felt a strong attraction 1570
felt a strong compassion 83
felt a strong compulsion 647
felt a strong connection 1069
felt a strong conviction 665
felt a strong impression 361
felt a strong necessity 100
felt a strong obligation 859
felt a strong opposition 54
felt a strong partiality 97
felt a strong persuasion 138
felt a strong political 52
felt a strong prejudice 84
felt a strong sentiment 63
felt a strong spiritual 148
felt a strong temptation 727
felt a sweet assurance 57
felt a sweet composure 47
felt a vague annoyance 47
felt a vague attraction 76
felt a vague hostility 44
felt a vague irritation 91
felt a vague uneasiness 791
felt i could reasonably 77
felt i would suffocate 88
file a brief statement 738
file a civil complaint 188
file a closing statement 74
file a cross complaint 271
file a false affidavit 116
file a final amendment 102
file a joint statement 119
file a legal complaint 168
file a named collection 100
file a proxy statement 327
file a sworn complaint 82
file a sworn statement 1831
filing a civil complaint 172
filing a false affidavit 394
filing a false complaint 80
filing a false statement 140
filing a legal complaint 84
filing a proxy statement 273
filing a sworn statement 347
fill a glass container 44
fill a large apartment 46
fill a large container 146
fill a large proportion 146
fill a large reservoir 115
fill a quart container 59
fill a small container 88
fill a small warehouse 40
fill a speaking engagement 113
fill a whole newspaper 47
find a basic principle 52
find a brief definition 45
find a brief discussion 353
find a brief exposition 50
find a brief reference 117
find a brief statement 137
find a broad consensus 103
find a chair somewhere 100
find a chief executive 268
find a close agreement 116
find a close association 239
find a close connection 536
find a cross reference 97
find a crowd collected 48
find a cruel stereotype 44
find a dense population 143
find a dozen different 152
find a drink somewhere 42
find a false appearance 141
find a final expression 52
find a final resolution 47
find a first amendment 103
find a first principle 185
find a first psychical 96
find a fitting conclusion 47
find a fitting expression 132
find a fitting successor 48
find a fully developed 982
find a fully qualified 54
find a growing awareness 120
find a growing conviction 41
find a guiding principle 189
find a handy reference 42
find a happy resolution 70
find a haven elsewhere 44
find a hitch somewhere 43
find a hotel somewhere 57
find a house somewhere 137
find a large admixture 41
find a large cardboard 45
find a large collection 553
find a large commercial 42
find a large community 62
find a large population 150
find a large proportion 1441
find a large readership 61
find a large staircase 93
find a lasting political 46
find a legal definition 68
find a legal precedent 48
find a lengthy discussion 99
find a limit impervious 44
find a linear regression 80
find a local community 63
find a local habitation 266
find a lodging elsewhere 91
find a lodging somewhere 66
find a lower incidence 54
find a lower proportion 63
find a major publisher 41
find a mixed population 72
find a moral principle 93
find a motel somewhere 53
find a nearly identical 48
find a niche somewhere 183
find a notion prevalent 56
find a passing reference 104
find a period sometimes 121
find a phase transition 52
find a phone somewhere 58
find a place elsewhere 562
find a place sheltered 41
find a place somewhere 1421
find a point somewhere 58
find a quick reference 160
find a quick resolution 41
find a quite different 950
