face betrayed signs of 116
face blanched white as 50
face chattering close to 42
face concealed beneath the 87
face concealed under the 88
face constant threats of 86
face darkened again as 83
face decisions about the 161
face detection based on 155
face detector based on 60
face directly above the 167
face directly below the 47
face directly under the 179
face downward under the 123
face external danger in 52
face glimmering white in 84
face hardened again as 119
face hardened until it 59
face imminent danger of 83
face increased costs of 122
face increased risks of 564
face liability under the 239
face multiple forms of 277
face narrowly while he 68
face numerals refer to 50
face opposite sides of 81
face problems posed by 40
face problems which do 49
face problems within the 44
face questions about the 705
face quivered again as 45
face reddened under the 76
face relations within the 42
face remained blank as 160
face remained fixed in 98
face shadowed under the 90
face suddenly began to 116
face suddenly close to 54
face suddenly light up 123
face suddenly older in 104
face terribly glaring up 62
face twitched about in 68
face validity based on 102
face whatever comes in 84
face whatever comes to 118
face whatever might be 318
face whitened under the 47
facing business today is 70
facing disabled people in 55
facing education today is 102
facing humanity today is 165
facing imminent danger of 46
facing industry today is 48
facing managers today is 72
facing opposite sides of 63
facing questions about the 98
fact attitude about the 118
fact concerning which he 157
fact concerning which the 325
fact concerning which we 76
fact contains within it 62
fact declined since the 40
fact entirely within the 85
fact essential parts of 69
fact everyone seems to 41
fact included under the 82
fact included within the 46
fact increased since the 55
fact indicate about the 78
fact integral parts of 120
fact magicians appear to 47
fact mentioned above is 74
fact normally takes the 96
fact occurred after the 85
fact occurred since the 66
fact occurred within the 87
fact patterns where the 156
fact probably helps to 41
fact probably known to 47
fact questions about the 64
fact relations which the 104
fact scarcely tends to 79
fact situation falls is 129
fact situation where the 181
fact situation which is 142
fact situation would be 53
fact subsumed under the 50
fading daylight began to 53
fading twilight until it 99
fair argument could be 103
fair argument which he 297
fair decisions based on 55
fair distance above the 53
fair elections based on 149
fair elections could be 222
fair elections under the 318
fair elections under un 52
fair elections within the 43
fair elections would be 170
fair estimate could be 110
fair estimate might be 54
fair estimate would be 473
fair examples shall we 41
fair judgment about the 87
fair judgment based on 57
fair judgment could be 65
fair judgment would be 61
fair madeline began to 146
fair monetary value of 57
fair objection could be 54
fair priestly hands of 46
fair princess might be 56
fair promises which he 53
fair treatment based on 47
fair treatment could be 43
fair treatment given to 41
fair treatment shall be 57
fair treatment under the 761
fair treatment which is 49
fair treatment which the 53
fair treatment within the 165
fair treatment would be 107
fair valuation equal to 171
fair valuation shall be 86
fair valuation would be 48
faith bargaining under the 77
faith exception where an 41
faith expended money in 53
faith retained anything of 85
faith whatever could be 41
fall anywhere within the 997
fall campaign would be 45
fall directly above the 91
fall directly below the 249
fall directly beneath the 215
fall directly under the 2673
fall directly within the 2327
fall dismally short of 69
fall engenders makes us 42
fall entirely above the 88
fall entirely short of 126
fall entirely under the 822
fall entirely within the 3824
fall happened while we 66
fall markedly below the 223
fall markedly short of 166
fall migration route of 50
fall obviously within the 99
fall occurred after the 55
fall partially within the 89
fall piecemeal about the 53
fall properly under the 1278
fall properly within my 77
fall properly within the 2282
fall semester began at 89
fall semester began in 213
fall semester would be 88
fall sensibly short of 47
fall seriously below the 206
fall seriously short in 44
fall seriously short of 997
fall slightly above the 253
fall slightly after the 58
fall slightly below the 1476
fall slightly short of 1077
fall somewhat above the 83
fall somewhat after the 51
fall somewhat below the 1253
fall somewhat short in 88
fall somewhat short of 6650
fall squarely under the 364
fall squarely within the 6628
fall strictly under the 437
fall strictly within the 3226
fall terribly short of 117
fall therefore within the 137
farm activity shall be 43
farm business which is 100
farm business would be 128
farm families began to 200
farm families could be 235
farm families lived in 463
farm families lived on 127
farm families might be 45
farm families moved to 102
farm families owned no 55
farm families tried to 47
farm families under the 42
farm families where the 168
farm families within the 133
farm families would be 445
farm formerly known as 47
farm formerly owned by 781
farm laborers began to 75
farm laborers could be 76
farm laborers hired by 149
farm laborers lived in 76
farm laborers under the 172
farm laborers working in 128
farm laborers working on 45
farm laborers would be 192
farm mortgage loans at 41
farm mortgage loans by 56
farm mortgage loans in 433
farm mortgage loans is 52
farm mortgage loans of 170
farm mortgage loans to 143
farm operation would be 75
farm operator level of 63
farm operator would be 107
farm products above the 101
farm products after the 111
farm products based on 81
farm products began to 253
farm products could be 551
farm products grown in 401
farm products grown on 107
farm products might be 123
farm products shall be 235
farm products since the 79
farm products stood at 92
farm products tends to 211
farm products under the 397
farm products which he 118
farm products which is 69
farm products which the 385
farm products while the 49
farm products within the 295
farm products would be 1436
farm programs would be 54
farm property owned by 336
farm property under the 118
farm property within the 105
farm property would be 100
farm purchasing power as 96
farm purchasing power in 95
farm purchasing power is 99
farm purchasing power to 60
farm recently owned by 185
fast algorithm based on 184
fast decisions based on 99
fast developing field of 419
fast economic growth in 1258
fast economic growth is 255
fast economic growth of 507
fast neutrons could be 219
fast neutrons would be 134
fast response times in 111
fast response times of 95
fast response times to 106
fate scarcely equal to 44
fats commonly found in 40
fears actually began to 47
feed electric power to 117
feed entirely within the 49
feed numerous herds of 284
feel accepted within the 47
feel bitterly about the 45
feel bitterly vexed at 52
feel blisters forming on 45
feel complete trust in 47
feel confused about it 90
feel confused about my 51
feel confused about the 693
feel curiosity about the 88
feel disposed either to 133
feel disposed rather to 125
feel doubtful about it 137
feel doubtful about the 1090
feel emotional about it 98
feel emotional about the 64
feel enormous pride in 49
feel ethically bound to 308
feel everyone looking at 94
feel everyone staring at 126
feel helpless about it 92
feel helpless about the 85
feel helpless under the 75
feel hesitant about the 123
feel hopeless about it 86
feel hopeless about my 46
feel hopeless about the 645
feel horrible about it 415
feel horrible about the 43
feel immortal while it 78
feel impelled either to 41
feel inclined either to 85
feel inclined rather to 130
feel informed about the 84
feel insecure about it 207
feel insecure about my 189
feel insecure about the 1712
feel insecure under the 40
feel internal pride at 76
feel isolated within the 59
feel misgivings about the 100
feel negative about it 112
feel negative about the 311
feel otherwise about it 63
feel otherwise about the 66
feel positive about it 303
feel positive about my 113
feel positive about the 2949
feel reassured about the 214
feel relieved about the 105
feel relieved after the 70
feel righteous about it 80
feel romantic about it 46
feel scruples about the 41
feel sexually drawn to 47
feel slightly short of 40
feel solemnly bound to 46
feel somewhat freer to 53
feel somewhat proud of 95
feel somewhat tired of 48
feel somewhat uneasy as 149
feel somewhat uneasy at 174
feel somewhat uneasy in 119
feel squeamish about it 56
feel squeamish about the 101
feel strangely alone in 51
feel strangely close to 63
feel strangely drawn to 109
feel strictly bound by 41
feel terrible about it 1801
feel terrible about my 95
feel terrible about the 561
feel terribly about it 131
feel terribly about the 46
feel terribly alone in 59
feel troubled about it 303
feel troubled about the 413
feel virtuous about it 66
feel whatever comes up 97
feel yourself about to 152
feel yourself begin to 151
feel yourself bound by 90
feel yourself bound in 124
feel yourself bound to 314
feel yourself breathing in 95
feel yourself drawn by 62
feel yourself drawn to 156
feel yourself equal to 134
feel yourself growing in 41
feel yourself letting go 300
feel yourself moved by 60
feel yourself quite at 50
feel yourself sitting in 48
feel yourself start to 229
feel yourself tensing up 217
feel yourself under an 65
feel yourself under the 47
feel yourself wanting to 106
fees demanded shall be 65
fees incurred after the 210
fees received after the 62
fees received shall be 69
fees received under the 179
fees required under the 77
feet altitude above the 118
feet directly above me 47
feet directly above the 697
feet directly below me 52
feet directly below the 203
feet directly below us 83
feet directly beneath the 55
feet directly under the 229
feet disappear under the 41
feet elevated above the 305
feet elevation above sea 478
feet elevation above the 684
feet fastened under the 114
feet projecting above the 52
feet protruding above the 47
feet remained glued to 146
feet scarcely seeming to 92
feet scarcely touch the 169
feet slightly apart as 91
feet slightly apart in 95
feet slightly apart on 65
feet slightly apart so 49
feet slightly apart to 69
feet straight above the 64
feet twinkled above the 92
feet vertical below the 71
fell abruptly after the 50
fell backward under the 66
fell directly beneath the 66
fell directly under the 642
fell directly within the 405
fell dismally short of 117
fell eighteen times on 75
fell entirely short of 40
fell entirely under the 651
fell entirely within the 636
fell furiously sword in 50
fell harmless within the 73
fell lifeless under the 50
fell likewise under the 154
fell markedly after the 73
fell markedly below the 86
fell markedly short of 81
fell properly under the 82
fell properly within the 219
fell scarcely short of 79
fell seriously short of 259
fell slightly above the 70
fell slightly after the 79
fell slightly below the 630
fell slightly short of 782
fell somewhat after the 56
fell somewhat below the 338
fell somewhat short in 108
fell somewhat short of 3765
fell somewhat under the 85
fell speedily under the 41
fell squarely under the 88
fell squarely within the 3071
fell strictly within the 156
fell terribly short of 56
felt absurdly proud of 54
felt activity would be 52
felt bitterly about it 93
felt bitterly about the 192
felt concerns about the 66
felt confused about my 53
felt confused about the 249
felt curiosity about the 45
felt curiously close to 48
felt curiously drawn to 76
felt directly under the 75
felt disposed rather to 90
felt doubtful about it 76
felt doubtful about my 55
felt doubtful about the 534
felt enormous pride in 63
felt entirely alone in 64
felt entirely equal to 42
felt entitled either to 65
felt ethically bound to 106
felt everyone looking at 116
felt everyone staring at 109
felt everyone would be 42
felt helpless about it 58
felt helpless about the 78
felt helpless under the 80
felt hesitant about the 57
felt hopeless about the 218
felt horrible about it 201
felt horrible about the 114
felt impelled again to 47
felt impelled either to 98
felt inclined rather to 82
felt insecure about it 65
felt insecure about my 134
felt insecure about the 357
felt isolated within the 76
felt laughter welling up 119
felt memories welling up 51
felt misgivings about the 313
felt negative about the 88
felt otherwise about it 55
felt otherwise about the 109
felt personal pride in 43
felt positive about it 120
felt positive about the 794
felt projecting below the 54
felt projecting beneath the 45
felt reassured about the 174
felt reckless under the 40
felt refreshing after the 108
felt relieved about the 84
felt relieved after the 135
felt scarcely equal to 40
felt scruples about the 131
felt secretly proud of 71
felt sheepish about it 42
felt sheepish about the 45
felt slightly dazed by 40
felt slightly dizzy as 86
felt slightly uneasy at 84
felt slightly uneasy in 47
felt smothered under the 50
felt sombrero shading the 66
felt somebody grasp my 278
felt somebody ought to 50
felt somewhat easier in 60
felt somewhat freer to 58
felt somewhat later in 42
felt somewhat proud of 89
felt somewhat safer in 79
felt somewhat uneasy as 117
felt somewhat uneasy at 270
felt somewhat uneasy in 142
felt somewhat vexed at 45
felt specially bound to 41
felt specially drawn to 75
felt squeamish about the 95
felt strangely alone in 47
felt strangely close to 176
felt strangely drawn to 741
felt strangely light as 58
felt strangely moved as 40
felt strangely moved at 45
felt strangely moved by 225
felt strangely moved to 155
felt strangely proud of 61
felt suddenly alone in 46
felt suddenly aware of 75
felt suddenly close to 107
felt suddenly dizzy as 41
felt suddenly drawn to 77
felt suddenly proud of 63
felt suddenly short of 77
felt suddenly tired of 69
felt terrible about it 1848
felt terrible about my 120
felt terrible about the 929
felt terrible after the 50
felt terrible pains in 70
felt terribly about it 130
felt terribly alone as 63
felt terribly alone in 164
felt terribly proud of 67
felt troubled about it 50
felt troubled about the 145
felt uncommon marks of 45
felt wretched about it 74
felt wretched about the 51
felt yourself bound to 113
felt yourself under the 58
fifth category could be 40
fifth category which is 40
fifth cervical nerve is 121
fifth cervical nerve to 49
fifth sentence might be 55
file cabinets lined the 152
file containing lines of 61
file containing lists of 85
file containing names of 137
file contains lines of 145
file contains links to 113
file contains lists of 45
file extension after the 54
file extension given to 107
file movement within the 75
file promptly after the 110
file remained loyal to 43
filing cabinets lined the 178
filing cabinets lined up 103
filing cabinets stood in 41
filing cabinets where the 47
filing district where the 127
filing required under the 61
filing silently under the 59
fill directly above the 116
fill positions within the 261
fill specific needs in 51
fill specific needs of 66
fill specific roles in 43
fill whatever space is 129
film directly under the 51
film director working in 48
film director would be 48
film industry about the 48
film industry after the 569
film industry based in 105
film industry based on 55
film industry began in 92
film industry began to 642
film industry could be 135
film industry found it 40
film industry might be 82
film industry moved to 93
film industry needs to 44
film industry seems to 141
film industry since the 337
film industry today is 59
film industry tried to 84
film industry under the 168
film industry until the 119
film industry where the 51
film industry which is 120
film industry within the 68
film industry would be 353
film magazine close up 40
film prepared under the 56
film produced under the 165
film thickness above the 45
film thickness after the 44
film thickness based on 90
film thickness could be 415
film thickness equal to 197
film thickness given by 165
film thickness might be 42
film thickness shown in 45
film thickness since the 42
film thickness tends to 82
film thickness under the 166
film thickness where the 80
film thickness which is 355
film thickness while the 47
film thickness within the 97
film thickness would be 159
find absolute proof of 75
find abundant cases in 99
find abundant cause of 78
find abundant cause to 202
find abundant proof in 160
find abundant proof of 428
find abundant reason to 741
find adequate forms of 75
find adequate housing in 118
find adequate space in 57
find adequate terms in 72
find adequate terms to 93
find adequate words in 104
find adequate words of 134
find adequate words to 1053
find american women in 43
find anywhere within the 73
find articles about the 265
find artistic value in 45
find attention drawn to 42
find attention given to 61
find beautiful meanings in 236
find children engaging in 57
find children playing in 45
find citizens ruled by 74
find comments about the 47
find compelling about the 55
find complete lists of 68
find complete unity of 89
find concrete cases of 74
find concrete proof of 43
find convincing proof of 460
find definite proof of 136
find definite signs of 46
find detailed lists of 53
find dinosaur bones in 40
find disturbing about the 67
find elevated rates of 95
find epithelial cells in 42
find everyone looking at 84
find everyone staring at 121
find evidence about the 179
find evidence linking the 45
find evidence which is 46
find evidence within the 66
find examples where an 46
find examples where it 81
find examples where the 689
find examples worthy of 41
find exercise serve as 54
find families where the 62
find families willing to 97
find financial backing in 60
find financial backing to 61
find frequent cases of 62
find frequent cause to 90
find generals willing to 56
find gertrude sitting on 43
find husbands willing to 52
find immediate signs of 49
find increased rates of 77
find intriguing about the 47
find isabella speaking of 46
find isolated cases of 76
find liability based on 66
find liability under the 107
find liability where the 50
find locations where the 84
find mentioned under the 49
find multiple forms of 44
find multiple meanings in 48
find numerous books on 94
find numerous cases in 193
find numerous cases of 298
find numerous links to 76
find numerous signs of 47
find numerous types of 73
find otherwise would be 174
find parallel cases in 52
find parallel words in 43
find partners willing to 74
find partners within the 48
find passages where the 72
find patients willing to 42
find patterns within the 52
find personal value in 58
find positions within the 47
find positive proof of 120
find positive value in 156
find powerful echoes in 41
find probable cause in 64
find probable cause to 656
find property within my 84
find questions about the 107
find salvation within the 44
find scarcely anything in 77
find scarcely anything to 93
find security holes in 56
find security within the 81
find selection again to 107
find solutions based on 149
find solutions where the 44
find solutions within the 267
find somebody waiting to 42
find somebody willing to 444
find specific forms of 52
find specific items in 56
find specific items of 83
find specific kinds of 159
find specific parts of 52
find specific times to 94
find specific types of 284
find specific words in 49
find specific words or 2714
find students willing to 76
find subjects worthy of 49
find suitable forms of 100
find suitable homes in 66
find suitable housing in 150
find suitable people to 144
find suitable sites in 43
find suitable terms to 59
find suitable words in 94
find suitable words of 69
find suitable words to 484
find sureties never to 44
find surprising about the 52
find telltale signs of 41
find valuable clues to 54
find valuable hints in 55
find villages where the 54
find voltaire writing to 186
find washington writing to 120
find whatever might be 71
find yourself about to 451
find yourself above the 78
find yourself adoring the 58
find yourself again at 61
find yourself again in 298
find yourself again on 65
find yourself alone at 105
find yourself alone in 796
find yourself alone on 373
find yourself asked to 134
find yourself awake at 45
find yourself aware of 92
find yourself awash in 107
find yourself basking in 56
find yourself bathed in 44
find yourself below the 61
find yourself beneath the 172
find yourself beset by 67
find yourself bored or 53
find yourself bound by 65
find yourself bound to 120
find yourself breaking the 55
find yourself calling on 185
find yourself changing in 45
find yourself changing the 197
find yourself cleaning up 49
find yourself close to 233
find yourself craving the 52
find yourself creating the 77
find yourself drawing on 144
find yourself drawn in 108
find yourself drawn to 1083
find yourself dreading the 54
find yourself dreaming of 109
find yourself driving on 47
find yourself driving to 46
find yourself either in 43
find yourself engaging in 746
find yourself envying the 52
find yourself equal to 70
find yourself faced by 83
find yourself failing to 69
find yourself falling in 517
find yourself feeling as 179
find yourself feeling the 106
find yourself filling in 108
find yourself first in 50
find yourself getting in 160
find yourself getting so 47
find yourself getting the 75
find yourself getting to 61
find yourself getting up 154
find yourself glued to 56
find yourself growing in 303
find yourself helping to 52
find yourself hitting the 98
find yourself holding on 159
find yourself holding the 131
find yourself humming it 40
find yourself humming the 99
find yourself itching to 42
find yourself joining in 49
find yourself joining the 56
find yourself judging the 46
find yourself jumping the 95
find yourself jumping to 44
find yourself lacking in 183
find yourself lacking the 55
find yourself learning to 46
find yourself letting go 47
find yourself liable to 68
find yourself looking at 2105
find yourself looking in 103
find yourself looking to 103
find yourself looking up 528
find yourself mired in 156
find yourself missing the 115
find yourself mixed up 183
find yourself moved by 42
find yourself moved to 83
find yourself naked in 78
find yourself needing an 48
find yourself needing the 63
find yourself needing to 1781
find yourself nodding in 124
find yourself opening the 52
find yourself opening up 121
find yourself pausing to 42
find yourself picking up 539
find yourself pitying the 52
find yourself playing in 181
find yourself playing the 236
find yourself prone to 86
find yourself putting in 154
find yourself putting it 51
find yourself putting on 217
find yourself putting the 69
find yourself putting up 43
find yourself quite at 130
find yourself reacting in 105
find yourself reacting to 306
find yourself relying on 783
find yourself right at 53
find yourself right in 278
find yourself running at 71
find yourself running in 152
find yourself running on 111
find yourself running the 74
find yourself running to 96
find yourself running up 119
find yourself rushing to 73
find yourself seated at 64
find yourself seated in 105
find yourself seeking the 48
find yourself seeking to 52
find yourself setting the 40
find yourself setting up 93
find yourself sharing the 203
find yourself short of 759
find yourself short on 163
find yourself sinking in 91
find yourself sitting at 253
find yourself sitting in 1764
find yourself sitting on 1040
find yourself sitting up 47
find yourself smack in 87
find yourself smiling at 69
find yourself speaking in 106
find yourself speaking to 166
find yourself staring at 1129
find yourself staring in 47
find yourself staring up 45
find yourself staying at 50
find yourself staying in 225
find yourself staying up 59
find yourself still in 176
find yourself still on 55
find yourself stuck at 145
find yourself stuck in 1980
find yourself stuck on 439
find yourself swept up 76
find yourself taken to 43
find yourself talking in 92
find yourself talking to 1108
find yourself teaching in 84
find yourself telling the 91
find yourself tending to 76
find yourself tensing up 179
find yourself thinking in 635
find yourself thinking of 1194
find yourself thinking or 153
find yourself thinking the 109
find yourself thinking up 57
find yourself treading on 49
find yourself treating the 47
find yourself turning the 88
find yourself turning to 444
find yourself under an 50
find yourself under no 75
find yourself under the 699
find yourself waiting at 40
find yourself waiting in 167
find yourself waiting to 42
find yourself walking in 475
find yourself walking on 324
find yourself walking the 74
find yourself walking to 44
find yourself walking up 138
find yourself wanting the 51
find yourself wanting to 4121
find yourself warming up 41
find yourself willing to 195
find yourself wishing it 51
find yourself wishing the 66
find yourself wishing to 145
find yourself within an 70
find yourself within the 295
find yourself working as 200
find yourself working at 184
find yourself working in 1531
find yourself working on 1430
find yourself working to 61
find yourself writing an 66
find yourself writing in 214
find yourself writing the 209
find yourself writing to 59
find yourself yearning to 59
find yourself yelling at 97
fine abrasive paper or 214
fine abrasive paper to 105
fine animated child on 97
fine artistic sense of 102
fine artistic taste of 52
fine branches known as 62
fine branches within the 49
fine brigades until the 43
fine carriages drawn by 83
fine clinical study of 42
fine companion piece to 105
fine condition after the 43
fine confused feeding in 43
fine contempt began to 240
fine critical sense of 103
fine critical study of 96
fine delicate piece of 40
fine dramatic sense of 41
fine droplets within the 46
fine editorial staff at 50
fine examples could be 45
fine examples exist in 79
fine examples occur in 60
fine graceful forms of 62
fine granules within the 98
fine hammered steel of 319
fine incisions stirs the 172
fine insolent pride of 52
fine instinct which is 90
fine intuition tunes in 55
fine intuition which is 40
fine literary method is 529
fine literary sense of 47
fine literary style of 43
fine literary taste of 46
fine membrane which is 60
fine military music at 74
fine november morning by 57
fine parallel lines in 103
fine parallel lines of 160
fine parallel lines on 233
fine parallel lines or 126
fine particle sizes in 40
fine particle sizes of 63
fine particle within us 114
fine passages about the 44
fine passages might be 55
fine pavement about it 252
fine pictures which he 51
fine prospect about the 45
fine saturday evening in 46
fine saturday morning in 98
fine sediment which is 67
fine specimen found at 49
fine specimen shown in 44
fine specimen which it 60
fine speeches about the 204
fine speeches which he 53
fine straight lines in 161
fine straight lines of 63
fine sunshiny weather of 43
fine terminal twigs of 54
fine textured soils in 174
fine textured soils of 124
fine vertical lines in 56
fine vertical lines of 45
fine volatile parts of 44
finger directly under the 67
finger pressure until the 69
fins directly under the 40
fins projecting above the 48
fire anywhere within the 99
fire contains parts of 53
fire directly under the 313
fire district shall be 130
fire fighters began to 44
fire fighters could be 53
fire fighters could do 46
fire fighters would be 232
fire hydrants shall be 97
fire increased until it 64
fire occurred after the 88
fire occurred while the 95
fire odysseus speaks to 88
fire questions about the 104
fire reserved within the 42
fire services would be 60
fire slightly lacking in 43
fire speedily drove the 56
fire suddenly began to 54
firing decisions based on 154
firing patterns within the 52
firing questions about the 55
firm attitude taken by 227
firm attitude taken up 72
firm audacious staff of 76
firm contract price of 45
firm decisions about the 193
firm decisions could be 94
firm diagnosis could be 47
firm economic basis of 43
firm evidence about the 348
firm evidence could be 53
firm evidence linking the 49
firm financial basis by 40
firm financial footing by 40
firm formation based on 103
firm formation rates in 127
firm formerly known as 108
firm habitual quest of 61
firm incurred while he 767
firm intention never to 222
firm judgment about the 103
firm operated under the 122
firm operates under the 105
firm operates within the 54
firm pressure above the 49
firm pressure until the 123
firm pressure while the 58
firm probably would be 82
firm produces below the 76
firm therefore needs to 54
fish commonly found in 317
fish commonly known as 363
fish processing plant at 110
fish processing plant in 430
fish processing plant is 47
fish processing plant on 75
fish processing plant or 44
fish products within the 65
fish products would be 43
fish strictly belong to 48
fits entirely within the 573
fits properly within the 94
fits securely within the 101
fits squarely within the 1655
five articles about the 164
five articles under the 282
five articles which he 144
five articles which the 44
five branches within the 56
five calendar months in 71
five calendar months of 180
five cardinal rules of 55
five cardinal signs of 158
five chapters about the 44
five chapters cover the 192
five chapters focus on 348
five chapters trace the 47
five chapters under the 63
five children after the 63
five children began to 83
five children below the 44
five children could be 149
five children growing up 259
five children lived in 1043
five children lived on 92
five children lived to 50
five children lives in 262
five children might be 60
five children moved in 100
five children moved to 163
five children playing in 110
five children ranged in 117
five children slept in 123
five children still at 139
five children under the 1944
five children while he 41
five children while the 89
five children within the 145
five children would be 580
five churches within the 65
five clinical trials of 86
five clinical types of 83
five clusters based on 45
five commonly belong to 47
five complete turns of 47
five counties where the 80
five counties within the 113
five critical steps in 56
five curtains shall be 314
five descents since the 43
five dissenting votes in 40
five distinct cases of 109
five distinct forms of 619
five distinct kinds of 1163
five distinct lines of 337
five distinct meanings of 43
five distinct modes of 311
five distinct pairs of 60
five distinct parts of 157
five distinct parts to 41
five distinct races of 147
five distinct ranges of 132
five distinct sorts of 83
five distinct steps in 163
five distinct times in 79
five distinct types of 4477
five distinct zones of 57
five divisions based on 59
five divisions could be 107
five divisions known as 41
five divisions under the 157
five divisions which he 41
five divisions within the 103
five divisions would be 223
five electron pairs in 55
five elements begin to 41
five elements could be 41
five elements found in 133
five elements known as 41
five elements shown in 76
five elements which go 44
five elements which he 96
five elements which we 40
five elements within the 68
five engineers named by 58
five essential parts of 131
five essential steps in 155
five essential steps of 57
five essential steps to 204
five essential types of 54
five examples where the 85
five families headed by 55
five families lived in 381
five families lived on 45
five families under the 42
five families would be 121
five foolscap pages of 53
five horsemen after me 45
five horsemen stood on 48
five hydrogen atoms in 55
five indirect moods of 45
five justices shall be 85
five justices voted to 166
five lectures given at 217
five lectures given by 169
five lectures given in 197
five lectures under the 41
five lectures which he 112
five lettered pairs of 710
five lettered words or 2212
five locations where the 45
five locations within the 207
five marriages ended in 63
five merchant ships in 185
five military bases in 128
five mountain ranges in 92
five nautical miles an 139
five nautical miles in 98
five nautical miles of 460
five nautical miles to 234
five occasions since the 54
five parallel lines in 42
five parallel lines of 187
five parallel lines on 187
five patients would be 42
five positions within the 125
five positions would be 82
five possible cases of 123
five possible forms of 148
five possible kinds of 348
five possible lines of 63
five possible meanings of 170
five possible modes of 235
five possible pairs of 51
five possible types of 586
five posterior pairs of 143
five potential types of 48
five pregnant women in 142
five projects under the 137
five quarters after the 88
five quarters would be 110
five questions about it 162
five questions about the 1998
five questions asked by 164
five questions asked in 132
five questions asked of 163
five questions based on 418
five questions posed at 54
five questions posed by 257
five questions posed in 120
five questions refer to 65
five questions which he 143
five questions which the 187
five questions would be 147
five recorded cases of 124
five reported cases in 78
five reported cases of 236
five segments based on 91
five semester hours in 286
five semester hours of 656
five separate bands of 92
five separate forms of 98
five separate kinds of 195
five separate lines of 109
five separate parts of 226
five separate times in 98
five separate times to 62
five separate trips to 142
five separate types of 586
five separate units of 42
five soldiers under the 174
five specific cases of 49
five specific forms of 177
five specific items of 85
five specific kinds of 140
five specific steps to 50
five specific types of 1167
five standard sizes of 101
five standard types of 195
five stitches taken in 87
five straight games to 78
five straight hours of 179
five straight months of 107
five straight times in 48
five students could be 57
five students under the 49
five students would be 107
five subjects could be 43
five subjects which he 44
