far behind white children 45
far beyond anything achieved 266
far beyond anything actually 42
far beyond anything attained 87
far beyond anything demanded 54
far beyond anything expected 61
far beyond anything imagined 214
far beyond anything intended 48
far beyond anything possible 310
far beyond anything produced 82
far beyond anything proposed 55
far beyond anything remotely 54
far beyond anything required 175
far beyond anything resembling 42
far beyond human capacity 160
far beyond party politics 50
far beyond walking distance 44
far deeper human interest 52
far enough above distress 56
far except calling digestion 65
far greater danger threatened 77
far greater moral authority 59
far greater social mobility 64
far should blood pressure 84
far sweeping shore suddenly 79
fat little dutch villages 81
few choice crops excepted 67
few events which occurred 80
few forces which remained 168
few further words concerning 51
few higher civil servants 66
few houses still occupied 96
few middle class families 66
few nations whose monarchs 59
few nobles could assemble 93
few places where children 105
few places where monarchy 81
few places where students 81
few places where visitors 52
few public housing projects 71
few public water supplies 78
few public works projects 146
few pungent words wherever 42
few qualms about abandoning 43
few qualms about exploiting 43
few random marks scrawled 53
few readers would disagree 52
few recent court decisions 41
few simple cooking utensils 212
few simple facts concerning 77
few simple rules concerning 58
few special spots excepted 62
few square miles occupied 53
few states which continue 205
few sullen minds supposed 158
few tragic souls actually 65
few troops which remained 43
few unmeaning words concerning 52
fir tribes alone maintain 57
flea market every saturday 103
for actions taken pursuant 164
for actions which diminish 47
for actions which promoted 57
for active trade unionists 51
for actual costs incurred 310
for adopting sound accounting 93
for adults about children 83
for advice about personal 121
for advice about possible 85
for advice about problems 146
for advice about publishing 49
for advice about specific 61
for advice about treatment 41
for airway mucus clearance 57
for aliens seeking admission 80
for allowing every criminal 74
for allowing roman catholics 168
for almost every activity 369
for almost every american 478
for almost every business 557
for almost every category 194
for almost every chemical 50
for almost every computer 221
for almost every condition 130
for almost every disorder 133
for almost every district 86
for almost every domestic 49
for almost every economic 63
for almost every educated 161
for almost every employee 49
for almost every execution 52
for almost every exercise 83
for almost every incident 42
for almost every industry 581
for almost every instance 49
for almost every interest 161
for almost every military 40
for almost every movement 94
for almost every operation 206
for almost every physical 74
for almost every platform 70
for almost every possible 785
for almost every province 48
for almost every sentence 161
for almost every separate 47
for almost every situation 527
for almost every specific 67
for analog input patterns 560
for angular motion isolation 126
for animal feeding purposes 146
for annual merit increases 40
for annual price increases 125
for another action potential 134
for another blood pressure 52
for another local authority 56
for another major operation 62
for another prime minister 47
for another reason entirely 493
for another short distance 173
for another short interval 104
for another world conflict 211
for anyone under eighteen 319
for anyone whose business 63
for anyone whose interest 51
for aortic graft infection 143
for arable farming requires 116
for arousing pupil interest 41
for avoiding legal problems 55
for becoming prime minister 144
for behold every solitary 42
for belief which warrants 62
for better human relations 743
for better human resource 41
for better labor relations 93
for better local services 43
for better motion pictures 298
for better noise immunity 46
for better racial relations 46
for better social relations 87
for better social security 69
for better social services 313
for better trade relations 249
for better urban services 51
for better water supplies 94
for better working relations 75
for binary fluid mixtures 44
for binary image processing 120
for binary solid solutions 45
for blacks under apartheid 41
for boiler feeding purposes 104
for boiler water treatment 147
for bottom water formation 45
for building fifty churches 65
for building local capacity 129
for building social networks 89
for calvin klein underwear 124
for cancer nursing practice 460
for cardiac motion analysis 52
for career civil servants 220
for carrying large currents 104
for carrying small articles 163
for carrying small children 62
for carrying social evolution 56
for carrying stock cultures 169
for catching every japanese 97
for changes which occurred 85
for charging blast furnaces 43
for checking blood pressure 49
for cleanup costs incurred 214
for closed queuing networks 59
for closer trade relations 338
for closer working relations 98
for common cause failures 61
for common legal services 76
for common social purposes 58
for common stock valuation 88
for covering large surfaces 209
for covering working expenses 52
for covert action programs 95
for cranial nerve deficits 46
for crimes which included 65
for crumbs after breakfast 47
for custom never sanctions 48
for damage arising therefrom 156
for damage which occurred 84
for decent human relations 77
for deciding moral questions 63
for deciding which approach 164
for deciding which children 94
for deciding which elements 78
for deciding which patients 150
for deciding which problems 68
for deciding which products 75
for deciding which programs 92
for deciding which projects 330
for deciding which questions 43
for deciding which services 195
for deciding which specific 67
for deciding which students 84
for deciding which treatment 63
for deciding which variables 136
for defining black families 243
for defining social problems 86
for deputy prime minister 156
for devout roman catholics 42
for dilute solid solutions 79
for dinner every saturday 95
for direct blood pressure 141
for direct costs incurred 135
for direct state provision 42
for direct store delivery 62
for direct teaching purposes 44
for distal tubal occlusion 80
for drinking water analysis 99
for drinking water projects 91
for drinking water purposes 729
for drinking water supplied 65
for drinking water supplies 1974
for drinking water treatment 1770
for dwelling house purposes 68
for eastern maori district 378
for eastern state hospital 72
for electing small business 47
for eleven hours straight 54
for enabling roman catholics 116
for england under elizabeth 43
for english roman catholics 606
for english speaking children 174
for english speaking students 467
for ensuring equal treatment 66
for entering italy differed 43
for equity joint ventures 371
for equity method accounting 209
for erecting fifty edifices 47
for erecting trade barriers 57
for ethical nursing practice 82
for events which happened 184
for events which occurred 427
for excess costs incurred 57
for excess social security 239
for exerting group pressure 99
for exerting moral pressure 41
for existing power relations 57
for existing social problems 46
for existing social relations 63
for family based services 56
for family trust accounts 82
for faults which directly 296
for feature motion pictures 46
for female civil servants 160
for female headed families 60
for female moral authority 1047
for fibrin split products 166
for fighting money laundering 176
for finite state machines 504
for floating point variables 76
for forced loans constant 43
for forced vital capacity 136
for formal adult education 59
for formal legal equality 72
for formal social occasions 71
for formal state occasions 51
for former child soldiers 167
for former civil servants 91
for former prime minister 371
for french civil servants 63
for friday evening services 75
for friday night services 161
for further adult education 41
for further chain elongation 111
for further facts concerning 130
for further human evolution 43
for further human progress 55
for further image analysis 74
for further image processing 314
for further large increases 64
for further naval expansion 66
for further noise reduction 51
for further plant expansion 213
for further price declines 45
for further price increases 235
for further rapid economic 54
for further rapid expansion 110
for further rapid progress 42
for further social evolution 75
for further social progress 182
for further stone formation 54
for further study anderson 99
for further study concerning 64
for further study concerns 89
for further study included 40
for further trade activity 54
for further trade expansion 69
for further urban expansion 115
for further yield increases 48
for future civil servants 140
for future court decisions 78
for future growth potential 176
for future human resource 114
for future joint projects 50
for future joint ventures 85
for future latin american 47
for future legal services 87
for future nursing practice 52
for future plant expansion 769
for future price declines 117
for future price increases 379
for future social mobility 41
for future social policies 43
for future social progress 56
for future social relations 72
for future social security 300
for future space programs 46
for future space vehicles 52
for future times vestiges 59
for future trade expansion 49
for future trade relations 160
for future urban expansion 155
for future water resource 45
for future water supplies 85
for future world security 44
for future writing projects 249
for german civil servants 55
for german naval strategy 49
for german night fighters 50
for german staff officers 42
for gifted learning disabled 178
for global trade analysis 660
for global vision publishing 252
for global warming potential 45
for graphing linear equations 74
for greater labor mobility 76
for greater latin american 51
for greater local authority 50
for greater local autonomy 944
for greater racial equality 135
for greater social equality 551
for greater social inclusion 83
for greater social mobility 239
for greater social security 122
for greater social services 55
for greater state autonomy 607
for grinding plane surfaces 110
for ground water monitoring 382
for ground water pollution 140
for ground water recharge 708
for ground water supplies 95
for handling change requests 47
for handling human relations 47
for handling labor disputes 222
for handling labor problems 66
for handling labor relations 103
for handling social problems 97
for handling toxic materials 69
for handling trade disputes 55
for heavily doped materials 48
for herpes virus infection 118
for higher blood pressure 79
for higher brain functions 202
for higher civil servants 412
for higher level analysis 43
for higher level concepts 64
for higher level education 127
for higher level functions 112
for higher level languages 115
for higher level managers 102
for higher level manpower 123
for higher level positions 1246
for higher level processing 330
for higher level scrutiny 97
for higher level services 62
for higher level students 49
for higher order elements 147
for higher order equations 185
for higher order functions 235
for higher order processing 106
for higher order services 42
for higher power operation 48
for higher price supports 320
for higher ranking officers 69
for higher social security 263
for higher speed operation 107
for higher trade barriers 47
for higher value products 106
for higher wages occurred 60
for higher yield potential 63
for highly toxic materials 88
for immune serum globulin 43
for imposing civil liability 79
for imposing legal liability 50
for income taxes actually 43
for income taxes consists 112
for income taxes included 50
for income taxes includes 69
for income taxes minority 57
for income taxes provision 175
for initial value problems 2344
for israeli prime minister 257
for itself alone deserves 52
for jewish adult education 560
for kidney stone formation 167
for larger scale problems 51
for larger scale projects 82
for larger social problems 52
for latent class analysis 93
for latent image formation 221
for laughing under suspicion 63
for lawyer trust accounts 45
for leakage power reduction 69
for learned social controls 52
for liquid waste disposal 164
for little emily robinson 49
for little league baseball 699
for locating short circuits 49
for looked after children 774
for losses which occurred 242
for lowering blood pressure 3673
for lowering trade barriers 182
for luxury goods imported 44
for managing ethnic conflict 105
for managing human resource 236
for managing large projects 82
for managing social relations 50
for manned space vehicles 198
for marine corps officers 54
for mature moral judgment 52
for mature women students 101
for measuring blood pressure 6100
for measuring blood velocity 47
for measuring brain activity 148
for measuring coating thickness 136
for measuring fluid pressure 106
for measuring fluid velocity 75
for measuring large currents 169
for measuring learning outcomes 136
for measuring light scattering 131
for measuring local cerebral 44
for measuring nursing practice 258
for measuring pupil progress 82
for measuring small currents 274
for measuring small electric 117
for measuring small pressure 68
for measuring small variations 50
for measuring small voltages 78
for measuring social adequacy 93
for measuring social distance 88
for measuring social mobility 62
for measuring social progress 46
for measuring sound pressure 132
for measuring strong currents 52
for measuring total pressure 55
for measuring trace elements 63
for measuring vapor pressure 361
for measuring virus activity 54
for measuring vital capacity 106
for measuring water pollution 63
for measuring water potential 235
for measuring water pressure 52
for measuring water relations 89
for mediating labor disputes 58
for medium solar activity 60
for merely local purposes 76
for merely social purposes 78
for merely talking nonsense 112
for middle class american 41
for middle class children 459
for middle class education 128
for middle class families 473
for middle class students 140
for middle grade children 57
for middle grade students 253
for middle level education 216
for middle level managers 92
for middle level manpower 132
for middle level officers 52
for middle level students 223
for minors seeking abortions 233
for minors under eighteen 188
for mobile phone handsets 45
for mobile phone networks 59
for mobile phone services 150
for mobile robot guidance 128
for mobile robot obstacle 53
for modeling human cognition 49
for modern social problems 65
for modern takings doctrine 71
for monday night football 685
for monthly social security 498
for mothers whose children 246
for mothers whose husbands 58
for motive power purposes 151
for narrow gauge railways 130
for narrow human purposes 90
for native civil servants 51
for native indian subjects 62
for native white families 50
for needed social programs 56
for needed social services 116
for neither party ventured 96
for neural crest migration 78
for nitric oxide formation 116
for nitric oxide reduction 76
for nitric oxide synthesis 301
for nobody could possibly 168
for normal adult functioning 41
for normal adult subjects 67
for normal blood formation 204
for normal blood pressure 310
for normal brain activity 51
for normal brain functioning 373
for normal daily activity 57
for normal engine operation 65
for normal goods increases 53
for normal healthy children 60
for normal human bronchial 161
for normal human functioning 116
for normal human nutrition 75
for normal human subjects 109
for normal logic programs 363
for normal motor activity 55
for normal plant operation 63
for normal social contacts 69
for normal social relations 90
for normal trade relations 99
for normal trading purposes 59
for notions which approach 55
for nuclear binding energies 61
for nuclear power engineering 80
for nuclear power generating 529
for nuclear power projects 118
for nuclear waste disposal 1623
for nuclear waste isolation 58
for office space increases 83
for office would exercise 50
for online banking services 110
for online learning caroline 59
for online search services 187
for opposing woman suffrage 771
for ordering human relations 60
for ordering social relations 126
for output above standard 135
for painting large surfaces 63
for partial onset seizures 173
for pelvic organ prolapse 1380
for penguin books australia 49
for pension plans requires 52
for peptic ulcer patients 126
for peptic ulcer treatment 44
for periods after december 394
for phased array antennas 347
for planning large projects 56
for planning water resource 124
for planting healthy colonies 52
for police power purposes 75
for postal savings deposits 199
for preaching false doctrine 60
for pressing social problems 83
for printing error messages 93
for prison guard positions 40
for proper brain functioning 256
for proper brake operation 162
for proper color rendition 98
for proper engine operation 236
for proper human relations 40
for proper nerve functioning 154
for proper social relations 54
for proper waste disposal 133
for proper water drainage 43
for proper working condition 65
for public goods provision 553
for public housing agencies 63
for public housing programs 113
for public housing projects 939
for public housing purposes 92
for public junior colleges 398
for public money expended 49
for public order offenses 580
for public power projects 108
for public social provision 105
for public social security 63
for public social services 388
for public water supplies 4693
for public works amounted 47
for public works designed 45
for public works financed 56
for public works increased 71
for public works minister 71
for public works programs 572
for public works projects 9816
for public works purposes 150
for public works services 71
for pueblo indian students 55
for purely civil purposes 95
for purely irish business 67
for purely irish purposes 82
for purely legal purposes 54
for purely local purposes 692
for purely local services 43
for purely moral purposes 42
for purely naval purposes 50
for purely party purposes 276
for purely social occasions 43
for purely social purposes 656
