fabricate some trifling rings 45
facsimile form solely for 333
factories also turned out 44
factories grew larger and 110
factories have closed and 103
factories have turned out 63
factories wage scales are 51
factories were almost all 50
factories were already being 57
factories were better than 42
factories were churning out 155
factories were closed and 495
factories were closed for 227
factories were filled with 204
factories were offering big 61
factories were opened and 102
factories were opened for 45
factories were seized and 43
faculties from common men 45
faculties less secure and 100
faculties more meekly than 63
faculties more readily than 103
faculties were various and 77
faculties will enable him 256
faithfully into english out 69
faithfully laid before him 61
faithfully laid before you 81
faithfully their duties and 72
faithfully your friend and 153
faithfully your person was 44
familiarly term bodily wit 67
fantasies have created are 133
fantasies were filled with 80
fantasies were played out 55
farmhouse door opened and 46
farmyards were filled with 41
fatherless will reward you 42
favorable free energy for 49
fearlessly seek whether men 79
feminists also argued that 94
feminists have argued for 451
feminists have argued that 8487
feminists have called for 296
feminists have engaged with 58
feminists have fought for 118
feminists have joined with 71
feminists have learned that 58
feminists have worked for 43
feminists must realize that 45
feminists were fighting for 61
fertility rate higher than 87
fertility will remain low 43
fertilize their fields and 75
fertilize their fields with 148
fertilizing their fields with 81
fervently held belief that 152
festivals kept before that 65
festivals like diwali and 68
filtrates were tested for 100
filtrates were treated with 56
fingernails were bright red 46
fingernails were broken and 188
fingernails were pulled out 117
fingernails were ragged and 49
fingernails were rimmed with 113
fireplace were filled with 50
fireworks were played off 109
firmament sowing itself with 68
firmament when filled with 42
fishermen from england and 80
fishermen from france and 65
fishermen have learned that 100
fishermen were killed and 132
flattened into something that 55
flattered their mothers and 76
flattered their vanity and 125
flatterer will uphold him 245
flourishing their knives and 51
flourishing their swords and 213
flourishing their weapons and 95
fluctuate less widely than 104
fluctuate more widely and 84
fluctuate more widely than 2282
fluctuate more wildly than 109
fluctuating lake levels and 43
fluoresce when treated with 101
fluttered away before them 52
fluttered down around him 47
follicles were filled with 42
followers have argued that 426
followers have worked out 40
followers held before him 66
followers into leaders and 222
followers just before his 43
followers pining around him 76
followers were afraid that 41
followers were almost all 141
followers were anxious for 56
followers were blamed for 52
followers were caught and 83
followers were driven out 723
followers were filled with 250
followers were forced out 143
followers were imbued with 49
followers were killed and 467
followers were routed and 45
followers were seized and 115
followers were seized with 52
followers were struck with 49
followers were treated with 244
followers will desert him 44
footsteps came closer and 420
footsteps came toward her 80
footsteps came toward him 68
footsteps came toward them 43
footsteps come closer and 51
footsteps coming behind him 45
footsteps coming closer and 245
footsteps coming toward her 368
footsteps coming toward him 404
footsteps coming toward his 44
footsteps coming toward them 212
footsteps drew closer and 71
footsteps from behind and 40
footsteps from behind him 47
footsteps grew closer and 63
footsteps grew louder and 202
footsteps moving toward her 48
footsteps moving toward him 42
footsteps were closer now 135
footsteps were louder now 62
footsteps were marked with 264
forbidden from carrying out 77
forbidden love affair with 64
forecasts have turned out 78
forecasts were better than 54
forefront those issues that 49
foreigner from entering any 88
foreigner upon english earth 42
foresters were furious with 42
forfeited their rights and 247
forgetful lake benumb not 112
forgotten ages before this 63
forgotten among common and 88
forgotten from whence they 47
forgotten more readily than 88
forgotten more slowly than 78
forgotten much faster than 48
forgotten much sooner than 61
forgotten their creation and 43
