far overshadowed in importance 42
few alternatives to traditional 42
few commentators on shakespeare 50
few masterpieces of literature 64
few philosophers or scientists 58
few practitioners of experience 63
for accommodation or compromise 87
for accreditation of ambulatory 332
for accreditation of educational 119
for accreditation of laboratory 848
for achievements in literature 59
for advancements in technology 42
for agricultural or recreational 113
for agricultural or residential 134
for alternatives to capitalism 71
for alternatives to pesticides 2164
for alternatives to traditional 608
for appointments in government 48
for appointments to government 72
for architecture in particular 49
for authentication of depositions 102
for authentication of electronic 61
for availability of information 68
for carelessness or negligence 53
for certificates of competence 61
for certificates of competency 4289
for certificates of membership 56
for certification as specialists 65
for certification in accordance 75
for certification in elementary 63
for certification of competence 63
for certification of elementary 65
for certification of specialties 96
for certification or recognition 71
for characterizing an individual 54
for characterizing the composition 58
for characterizing the electrical 52
for characterizing the electronic 50
for characterizing the individual 51
for characterizing the interaction 98
for characterizing the mechanical 136
for characterizing the morphology 44
for characterizing the properties 209
for characterizing the rheological 48
for characterizing the structural 81
for characterizing the structures 44
for clarification of information 217
for clarification of objectives 50
for clarification of particular 80
for clarification of statements 63
for clarification of suggestions 159
for clarification or assistance 55
for clarification or elaboration 871
for clarification or explanation 385
for clarification or information 221
for commencement of deliveries 55
for commencement of employment 200
for commencement of negotiations 49
for commencement of warranties 44
for communication in instruction 43
for communication of acceptance 87
for communication of information 1555
for communication of scientific 56
for completeness of description 58
for completeness of information 297
for complications of immobility 116
for comprehension of categories 64
for consequential or incidental 1629
for conservatory or greenhouse 43
for consideration as candidates 62
for consideration as wilderness 49
for consideration by appropriate 46
for consideration by commonwealth 63
for consideration by government 238
for consideration by individual 61
for consideration by interested 55
for consideration by management 148
for consideration by researchers 43
for consideration in accordance 696
for consideration in conformity 323
for consideration in conjunction 110
for consideration in establishing 91
for consideration in subsequent 153
for consideration of amendments 258
for consideration of application 53
for consideration of appropriate 141
for consideration of ecological 119
for consideration of employment 230
for consideration of government 243
for consideration of grievances 67
for consideration of individual 257
for consideration of legislation 93
for consideration of particular 121
for consideration of petitioners 49
for consideration of prosecution 64
for consideration of publication 141
for consideration of respondent 42
for consideration of settlement 51
for consideration on subsequent 42
for consideration or acceptance 69
for consideration the expediency 60
for consideration the proposition 56
for consolidation of fragmented 55
for contemplation or excitement 43
for contraception in adolescent 51
for contravention of regulations 102
for contributions of appreciated 321
for contributions of scientific 59
for contributions to candidates 396
for contributions to charitable 461
for contributions to collective 98
for contributions to educational 101
for contributions to individual 269
for contributions to literature 48
for contributions to periodicals 132
for contributions to registered 50
for contributions to retirement 217
for counterfeiting the securities 69
for decomposition in grasslands 74
for decomposition in terrestrial 49
for deficiencies in individual 85
for demonstration of antibodies 124
for determination by arbitration 65
for determination in accordance 314
for determination of acceptable 58
for determination of alkalinity 51
for determination of antibodies 251
for determination of appropriate 322
for determination of background 87
for determination of coefficient 122
for determination of competency 125
for determination of composition 90
for determination of disability 90
for determination of dissociation 53
for determination of electrical 52
for determination of employment 54
for determination of endogenous 76
for determination of equivalent 71
for determination of erythrocyte 47
for determination of exchangeable 97
for determination of gestational 79
for determination of hemoglobin 348
for determination of impurities 77
for determination of individual 271
for determination of mechanical 126
for determination of molybdenum 98
for determination of nutritional 110
for determination of parameters 164
for determination of percentage 87
for determination of pesticides 65
for determination of phosphorus 343
for determination of properties 71
for determination of quantities 46
for determination of radioactive 111
for determination of refractive 118
for determination of resistance 120
for determination of solubility 83
for determination of structural 54
for developments in technology 63
for differentiating the curriculum 110
for difficulties in establishing 52
for difficulties in interpreting 63
for disbursement in accordance 48
for disfranchising the exploiters 43
for disobedience or misconduct 55
for disobedience to injunctions 61
for dissemination of educational 60
for dissemination of government 135
for dissemination of information 7252
for dissemination of propaganda 87
for dissemination of scientific 274
for dissemination to interested 68
for distributions in liquidation 111
for distributions of appreciated 55
for documentation of information 45
for eccentricity in composition 43
for embezzlement of government 62
for encapsulation of electronic 67
for experimental or analytical 54
for experimental or operational 62
for experimental or scientific 151
for experimental or therapeutic 111
for gratification of dependency 44
for harmonization of legislation 51
for heterosexual or homosexual 257
for illustrations in newspapers 42
for imprisonment or banishment 57
for improvements in curriculum 60
for improvements in educational 118
for improvements in efficiency 562
for improvements in electrical 49
for improvements in employment 65
for improvements in facilities 67
for improvements in governance 42
for improvements in government 186
for improvements in individual 47
for improvements in information 71
for improvements in locomotive 46
for improvements in management 277
for improvements in mechanical 72
for improvements in procedures 55
for improvements in productive 46
for improvements in subsequent 50
for improvements in techniques 55
for improvements in technology 575
for improvements or alterations 41
for incompetence or dishonesty 49
for incompetence or misconduct 262
for incompetence or negligence 61
for incompetency or misconduct 209
for incorporation in subsequent 46
for incorporation of radioactive 52
for independence in mozambique 100
for independence or dependence 52
for indifference or neutrality 45
for inefficiency or dishonesty 66
for inefficiency or malfeasance 45
for inefficiency or misconduct 211
for institutional or individual 40
for instructional or educational 45
for instrumental or expressive 58
for intentionally or recklessly 129
for interference or obstruction 77
for intermittent or continuous 385
for interpreters to understand 56
for interrogation or fingerprinting 84
for investigation in accordance 42
for investigation of complaints 295
for investigation of individual 60
for investigation of intestinal 51
for investigation of mechanisms 48
for investigation of particular 85
for investigation of structural 52
for investigation or assessment 76
