facially neutral with respect 133
factions battled for control 128
factions competing for control 136
factions jockeying for position 58
factors account for between 66
factors account for success 57
factors account for variance 45
factors account for variation 99
factors affecting gas exchange 73
factors affecting his decision 81
factors affecting its decision 144
factors affecting its success 60
factors affecting that problem 48
factors affecting this balance 42
factors affecting this decision 310
factors affecting this problem 43
factors affecting this process 233
factors affecting this variation 43
factors decrease with increasing 93
factors explain this decline 76
factors explain this failure 67
factors explain this increase 49
factors explain this pattern 64
factors governing this process 52
factors increase and decrease 106
factors increase with increasing 94
factors increasing and decreasing 51
factors outside her control 86
factors outside his control 1208
factors outside its control 921
factors outside our control 1026
factors promoting and hindering 45
factory employing one hundred 46
factory employing two hundred 60
factory overhead are charged 42
factory producing war material 45
factory workers and factory 102
factory workers and farmers 777
factory workers and foremen 46
factory workers and members 72
factory workers and peasants 614
factory workers and railway 44
factory workers and service 149
factory workers and skilled 84
factory workers and teachers 56
factory workers and workers 54
factory workers are exposed 46
factory workers per thousand 55
factual element that confers 41
factual premise that jackson 44
factual support for reports 80
faculty adviser and student 46
faculty members and between 123
faculty members and college 328
faculty members and courses 76
faculty members and faculty 174
faculty members and friends 135
faculty members and library 59
faculty members and medical 70
faculty members and members 135
faculty members and outside 72
faculty members and parents 127
faculty members and research 755
faculty members and several 127
faculty members and spouses 47
faculty members and student 552
faculty members and support 138
faculty members and teachers 92
faculty members are allowed 83
faculty members are beginning 57
faculty members are elected 48
faculty members are equally 43
faculty members are experts 47
faculty members are invited 172
faculty members are members 55
faculty members are present 56
faculty members are subject 70
faculty members are tenured 166
faculty members are trained 218
faculty members are unaware 49
faculty members are usually 188
faculty members can provide 88
faculty members doing research 63
faculty members for research 183
faculty members who believe 131
faculty members who conduct 57
faculty members who develop 48
faculty members who offered 44
faculty members who opposed 70
faculty members who possess 64
faculty members who provide 75
faculty members who publish 47
faculty members who receive 84
faculty members who refused 95
faculty members with degrees 43
faculty members with diverse 56
faculty members with research 88
faculty members with respect 85
faculty members with similar 96
faculty offices and research 56
faculty offices and seminar 51
faculty offices and student 53
faculty offices are located 42
faculty research and service 48
faculty research and student 56
faculty support for student 51
faculty towards that purpose 134
faintly streaked with crimson 41
faithful brethren and sisters 114
faithful brothers and sisters 293
faithful commons for detecting 108
faithful counsel and service 48
faithful friends and gallant 70
faithful friends and helpers 92
faithful friends and patrons 53
faithful husband and devoted 192
faithful pastors and teachers 110
faithful servant and admirer 81
faithful servant and adviser 46
faithful servant and soldier 183
faithful servant and steward 66
faithful servant and subject 970
faithful servant had entered 57
faithful service and devotion 108
faithful service and loyalty 63
faithful soldier and servant 1932
faithful soldier was content 135
faithful subject and servant 844
falsely accused her husband 78
falsely accused they appeared 50
falsely defamed its subject 414
falsely presume that marketing 40
familial insomnia and familial 231
familiar animals and objects 95
familiar culture and language 41
familiar language and culture 73
familiar language and customs 53
familiar manners and popular 68
familiar objects and animals 144
familiar objects and familiar 109
familiar objects and persons 189
familiar pattern has emerged 43
familiar pattern was repeated 156
familiar persons and objects 134
familiar spirits and wizards 533
familiar stories with familiar 57
familiar streets and buildings 185
familiar streets and squares 87
familiar thoughts and language 44
familiar weights and measures 65
fancied triumph and delight 259
fatally blights its promise 85
fatally pierced with bullets 98
fatally weakened his position 57
favored because they provide 57
favored brothers and sisters 199
favored northern and western 372
favored position with respect 385
fearless fighter for freedom 60
feasible because they require 56
feasible solution for problem 58
feasible solution with exactly 68
feasible solution with respect 45
feathered brothers and sisters 50
features country and western 47
features regular and elegant 56
features swollen and blurred 76
febrile illness with headache 200
febrile illness with malaise 71
federal alcohol and tobacco 76
federal ambient air quality 432
federal capital and operating 48
federal capital was located 50
federal charter had expired 60
federal concern and federal 42
federal control and federal 44
federal dollars and federal 49
federal dollars for research 93
federal highway aid program 57
federal highway and transit 165
federal marriage and divorce 96
federal outlays for defense 91
federal outlays for research 46
federal outlays for welfare 42
federal payroll tax returns 207
federal primary and general 48
federal program for providing 49
federal program with uniform 47
federal question was decided 64
federal revenue was derived 67
federal statute and federal 57
federal statute may preempt 45
federal statute that allowed 64
federal statute that applies 49
federal statute that confers 42
federal statute that congress 48
federal statute that forbade 43
federal statute that forbids 86
federal statute that governs 131
federal statute that granted 75
federal statute that imposed 62
federal statute that limited 48
federal statute that permits 146
federal statute was amended 81
federal statute was enacted 208
federal student aid program 194
federal support and control 197
federal support for abortion 46
federal support for bilingual 186
federal support for civilian 69
federal support for college 101
federal support for highway 53
federal support for medical 372
federal support for private 116
federal support for regional 61
federal support for research 3008
federal support for schools 126
federal support for science 387
federal support for slavery 53
federal support for student 77
federal support for welfare 56
federal taxation has swollen 51
federal workers are covered 44
feigned illness and refused 131
feigned passions and mimetic 97
females produce two litters 64
femoral vessels and femoral 54
femoral vessels are exposed 172
ferment glucose and lactose 98
ferment glucose and maltose 185
ferment lactose and produce 183
ferment lactose and sucrose 212
ferrous sulfate and ferrous 349
fertile brothers and sisters 45
fertile country lying between 107
fertile females and sterile 80
fertile plateaus and valleys 110
fertile valleys and coastal 134
fertile valleys and plateaus 247
fertile valleys and uplands 93
fertile valleys and verdant 65
fertile valleys lying between 132
fervent prayers and praises 55
fervent prayers are offered 151
festering pimples that attract 40
fibrous tissues that connect 49
fiercer element had cropped 129
fifteen brothers and sisters 354
fifteen dollars and seventy 385
fifteen dollars per hundred 269
fifteen dollars per quarter 100
fifteen dollars per thousand 161
fifteen hundred and fifteen 340
fifteen hundred and seventy 2654
fifteen hundred and sixteen 145
fifteen hundred and thirteen 63
fifteen hundred men against 159
fifteen hundred men arrived 50
fifteen hundred men capable 44
fifteen hundred men gathered 50
fifteen hundred men including 47
fifteen hundred men marched 51
fifteen members are elected 56
fifteen members was elected 46
fifteen millions two hundred 136
fifteen minutes and allowed 78
fifteen minutes and finally 141
fifteen minutes and several 44
fifteen minutes are allowed 128
fifteen minutes are devoted 66
fifteen minutes being allowed 57
fifteen minutes for several 103
fifteen minutes had elapsed 927
fifteen minutes had expired 66
fifteen minutes per patient 94
fifteen minutes they arrived 67
fifteen minutes was allowed 121
fifteen seconds had elapsed 59
fifteen shillings per hundred 80
fifteen shillings per quarter 123
fifteen shillings per thousand 59
fifteen stripes and fifteen 254
fifteen thousand and seventy 65
fifteen thousand and sixteen 109
fifteen thousand had crossed 42
fifteen thousand head together 42
fifteen thousand men against 288
fifteen thousand men marched 41
fifteen thousand new members 40
fifteen thousand one hundred 651
fifteen thousand six hundred 882
fifteen thousand two hundred 869
figures advancing and retreating 70
figures include all classes 46
figures include all persons 79
figures suggest that although 157
figures suggest that between 213
figures suggest that despite 42
figures suggest that perhaps 74
figures wilhelm was surveying 44
finally abandon his efforts 75
finally abandon its present 91
finally adopted and carried 77
finally amended and adopted 45
finally answering her question 64
finally answering his question 111
finally arranged and settled 48
finally assumed its present 197
finally blessed with perfect 51
finally brought him victory 60
finally brought them together 717
finally crowned his efforts 110
finally crowned with success 1842
finally crowned with victory 60
finally crucify him between 59
finally decided him against 52
finally decided that although 92
finally decided that because 108
finally decided that certain 44
finally decided that perhaps 163
finally defeated his enemies 41
finally divorcing her husband 120
finally dropped all charges 49
finally finishing our account 42
finally gathered her courage 54
finally gathered his courage 57
finally granted her request 79
finally granted his request 100
finally ignited and weighed 64
finally married and settled 128
finally realized his ambition 195
finally realized his lifelong 49
finally realized his mistake 112
finally realized that although 76
finally realized that everything 88
finally realizes his mistake 42
finally relaxed and allowed 46
finally released and allowed 208
finally rescued and brought 59
finally resolve this problem 40
finally resumed his journey 45
finally resumed our journey 51
finally rewarding and punishing 217
finally secured his freedom 46
finally secured his position 42
finally secured its passage 41
finally settled and decided 66
finally settled his account 55
finally settled that question 41
finally settled this question 125
finally stopped and pointed 45
finally withdrew his support 72
finally withdrew its support 147
finally yielded and allowed 57
finance capital and exploit 58
finance capital and foreign 46
finance charges are imposed 127
finance charges are usually 43
