fable disputed about the 45
faced children about the 47
faced constant threats of 67
faced imminent danger of 49
faced questions about the 275
faced suddenly round on 59
faces questions about the 54
facial challenge under the 74
facial skeleton above the 59
facts actually exist in 57
facts actually known to 192
facts commonly cited to 54
facts concerning jesus of 69
facts concerning which he 292
facts concerning which it 72
facts concerning which no 70
facts concerning which the 196
facts concerning which we 58
facts directly thrust on 46
facts included under the 61
facts mentioned about the 46
facts mentioned above as 56
facts mentioned above in 70
facts mentioned above it 145
facts mentioned above the 75
facts mentioned above we 49
facts observed about the 56
facts possible about the 47
facts recorded about the 113
facts reported about the 50
facts respecting which the 86
facts straight about the 163
facts subsumed under the 44
faded somewhat after the 40
faded somewhat since the 53
faecal bacterial flora of 70
faint balsamic smell of 71
faint flickering light of 46
faint glimmering light of 52
faint glimmering light to 41
faint metallic cheep of 64
faint movement under my 91
faint scratching sound as 41
faint suspicion about the 45
faint whispers hinting at 145
fairy godmother would be 44
falling anywhere within the 91
falling darkness under the 53
falling directly under the 225
falling directly within the 296
falling entirely under the 137
falling entirely within the 396
falling fortunes would be 44
falling interest rates as 98
falling interest rates by 59
falling interest rates in 300
falling interest rates is 77
falling interest rates on 154
falling interest rates or 87
falling interest rates to 74
falling normally within the 69
falling probably short of 53
falling properly under the 43
falling properly within the 235
falling purchasing power of 347
falling relative price of 220
falling seriously short of 83
falling slightly below the 166
falling slightly short of 137
falling somewhat below the 84
falling somewhat short of 618
falling squarely within the 426
falling straight lines of 54
falling strictly under the 67
falling strictly within the 291
falls anywhere within the 250
falls directly below the 177
falls directly beneath the 109
falls directly under the 1455
falls directly within the 1579
falls dismally short of 85
falls entirely below the 47
falls entirely short of 223
falls entirely under the 437
falls entirely within the 4506
falls fearfully short of 55
falls markedly below the 109
falls markedly short of 68
falls melodious birds sing 2520
falls properly under the 755
falls properly within the 1229
falls scarcely short of 45
falls sensibly short of 43
falls seriously short of 570
falls slightly above the 259
falls slightly below the 1592
falls slightly short of 1126
falls slightly until the 47
falls somewhat above the 121
falls somewhat after the 58
falls somewhat below the 887
