fable invented for the 45
faced conflict with the 44
faced directly with the 369
faced eastwards and the 57
faced initially with the 204
faced problems due to 170
faced problems with the 767
faced squarely and the 99
faced squarely for the 44
faced squarely with the 656
faced suddenly with an 51
faced suddenly with the 266
faced therefore with the 128
faces animated with the 70
faces coincide with the 63
faces compared with the 62
faces contrast with the 52
faces downward and the 177
faces fragrant with the 149
faces indicate that the 60
faces parallel with the 181
faces problems due to 121
faces problems with the 129
faces reminded her of 81
faces reminded him of 160
faces requires that we 58
faces straight out of 49
faces suggests that the 143
faces twitched with the 173
facet analysis and the 88
facial arteries may be 68
facial contours and the 74
facial esthetics and the 48
facial gestures and the 63
facial injuries and the 64
facial injuries can be 109
facial injuries due to 49
facial injuries may be 95
facial movement and the 100
facial movement can be 66
facial movement may be 54
facial movement with the 47
facial neuralgia due to 63
facial neuralgia may be 83
facial skeleton and in 47
facial skeleton and of 71
facial skeleton and the 635
facial skeleton are the 45
facial skeleton can be 224
facial skeleton may be 149
facts accounting for the 74
facts accounts for the 110
facts adequate and as 60
facts admitted for the 40
facts coincide with the 162
facts combined with the 374
facts compared with the 53
facts concerning all of 48
facts concerning all the 132
facts concerning any of 58
facts concerning both the 174
facts concerning each of 251
facts concerning his or 81
facts concerning how the 65
facts concerning one of 135
facts concerning them as 92
facts concerning them is 45
facts concerning them of 40
facts concerning two of 40
facts conflict with the 120
facts contrast with the 53
facts disclose that in 45
facts disclose that the 315
facts elicited may be 59
facts essential for the 176
facts indicate that an 236
facts indicate that as 131
facts indicate that at 161
facts indicate that by 41
facts indicate that he 366
facts indicate that if 115
facts indicate that in 790
facts indicate that it 863
facts indicate that no 175
facts indicate that on 42
facts indicate that the 10813
facts indicate that we 221
facts indicating that he 123
facts indicating that in 45
facts indicating that it 159
facts indicating that the 1291
facts involved and of 44
facts involved and on 104
facts involved and the 452
facts involved may be 53
facts involved with the 46
facts narrated and the 55
facts observed and the 251
facts observed are as 93
facts observed are in 73
facts observed can be 69
facts observed may be 60
facts observed with the 67
facts obtained and the 62
facts otherwise than as 304
facts otherwise than by 135
facts recorded and the 148
facts recorded are of 55
facts recorded may be 63
facts relevant for the 192
facts remained that the 97
facts reported and the 65
facts reported may be 42
facts required for an 89
facts required for the 603
facts requires that the 56
facts retailed and the 52
facts selected and the 43
facts specially for the 68
facts squarely and to 67
facts straight and the 56
facts straight and to 140
facts suggesting that the 440
facts suggests that it 46
facts suggests that the 370
facts suitable for the 48
facts supplied him by 53
facts supporting each of 190
facts supporting his or 42
facts whatever may be 53
facts whenever that is 45
faded entirely out of 240
faded grandeur was the 118
faded overalls and the 84
faded somewhat with the 98
faded suddenly out of 76
fades entirely out of 48
failing employer that it 52
failing eyesight and the 199
failing eyesight due to 64
failing foragers may be 45
failing operation and the 67
failing resource for the 87
failing resource was the 51
faint affinity with the 40
faint compared with the 435
faint contempt for the 85
faint distaste for the 48
faint enthusiasm for the 57
faint fluttering wings of 79
faint greenish tinge in 44
faint nostalgia for the 94
faint struggle with the 53
faint surprise that he 74
faint surprise that the 76
faint suspicion that he 307
faint suspicion that if 48
faint suspicion that it 93
faint suspicion that the 319
faint westerly air of 69
fairy godmother and the 267
fairy godmother for the 59
fairy godmother was the 63
fairy godmother with the 57
fairy laughter all the 51
fairy princess and the 75
fairy received them in 43
falling backward off the 120
falling backward out of 80
falling backward with the 74
falling birthrate and the 118
falling branches and the 56
falling cataract and the 75
falling darkness and the 68
falling entirely out of 52
falling increases with the 43
falling parallel with the 42
falling revenues and the 55
falling seriously ill in 52
falling sickness and the 43
falling somewhat out of 69
falling straight out of 61
falling suddenly out of 94
falls anywhere but in 44
falls backward and is 69
falls backward and the 48
falls backward off the 49
falls compared with the 201
falls directly out of 279
falls directly with the 48
falls entirely out of 213
falls parallel with the 75
falls seriously ill in 77
falls seriously ill or 171
falls slightly and the 66
falls somewhat out of 46
falls straight out of 49
falls stricken dead by 46
false aneurism may be 68
false aneurysm due to 60
false aneurysm may be 102
false apostles and the 92
false argument that the 140
false assertion that he 239
false assertion that it 112
false assertion that the 1034
false authority for the 40
false conceits and the 64
false contrast with the 90
false diagnosis may be 50
false doctrine and of 43
false doctrine and the 333
false doctrine and to 114
false doctrine can be 57
false doctrine for the 44
false doctrine may be 59
false doctrine that is 114
false doctrine that it 79
false doctrine that the 817
false doctrine that we 40
false doctrine with the 61
false document for the 53
false document may be 45
false document with the 56
false education and the 49
false enthusiasm for the 52
false evidence and the 157
false evidence can be 163
false evidence for the 418
false evidence has to 120
false evidence may be 89
false evidence that he 121
false evidence that the 73
false evidence with the 75
false humility and the 196
false identity and the 78
false identity for the 98
false identity with the 115
false indicating that the 43
false judgment can be 44
false judgment may be 121
false judgment that the 68
false membrane and in 46
false membrane and the 201
false membrane can be 100
false membrane may be 477
false membrane with the 55
false memories and the 63
false memories can be 713
false memories may be 99
false miracles for the 43
false morality and an 67
false negative and the 68
false negative can be 52
false negative due to 58
false negative for the 49
false negative may be 70
false nostalgia for the 48
false operation due to 86
false optimism and the 55
false optimism that the 44
false passages may be 62
false passport and the 68
false passport for the 55
false pleasures and the 41
false positive and the 144
false positive can be 103
false positive due to 170
false positive for the 76
false positive may be 158
false premises and on 42
false premises and the 109
false premises can be 57
false premises that the 64
false pretense that he 170
false pretense that it 150
false pretense that the 165
false promises and the 181
false promises and to 61
false promises for the 64
false promises that he 75
false promises that the 80
false prophecy and the 82
false prophecy put in 48
false prophets and of 154
false prophets and the 1027
false prophets and to 119
false prophets are in 48
false prophets are the 135
false prophets are to 122
false prophets can be 74
false prophets for the 63
false prophets going to 51
false prophets may be 97
false prophets that the 65
false prophets who do 68
