fabulous oil wealth of 40
fabulous than those of 52
facetious and full of 62
facetious but when he 68
facility and also the 62
facility and also to 86
facility and cost of 78
facility and during the 41
facility and from the 124
facility and have the 72
facility and having an 46
facility and having the 57
facility and into the 88
facility and lack of 203
facility and lease it 59
facility and make it 80
facility and make the 48
facility and many of 46
facility and means of 88
facility and meet the 53
facility and must be 239
facility and note the 80
facility and part of 45
facility and range of 79
facility and rate of 126
facility and some of 98
facility and talk to 47
facility and there is 254
facility and truth in 82
facility and truth of 73
facility and type of 92
facility and used to 43
facility and want of 54
facility and when the 43
facility and will be 231
facility are able to 52
facility are used to 68
facility being used to 51
facility but also in 41
facility but also the 121
facility but also to 122
facility but only to 46
facility can also be 677
facility can best be 44
facility can help to 48
facility can make the 45
facility can meet the 85
facility can only be 329
facility far from the 42
facility for adding to 61
facility for bringing it 43
facility for bringing the 73
facility for care of 80
facility for coming to 61
facility for coming up 53
facility for giving the 41
facility for leaving the 48
facility for living in 74
facility for living on 49
facility for making an 87
facility for making it 46
facility for making the 404
facility for making up 80
facility for many of 49
facility for most of 66
facility for moving the 90
facility for reading the 70
facility for saying the 42
facility for seeing the 204
facility for some of 87
facility for such an 220
facility for taking in 112
facility for taking the 98
facility had been in 158
facility had been the 73
facility has been in 490
facility has been so 43
facility has been the 231
facility has made it 49
facility may also be 630
facility may find it 42
facility may have an 86
facility may have the 69
facility may have to 319
facility may need to 295
facility may only be 45
facility may want to 110
facility may well be 100
facility may wish to 109
facility not only in 101
facility not only of 64
facility not only to 106
facility per unit of 55
facility than those of 99
facility than when the 62
facility that made it 41
facility that made the 67
facility that must be 244
facility that there is 64
facility that used to 41
facility that uses an 61
facility that uses the 104
facility that will be 868
facility they give to 114
facility they have in 74
facility they have of 155
facility they have to 49
facility they will be 42
facility was able to 296
facility was held to 58
facility was made by 41
facility was made in 49
facility was meant to 64
facility was open to 98
facility was part of 209
facility was ready to 83
facility was said to 52
facility was seen as 174
facility was sold to 168
facility was used as 369
facility was used by 209
facility was used in 129
facility was used to 633
