face drug trafficking charges 142
face many challenges related 41
face many difficult choices 64
face more decidedly against 113
face some difficult choices 330
face were perfectly regular 74
fact have exercised control 47
fact more important because 65
fade into political oblivion 87
fain have delivered himself 97
fain have persuaded herself 102
fain have persuaded himself 111
fain have sheltered herself 53
fall from different heights 168
fall into different classes 2090
fall into different groupings 92
fall into different opinions 177
fall into disrepair because 203
fall into disrepute because 203
fall into perpetual anarchy 92
fall upon different persons 494
farm were peculiarly excited 75
fats from different sources 138
fats from vegetable sources 156
fats have different effects 43
fears have sometimes fancied 132
fears were expressed regarding 62
fears were gradually allayed 56
fears were justified because 142
fears were unfounded because 61
feast were skilfully adapted 109
feel less attracted towards 46
feel like celebrating tonight 40
feel like important members 68
feel like outsiders because 47
feel many different emotions 94
feel more confident because 141
feel more confident regarding 45
feel more important because 73
feel most sincerely obliged 92
feel much gratitude towards 139
feel some beneficial effects 44
feel some gratitude towards 77
feel very different emotions 53
feel very fortunate because 59
feel your abdominal muscles 245
feet were stiffened forever 44
fell back exhausted against 41
fell back gradually towards 46
fell into desperate courses 44
fell into desperate straits 93
fell into desuetude because 42
fell into different classes 51
fell into disrepair because 105
fell into disrepair following 45
fell into disrepute because 1108
fell into disrepute following 79
fell into disrepute largely 76
fell into exhausted slumber 235
fell into momentary silence 40
fell into thoughtful silence 76
fell when biological research 72
felt deep gratitude towards 42
felt less animosity towards 44
felt like sandpaper against 94
felt many distressing effects 56
felt more attracted towards 42
felt more confident because 54
felt some connection between 48
felt such exquisite pleasure 55
felt their influence strongly 113
felt their scattered spirits 40
felt their sympathies appealed 55
felt very depressed because 52
felt very important because 53
felt very pleasantly excited 126
felt when middleton crossed 77
fifth most populated country 100
file from secondary storage 93
file other pertinent portions 43
fill high executive offices 45
fill many important offices 109
fill these important offices 52
find good agreement between 513
find laid obliquely against 74
find life difficult because 45
find many analogies between 81
find many arguments against 87
find many different opinions 45
find many different species 49
find many different versions 54
find many interesting details 74
find many interesting stories 56
find many parallels between 234
find many ungrateful persons 49
find mere arbitrary mystery 113
find more reputable persons 70
find much agreement between 51
find much connection between 64
find much empirical support 66
find much interesting material 199
find nothing unusually limited 40
find some accusation against 91
find some additional support 53
find some advantage against 228
find some agreement between 67
find some association between 109
find some connection between 1058
find some empirical support 189
find some excellent remarks 104
find some instances following 47
find some interesting details 110
find some interesting features 54
find some interesting figures 53
find some interesting material 128
find some interesting remarks 96
find some interesting results 190
find some parallels between 86
find some permanent solution 41
find some plausible pretext 315
find some practical solution 84
find some protection against 96
find some quadruped related 54
find some reasonable solution 48
find some scattered remains 97
find some temporary shelter 44
find some tentative answers 57
find some tolerable pasture 116
find some universal formula 80
find their appetites whetted 41
find their biological parents 158
find their loyalties divided 76
find their principal markets 51
find their principal support 50
find these brunswick princes 43
find these necessary objects 49
find these primitive legends 82
find those misplaced virtues 101
find three different classes 52
find true happiness together 63
find very different results 108
find work elsewhere because 59
fine dust particles emanating 149
fine wire stretched between 64
fine wire suspended between 62
fire from surrounding buildings 56
fish pond production studies 49
fist will certainly outlast 52
five days intervening between 133
five feet intervening between 50
five high political offices 157
five main political parties 227
five most important aspects 143
five most important criteria 224
five most important factors 588
five most important features 116
five most important measures 45
five most important members 150
five most important sources 191
five most important species 90
five other committee members 57
five other political parties 113
five other principal persons 84
five years afterward madison 48
five years expedition against 100
five years intervening between 243
five years previously because 62
flat those occasional prayers 53
fled their countries because 99
flee their countries because 71
flee their homelands because 61
flew into downright passions 63
flex their political muscles 445
flow from different sources 454
flow from mercenary motives 237
flow from operations because 186
flow from operations divided 101
flow over irregular terrain 50
flow will gradually increase 86
foal were especially beloved 52
foil from cigarette packets 53
fold into chocolate mixture 548
food among household members 47
food crop production systems 67
food from different sources 121
