face centered cubic and 203
face darkened again and 62
face decisions about how 295
face execution rather than 41
face increased costs and 97
face physical danger and 65
face problems arising out 87
face problems every day 99
face problems rather than 108
face problems which are 481
face problems which can 117
face problems which they 85
face processing within and 115
face questions about his 133
face questions about how 196
face reddened again and 41
face remained blank and 112
face remained blank for 52
face remained fixed for 41
face remained grave and 128
face remained smooth and 58
face remained stern and 70
face singularly seamed with 65
face somewhat paler than 41
face straight shall you 152
face strangely drawn and 81
face suddenly alive with 66
face suddenly beamed with 77
face suddenly drawn and 61
face suddenly shone with 68
face suddenly stood out 81
face suddenly white and 127
face suddenly white with 53
face validity rather than 53
face whatever comes our 48
face whatever comes with 139
facing problems which are 75
fact everyone knows that 55
fact increased rather than 78
fact increases rather than 56
fact mentioned above that 1582
fact probably would not 43
fact produced which can 70
fact relevant under any 67
fact slightly lower than 84
fact somewhat lower than 60
fact suggests either that 44
fair baronies which his 81
fair children first she 94
fair elections could not 118
fair pictures rather than 49
fair promises which had 53
fair promises which they 54
fair promises within our 77
fair prospect makes them 40
fair purchase price for 125
fair treatment alike for 54
fair treatment rather than 58
fair treatment under law 40
fair treatment which are 76
fair valuation thereof may 52
faith immunity would bar 66
faith remained strong and 76
fall anywhere within this 44
fall directly under any 42
fall directly under his 47
fall directly under one 45
fall directly under our 71
fall directly within that 339
fall entirely within one 217
fall entirely within that 58
fall entirely within this 107
fall properly under his 58
fall properly under our 113
fall properly under that 73
fall properly within our 81
fall semester began with 51
fall slightly below this 112
fall somewhat below that 93
fall somewhat below this 65
fall squarely within any 44
fall squarely within its 180
fall squarely within new 53
fall squarely within one 154
fall squarely within that 114
fall squarely within this 366
fall strictly under its 43
fall strictly within any 79
fall strictly within our 42
fall strictly within this 45
fame increased after his 44
fame scarcely moved him 68
fare slightly worse than 95
fare somewhat worse than 90
farm accounts which are 75
farm business rather than 153
farm consumed thereon are 42
farm families could not 325
farm families found that 40
farm families rather than 134
farm families would not 64
farm laborers could not 45
farm laborers rather than 217
farm laborers working for 140
farm managers rather than 61
farm mortgage loans and 85
farm mortgage loans are 171
farm probably feeds him 63
farm products after they 133
farm products could not 326
farm products rather than 295
farm products which are 1135
farm products which can 83
farm products which had 171
farm products which they 197
farm products would not 105
farm purchasing power and 86
farm purchasing power was 57
fast economic growth and 1534
fast economic growth can 46
fast economic growth for 43
fast economic growth had 40
fast economic growth has 185
fast economic growth that 106
fast economic growth was 159
fast economic growth with 163
fast neutrons rather than 103
fast neutrons which are 280
fast processing speed and 55
fast response times and 698
fast response times are 217
fast response times for 145
fears redouble within him 170
feel accepted rather than 43
feel bitterly sorry that 76
feel complete until you 44
feel confused about her 71
feel confused about how 399
feel confused about who 71
feel confused about why 43
feel divinity within them 250
feel doubtful about this 103
feel emotional about that 42
feel entirely happy with 83
feel hesitant about doing 41
feel hesitant about going 61
feel hesitant about using 44
feel hopeless about being 44
feel hopeless about his 48
feel horrible about this 75
feel horribly sorry for 47
feel included rather than 143
feel insecure about being 212
feel insecure about doing 43
feel insecure about her 194
feel insecure about his 428
feel insecure about how 111
feel insecure about our 150
feel insecure about this 42
feel insecure about who 46
feel positive about and 60
feel positive about being 326
feel positive about her 86
feel positive about his 111
feel positive about one 101
feel positive about our 85
feel positive about that 60
feel positive about them 67
feel positive about this 136
feel positive about who 56
feel powerful rather than 85
feel reassured about his 44
feel reassured knowing that 93
feel relieved about that 47
feel romantic about him 61
feel seriously about them 109
feel slightly dizzy and 83
feel slightly sorry for 221
feel somewhat sorry for 214
feel somewhat uneasy and 42
feel somewhat uneasy with 63
feel suddenly sorry for 109
feel terrible about all 110
feel terrible about being 73
feel terrible about her 53
feel terrible about his 84
feel terrible about how 49
feel terrible about not 123
feel terrible about that 801
feel terrible about this 2093
feel terrible right now 51
feel terribly about this 48
feel terribly alone and 194
feel terribly sorry for 1841
feel terribly tired and 89
feel threatened rather than 133
feel troubled about her 122
feel troubled about his 84
feel troubled about this 44
feel unfairly singled out 72
fees received under this 355
