tact directing 56 tail
shorter 49 tail widened
44 tail function 263
take measures 44 take
amounts 83 take calcium
48 take classes 261
take college 242 take
comfort 41 take courses
1972 take factors 132
take insulin 47 take
lessons 67 take measures
1861 take research 61
take samples 210 take
science 60 take studies
73 take vitamin 133
take against 1031 take
because 720 take quickly
120 take rapidly 69
take classes 42 take
liquors 64 take courses
49 take watches 47
take current 125 take
hostage 145 take measures
57 take records 71
take measures 67 take
measures 181 take measures
61 take factors 47
take highway 151 take
captive 267 take courses
43 take classes 189
take courses 260 take
flights 168 take college
225 take private 64
take samples 89 take
efforts 117 take measures
496 take diseases 51
take quietly 88 take
lightly 185 take against
44 take measures 5954
take chances 998 take
measures 2053 take measures
87 take amounts 2944
take aspects 263 take
avenues 47 take classes
151 take courses 3835
take degrees 117 take
factors 113 take formats
115 take measures 352
take numbers 240 take
objects 86 take pathways
212 take samples 69
take sections 58 take
stances 386 take courses
100 take enzymes 204
take between 201 take
courses 106 take samples
126 take courses 99
take account 61 take
command 160 take control
1373 take counter 904
take evasive 96 take
measures 15933 take remedial
366 take measures 4392
take measures 788 take
measures 242 take measures
5458 take species 218
take measures 2922 take
against 203 take amounts
621 take current 62
take delight 52 take
measures 99 take pleasure
66 take profits 79
take control 398 take
control 144 take measures
150 take vengeance 274
take insulin 53 take
measures 54 take jewelry
47 take measures 124
take delight 74 take
pleasure 102 take vengeance
46 take measures 211
take research 96 take
chances 58 take courses
59 take increasing 52
take members 65 take
measures 57 take matters
53 take measures 155
take objects 70 take
radical 40 take diagrams
195 take diseases 78
take against 58 take
because 81 take towards
58 take matters 78
take against 77 take
courses 121 take language
52 take noticed 114
take strolls 261 take
because 126 take everything
221 take millions 44
take against 87 take
because 706 take exactly
649 take because 40
take measures 288 take
physics 70 take counter
54 take decision 48
take measures 23558 take
remedial 316 take courses
153 take account 45
take against 96 take
measures 297 take lightly
101 take efforts 48
take enzymes 135 take
between 130 take command
100 take control 200
take custody 54 take
measures 65 take pleasure
69 take service 64
take delight 46 take
measures 48 take lessons
45 take affairs 51
take chances 46 take
control 931 take courage
112 take economy 230
take factors 173 take
matters 80 take measures
172 take parties 78
take science 181 take
soundings 60 take stances
94 take according 89
take because 150 take
forthwith 54 take himself
193 take peaceably 60
take cyanide 84 take
account 206 take courses
108 take lessons 166
take measures 1547 take
against 2219 take clinton
44 take kennedy 48
take because 55 take
measures 898 take stances
45 take according 149
take against 13146 take
pleasure 45 take species
75 take against 52
take measures 49 take
measures 121 take account
209 take amounts 60
take chances 175 take
efforts 347 take measures
7695 take remedial 2511
take feasible 56 take
prudent 171 take courses
2290 take samples 46
take against 4769 take
measures 281 take measures
1611 take lessons 43
take talents 53 take
thousand 58 take between
42 take because 67
take between 472 take
amounts 44 take courses
186 take measures 115
take matters 46 take
control 64 take efforts
93 take measures 287
take courses 200 take
service 46 take command
850 take control 480
take custody 390 take
measures 354 take service
88 take shelter 282
take workers 46 take
according 60 take against
53 take outside 78
take regarding 66 take
lightly 832 take outside
239 take account 68
take pleasure 67 take
delight 88 take pleasure
49 take amounts 65
take measures 47 take
measures 492 take stances
49 take traffic 93
take everything 93 take
classes 60 take courses
549 take control 61
take measures 140 take
lessons 53 taking amounts
54 taking classes 111
taking college 75 taking
courses 714 taking factors
54 taking measures 475
taking samples 124 taking
schooling 75 taking science
48 taking vitamin 65
taking against 61 taking
because 87 taking perhaps
104 taking strolls 40
taking liquors 125 taking
hostage 117 taking records
81 taking measures 42
taking spirits 59 taking
captive 155 taking measured
40 taking classes 44
taking classes 100 taking
captive 104 taking moments
50 taking courses 177
taking flights 46 taking
college 108 taking private
56 taking samples 136
taking measures 130 taking
measures 665 taking chances
683 taking measures 392
taking vengeance 86 taking
amounts 166 taking aspects
126 taking classes 89
taking courses 653 taking
measures 105 taking numbers
86 taking samples 70
taking sections 78 taking
stances 86 taking courses
57 taking enzymes 165
taking samples 55 taking
courses 103 taking control
366 taking counter 160
taking measures 2329 taking
remedial 82 taking measures
603 taking measures 181
taking measures 43 taking
measures 919 taking species
158 taking measures 799
taking amounts 662 taking
current 119 taking profits
146 taking control 116
taking insulin 53 taking
delight 94 taking increasing
52 taking chances 44
taking measures 97 taking
diagrams 1352 taking against
44 taking courses 67
taking strolls 149 taking
against 52 taking certain
63 taking according 46
taking against 46 taking
because 314 taking tablets
103 taking measures 1167
taking remedial 94 taking
courses 71 taking account
57 taking courses 64
taking glances 80 taking
measures 92 taking samples
49 taking measures 126
taking enzymes 83 taking
between 44 taking control
276 taking economy 65
taking factors 64 taking
measures 141 taking science
223 taking soundings 46
taking stances 67 taking
himself 62 taking cyanide
320 taking lessons 55
taking measures 720 taking
against 374 taking measures
292 taking against 1381
taking courses 42 taking
account 51 taking efforts
60 taking measures 729
taking courses 468 taking
against 735 taking measures
187 taking lessons 78
taking between 41 taking
courses 44 taking measures
62 taking courses 215
taking command 214 taking
control 142 taking custody
52 taking measures 61
taking service 43 taking
shelter 148 taking regarding
44 taking outside 93
taking delight 47 taking
measures 132 taking everything
41 taking classes 56
taking courses 425 tale
because 57 talk together
43 talk against 108
talk drifted 91 talk
drifted 155 talk economy
90 talk because 41
talk together 144 talk
between 144 talk private
219 tall buildings 2276
tall glasses 110 tall
stepped 42 tall columns
50 tall columns 80
tall pillars 40 tall
buildings 475 tall windows
76 tall pitcher 60
tall dressed 51 tall
forests 87 tall appeared
50 tall dressed 130
tall entered 102 tall
stepped 78 tall pillars
42 tall covered 51
tall pillars 113 tall
turrets 52 tall evinced
47 tall windows 350
tank decided 51 tank
general 52 tank ordered
79 tank replied 43
tank shouted 69 tank
company 521 tank concept
146 tank platoon 352
tank support 136 tank
systems 626 tank against
103 tank figures 114
tank program 161 tape
systems 56 tape allowed
158 tape appeared 57
tape because 275 tape
capable 154 tape carried
44 tape include 52
tape operate 170 tape
operating 310 tape present
42 tape provide 178
tape require 99 tape
usually 82 tape between
157 tape systems 267
tarp between 52 task
between 292 task problem
607 task process 141
task behavior 113 task
mankind 59 task teachers
50 task largely 40
task executing 87 task
because 201 task because
47 task complex 42
task becomes 41 task
because 304 task carried
60 task because 133
task becomes 42 taut
muscles 64 taut between
44 taut relaxed 45
taxi include 129 taxi
operate 82 taxi operating
46 taxing profits 574
taxing spirits 100 taxing
according 54 taxing capital
69 tbsp vinegar 394
teach classes 42 teach
courses 77 teach problem
61 teach behavior 50
teach classes 87 teach
members 125 teach behavior
92 teach aspects 120
teach classes 58 teach
content 123 teach courses
110 teach lessons 174
teach sections 63 teach
subject 125 teach sections
43 teach lessons 49
teach parenting 126 teach
problem 48 teach everything
446 teach parents 61
teach language 56 teach
warfare 50 teach content
48 teach lessons 1060
teach princes 42 teach
courses 46 teach economy
1219 teach lessons 122
teach science 1311 teach
courses 51 teach lessons
121 teach science 42
teach peasants 65 teach
rightly 62 teach lessons
157 teach courses 55
teach physics 105 teach
history 69 teach workers
53 teach courses 103
teach control 49 teach
lessons 75 teams consist
89 teams include 47
teams consist 168 teams
include 156 tearing asunder
41 tears between 50
tears against 52 tech
because 64 tech including
54 tech located 67
tech operating 50 tech
complex 120 tech economy
51 tech sectors 123
tech society 67 tech
workers 49 tech process
93 tech systems 170
teen because 69 teen
problem 711 teen program
469 teen program 167
teeth against 422 teeth
audibly 318 teeth because
50 teeth between 46
teeth despite 57 teeth
noisily 86 teeth together
330 teeth against 75
teeth together 186 teeth
adapted 81 teeth because
250 teeth unsound 76
teeth against 42 teeth
between 90 teeth decrease
46 teeth increase 137
teeth increasing 72 teeth
present 118 teeth cleansed
45 tell stories 115
tell everything 42 tell
stories 45 tell stories
566 tell versions 45
tell stories 53 tell
stories 165 tell exactly
141 tell stories 7099
tell versions 251 tell
stories 50 tell stories
125 tell exactly 117
tell everything 686 tell
exactly 103 tell plainly
52 tell stories 315
tell stories 683 tell
stories 70 tell stories
156 tell members 1379
tell stories 133 tell
stories 73 tell stories
207 tell stories 1171
tell everything 49 tell
stories 200 tell stories
45 tell stories 1076
tell stories 128 tell
stories 86 tell clinton
117 tell johnson 180
tell kennedy 172 tell
lincoln 135 tell stories
41 tell stories 424
tell stories 50 tell
secrets 57 tell stories
3038 tend towards 84
tend towards 42 tend
towards 81 tend towards
119 tend towards 301
tend gardens 133 tenth
segment 4442 tenth because
168 tenth brought 212
tenth onwards 358 term
effects 186 term process
126 term because 127
term effects 200 term
because 58 term between
1148 term current 428
term because 57 term
effects 183 term applied
91 term behavior 269
term rentals 201 term
between 1282 term suicide
62 term towards 116
term measures 306 term
nervous 430 term missile
56 term effects 2038
term science 259 term
studies 163 term effects
3496 term results 371
term control 409 term
effects 1240 term control
126 term position 87
term targets 74 term
effects 113 term complex
86 term applies 59
term illness 159 term
smokers 530 term capital
194 term behavior 118
term effects 725 term
function 174 term outcome
307 term science 134
term solution 93 term
benefit 45 term borrowing
332 term credits 1878
term finance 41 term
financing 179 term success
554 term treaties 379
term college 328 term
implies 110 term members
48 term service 151
term studies 114 term
support 320 term welfare
46 term fatigue 214
term material 44 term
between 286 term similar
68 term between 635
term pattern 45 term
between 115 term because
583 term between 3382
term contain 45 term
entered 2068 term expired
46 term extending 113
term include 183 term
involve 131 term involving
365 term provide 400
term providing 164 term
require 137 term requiring
86 term subject 141
term usually 153 term
hysteria 209 term borrowing
230 term capital 105
term culture 417 term
finance 219 term financing
420 term profits 245
term success 379 term
applied 204 term applies
181 term effects 42
term because 50 term
storage 150 term applied
68 term variable 740
term classes 135 term
induced 50 term several
53 term certain 57
term effects 111 term
effects 135 term returns
91 term because 191
term behavior 166 term
research 64 term studies
91 term control 61
term decline 46 term
success 316 term support
44 term applied 48
term measures 1140 term
shelter 442 term support
41 term research 266
term studies 170 term
species 123 term rentals
133 term function 124
term applied 115 term
applies 45 term following
47 term implies 41
term research 156 term
studies 456 term derived
80 term project 85
term alcohol 73 term
license 45 term function
210 term officer 205
term process 105 term
balance 202 term effects
42 term results 118
term decline 271 term
ability 98 term because
94 term problem 48
term because 113 term
suggest 88 term usually
97 term inverse 63
term effects 179 term
outcome 1571 term results
2370 term success 53
term adopted 86 term
applied 14698 term applies
899 term carries 73
term defined 56 term
denotes 190 term implies
434 term referring 643
term relates 141 term
signify 68 term process
169 term taxation 327
term against 137 term
warfare 456 term usually
