tail functions 151 tail
straight 264 take seriously
110 take business 59
take education 64 take
evidence 2781 take graduate
123 take interest 91
take pictures 132 take
security 232 take students
43 take subjects 83
take vitamins 58 take
hereafter 60 take promptly
73 take whenever 405
take wherever 114 take
positions 42 take seriously
82 take seriously 208
take positions 45 take
decisions 164 take seriously
67 take seriously 193
take selected 51 take
education 60 take decisions
61 take subjects 64
take seriously 106 take
property 46 take seriously
51 take positive 58
take positions 338 take
positions 94 take interest
63 take decisions 45
take decisions 62 take
seriously 400 take positions
510 take seriously 450
take remedies 111 take
branches 44 take concrete
42 take cultural 92
take decisions 458 take
elements 60 take patterns
75 take physical 94
take pictures 43 take
positions 6915 take specific
48 take subjects 159
take suffixes 46 take
decisions 1427 take positions
142 take seriously 108
take receipts 753 take
seriously 109 take decisions
408 take economic 87
take military 187 take
pictures 50 take sanctions
48 take security 45
take seriously 60 take
seriously 74 take seriously
45 take pictures 199
take exercise 57 take
interest 88 take decisions
335 take positions 104
take presents 47 take
vacations 236 take seriously
196 take positions 60
take positions 44 take
exercise 59 take seriously
55 take seriously 99
take seriously 56 take
remedies 71 take exercise
94 take positions 112
take journeys 129 take
decisions 1956 take positions
246 take subjects 45
take relations 46 take
policies 74 take pictures
68 take seriously 52
take positions 2547 take
seriously 45 take hundreds
105 take thousands 80
take positions 41 take
feminine 43 take decisions
99 take positions 68
take decisions 49 take
properly 58 take decisions
199 take prisoner 79
take seriously 49 take
seriously 40 take decisions
279 take exercise 87
take military 261 take
security 48 take children
44 take seriously 159
take decisions 51 take
exercise 50 take holidays
60 take vacations 68
take military 54 take
seriously 1832 take examples
47 take positions 65
take pictures 125 take
seriously 85 take directly
64 take whatever 40
take seriously 43 take
positions 63 take quarters
44 take seriously 40
take seriously 118 take
positions 61 take decisions
2081 take direction 48
take positions 1511 take
pressure 44 take questions
61 take realities 74
take deserted 68 take
directly 78 take forcibly
58 take tomorrow 124
take whenever 220 take
chloride 102 take decisions
170 take interest 77
take seriously 46 take
whatever 44 take decisions
70 take positions 248
take pictures 122 take
decisions 58 take exception
40 take exercise 67
take personal 170 take
positions 56 take security
170 take seriously 58
take seriously 254 take
education 69 take positions
60 take subjects 84
take decisions 674 take
positions 128 take medicine
92 take exception 49
take exercise 487 take
interest 56 take decisions
61 take education 61
take progress 64 take
subjects 67 take messages
496 take pictures 81
take seriously 535 take
military 111 take positions
79 take quarters 83
take seriously 161 take
concerning 205 take relative
79 take whatever 68
take seriously 5427 take
slighted 41 take terribly
46 take decisions 118
take estrogen 90 take
decisions 142 take medicine
53 take decisions 565
take positions 498 take
immediate 95 take education
166 take subjects 102
take exercise 64 take
whenever 50 take pictures
58 taking evidence 399
taking pictures 46 taking
security 149 taking vitamins
47 taking decisions 81
taking inwardly 115 taking
selected 46 taking subjects
119 taking positions 60
taking exercise 41 taking
seriously 61 taking positions
151 taking seriously 162
