ability and 70 ability and 67
abortion one 44 abstain not 41
accepting they 62 accepting they 174
accepting too 59 accepts they 50
account has 65 account are 139
account own 45 account not 85
account not 40 account far 48
account use 49 account one 46
accrual for 47 achieve not 91
achieve not 94 achieve can 45
achieve for 61 achieving not 40
acrylic dry 97 acutely own 126
acutely all 46 acutely and 53
acutely had 244 acutely was 651
acutely are 472 acutely can 47
acutely had 268 acutely was 264
acutely are 70 adapted with 69
address that 75 address his 92
address get 63 address out 40
admiral with 42 admired her 65
admired his 92 admired that 74
admired his 79 adopted son 47
adorned with 40 advance then 66
advance going 64 advance going 106
advancing yet 61 adverse has 46
adverse see 53 adverse for 76
adverse not 58 affairs way 79
affairs and 53 affairs eye 49
affairs his 58 affairs all 67
affairs yet 44 affairs not 60
affairs not 87 affairs not 62
affects not 66 affects near 109
affirming has 105 affords our 58
affront put 45 against not 70
against not 152 against not 110
against can 67 against had 189
against has 156 against his 40
against was 57 against can 68
against did 53 against does 87
against had 99 against has 120
against may 43 against was 124
against then 392 against his 154
against that 114 against and 43
against then 64 against age 43
against are 277 against his 101
against his 51 against not 142
against not 108 against not 56
against gay 61 against hiv 51
against not 550 against not 157
against not 410 against not 86
against and 70 against him 77
against his 57 against its 52
against them 65 against each 65
against not 46 against his 168
against own 55 against then 57
against are 84 against are 80
against and 40 against was 69
against was 52 against had 58
against was 49 against was 47
against not 68 against not 308
against not 50 against all 52
against not 85 against not 116
against long 532 against not 108
against now 43 against not 59
against all 54 against being 211
against going 43 against not 312
against now 146 against set 355
against lean 48 against not 782
against not 173 against had 79
against long 96 against not 313
against now 55 against not 97
against now 45 against now 69
against not 247 against men 68
against who 54 against are 41
against not 58 against not 46
against not 114 alcohol one 71
alighting then 100 alleged was 89
alliance its 91 alliance not 43
alliance not 70 allowed then 43
allowed was 61 allowed not 55
allowed and 51 altered him 40
although they 50 although not 41
although and 107 although his 148
although then 1198 although has 40
although for 72 although far 79
although not 204 although not 53
although not 41 although not 60
although had 43 although had 88
although are 63 ambition him 96
ambition him 124 analogy bear 115
anatomy hear 66 ancient now 68
ancient not 102 ancient who 132
ancient did 51 ancient and 73
ancient they 92 ancient own 399
ancient they 58 ancient are 220
ancient not 75 ancient yet 225
ancient are 239 ancient was 72
ancient not 108 ancient one 44
ancient not 43 ancient and 63
ancient own 158 ancient own 80
ancient yet 66 ancient are 59
ancient not 49 animals out 68
animals are 59 animals year 66
animals are 55 animals with 53
animals with 91 animals yet 54
animals die 53 animals yet 69
animals not 46 animals and 113
animals for 49 animals being 74
annoyed you 51 answers why 51
antique its 65 anxiety dying 93
anxiety was 169 anxiety death 46
anxiety was 57 anxiety has 47
anxiety had 113 anxiety with 47
anxiety her 51 anxiety him 50
anybody was 107 anybody she 146
anybody they 81 anybody with 72
anybody was 128 anybody man 53
anybody him 127 anybody you 61
anybody this 49 anybody his 77
anybody going 116 anytime using 59
anywise can 62 apostle may 45
appeared and 117 appeared then 457
appeared and 49 appeared age 57
appeared age 70 appeared was 42
appeared not 54 arranged pan 61
arranged are 44 arresting was 87
arrival had 41 arrived and 61
arrived out 55 article her 71
article his 201 article was 48
article not 42 article not 62
artless not 50 aspects yet 53
aspires not 373 assured and 106
assured had 65 attacking then 62
attacking not 51 attacks then 87
attempt then 45 attempt all 84
attract not 181 audible was 41
austere not 45 average one 268
average one 83 average tear 63
average year 142 average and 72
average per 46 average per 116
average not 98 average not 466
average not 43 average age 137
average year 232 average year 118
average for 125 average was 89
average per 130 average not 52
average not 52 average age 253
average age 58 average for 63
average was 51 average year 41
average and 44 average not 50
average not 48 average his 48
average per 47 average was 97
averaging one 153 averaging one 149
aversion all 48 aversion for 71
avoided not 65 avoided lead 40
avoided not 69 awakening not 40
