act and expect others to 87
act for emitting bills of 127
act out various roles in 43
act was hawked about the 46
act was little short of 119
act was passed after the 241
act was passed changing the 170
act was passed creating the 248
act was passed known as 44
act was passed raising the 79
act was passed setting up 60
act was passed under the 162
act was passed which is 78
act was placed under the 90
act with greater force on 94
act with liquid magma to 133
act with various power of 47
add and delete items to 90
add and delete lists of 70
add and remove items in 61
add and remove items to 64
add and revise facts in 50
add but little either to 49
add that special touch to 129
add yet another claim of 47
add yet another facet to 63
add yet another layer of 1184
add yet another layer to 179
add yet another level of 272
add yet another piece of 42
add yet another touch of 43
add yet another twist to 42
add yet another voice to 69
aft and looked about us 124
age and another order of 49
age and figure would do 94
age and gender appear to 50
age and gender within the 64
age and income level of 63
age and infirm state of 47
age and mental state at 75
age and mental state of 60
age and special needs of 45
age and status within the 55
age and weight getting up 47
age are wholly taken up 115
age doth profit rather in 283
age had already begun to 198
age had neither tamed the 51
age his family moved to 192
age she showed signs of 49
age that lasted until the 65
aging and family bonds in 113
ago and forgot about it 44
ago and lasted until the 90
aid and advice alike to 42
aid and advice given by 54
aid and various forms of 51
aid for various types of 47
aid she looked still in 58
aid she sought would be 43
aim and object seems to 44
aim and object would be 53
aim for another which is 67
air and caught again by 49
air and drinking water of 77
air and ground crews of 91
air and ground crews to 62
air and ground units in 80
air and ground units to 64
air and landed right in 60
air and landed right on 80
air and liquid water at 56
air and liquid within the 53
air and manner could be 64
air and manner which he 43
air and placed under the 42
air and spirit above the 60
air and tossed aside as 52
air but settle under the 50
air for various lengths of 63
air gap across which the 94
air gap through which the 90
air had already begun to 99
air has become unfit to 48
air has fallen below the 65
air our senses taken be 193
air per minute would be 73
air was another proof of 47
air with enough force to 55
all age groups after the 48
all age groups could be 45
all age groups since the 55
all age groups until the 45
all age groups within the 167
all age groups would be 64
all and should never be 155
all and singular kinds of 58
all and singular parts of 63
all and sundry about the 260
all and sundry forms of 67
all and sundry kinds of 44
all and sundry within the 84
all and sundry would be 68
all are agreed about the 123
all are created equal in 44
all are placed under the 126
all are treated alike in 43
all but buried beneath the 60
all but buried under the 147
all but divine grace of 72
all but forgot about it 81
all but forgot about the 140
all but hidden beneath the 107
all but hidden under the 126
all but proper names is 44
all but proved fatal to 76
all but silent about the 42
all but something which is 66
all day without anything to 351
all day without seeming to 52
all day without speaking to 60
all day without thinking of 41
all had another round of 47
all had enough money to 54
all had fallen under the 44
all had higher rates of 51
all her canvas spread to 56
all her doubts about the 80
all her family would be 75
all her feelings about the 64
all her future hopes of 47
all her guests could do 49
all her hideous train of 62
all her little hoard to 53
all her little stock of 67
all her little store of 79
all her little wares in 49
all her nobler gifts on 52
all her pocket money on 45
all her rights under the 189
all her scanty stock of 105
all her sorrow shall be 80
all her strength flaring up 92
all her strength until the 57
all his actions ought to 138
all his actions shall be 42
all his actions since the 61
all his actions under the 64
all his actions would be 148
all his bright dreams of 43
all his broken crags by 52
all his cattle would be 40
all his claims about the 71
all his clothes until he 42
all his common stock in 45
all his doubts about the 310
all his doubts would be 47
all his duties under the 96
all his earlier writing he 66
all his family might be 49
all his family would be 201
all his feelings about the 81
all his fleecy flock at 54
all his forces about the 75
all his forces under the 50
all his forces within the 78
all his forces would be 44
all his former power of 81
all his future hopes of 79
all his guests beneath the 74
all his lavish waste of 45
all his little bills at 53
all his little might to 57
all his little stock of 76
all his little store of 54
all his mental force on 63
all his nature point at 65
all his notions about it 150
all his notions about the 49
all his pocket money in 62
all his pocket money on 173
all his pocket money to 54
all his powers under the 220
all his powers would be 89
all his pranks would be 44
all his public works is 53
all his pupils stood in 715
all his rights under it 112
all his rights under the 683
all his slaves shall be 40
all his spending money to 43
all his strength tried to 49
all his strength until he 128
all his strength until the 110
all his strength would be 67
all his theories about the 101
all his towering plans of 46
all his troops within the 72
all his troops would be 79
all his various parts so 59
all his verses first in 49
all his warnings about the 62
all his weight after it 44
all his wisdom would be 53
all his wishes would be 154
all his writings about the 91
all his writings which is 52
all its actions within the 52
all its duties under the 51
all its duties within the 41
all its forces under the 41
all its forces would be 73
all its grades seems to 111
all its horrid train of 73
all its little savings to 505
all its mellow tints of 40
all its mighty train of 44
all its nerves either to 72
all its phases looks on 47
all its phases short of 43
all its phases would be 48
all its powers under the 75
all its ridges stand the 95
all its rights under the 280
all its stages under the 67
all its stages within the 56
all its troops would be 46
