a bad decision based on 95
a bad example which is 47
a bad headache after it 59
a bias against women in 117
a bias towards either of 131
a bias voltage equal to 45
a big article about it 51
a big article about me 44
a big article about the 82
a big birthday party at 41
a big butcher knife in 78
a big country house in 188
a big kitchen knife in 44
a big mistake about me 43
a big mistake about the 52
a big problem since the 95
a big question about the 88
a big scandal would be 40
a big stumbling block in 158
a big stumbling block to 150
a bit annoyed about it 65
a bit awkward about it 110
a bit awkward about the 67
a bit careful about the 103
a bit cautious about the 58
a bit confusing since the 45
a bit cynical about it 55
a bit cynical about the 151
a bit excited about it 59
a bit excited about the 84
a bit misleading since it 90
a bit misleading since the 74
a bit nervous about it 423
a bit nervous about my 104
a bit nervous about the 885
a bit pattern which is 79
a bit puzzled about the 105
a bit unhappy about it 41
a bit unhappy about the 86
a bit worried about it 362
a bit worried about me 83
a bit worried about my 321
a bit worried about the 1485
a bit written about the 44
a box painted black on 48
a dam against which the 74
a day shortly after the 68
a dead comrade borne to 41
a dead language until it 73
a dead language which he 57
a dead language which is 40
a dead language which we 47
a dead silence while the 80
a death benefit equal to 420
a death benefit shall be 81
a death benefit under an 55
a death benefit under the 125
a death brought about by 153
a death penalty would be 41
a dog catches sight of 41
a dog crouching under the 84
a don quixote tilting at 226
a dry climate where the 60
a dry pointed stick in 48
a dry saharan region in 62
a due natural sense of 49
a due process claim in 98
a due process model of 52
a due process right in 60
a due process right of 98
a due process right to 2083
a dying patient makes us 57
a far broader array of 542
a far broader basis of 62
a far broader class of 113
a far broader field of 79
a far broader group of 57
a far broader scope of 109
a far broader sense of 50
a far broader vision of 53
a far country where he 136
a far country where the 82
a far distant period of 50
a far distant place to 42
a far distant point of 97
a far distant region of 133
a far feebler sense of 75
a far grander piece of 40
a far grander scale in 153
a far grander scale the 42
a far happier frame of 81
a far happier state of 105
a far inferior force of 57
a far inferior state of 83
a far loftier order of 56
a far sharper sense of 43
a far shorter period of 426
a far shorter space of 182
a far simpler method of 108
a far smaller force of 70
a far smaller group of 138
a far smaller place in 91
a far smaller scale in 78
a far smaller share in 78
a far smaller share of 667
a far stronger appeal to 122
a far stronger claim on 54
a far stronger claim to 192
a far stronger feeling of 68
a far stronger force in 63
a far stronger force of 75
a far stronger proof of 75
a far stronger sense of 471
a far stronger showing of 161
a far subtler sense of 54
a far superior class of 85
a far superior class to 87
a far superior force of 385
a far superior force to 67
a far superior method of 198
a far superior method to 61
a far superior order of 60
a far superior order to 74
a far superior style to 82
a far superior weapon to 43
a far tougher labor to 168
a fee secures twice as 59
a few ancient coins in 42
a few angstrom units in 103
a few animals began to 57
a few animals could be 65
a few animating words to 119
a few archers might be 79
a few artists began to 47
a few awkward words of 57
a few bacteria enter the 47
a few candles burning in 57
a few capital lines in 44
a few cautions about the 71
a few cautious steps in 59
a few cautious steps to 42
a few centers where the 42
a few central themes in 48
a few ciphers added to 47
a few colored people in 50
a few consoling words to 148
a few courses above the 103
a few cramped hours of 59
a few credits short of 178
a few critics began to 72
a few decades after it 121
a few decades after the 3404
a few decades later as 259
a few decades later at 56
a few decades later by 632
a few decades later he 49
a few decades later in 784
a few decades later is 79
a few decades later it 168
a few decades later on 121
a few decades later the 671
a few decades later to 143
a few decades since the 123
a few decades under the 71
a few decades until the 96
a few decades would be 105
a few degrees about the 113
a few degrees above it 213
a few degrees above or 503
a few degrees above the 5686
a few degrees after the 83
a few degrees below it 98
a few degrees below or 41
a few degrees below the 3401
a few degrees change in 115
a few degrees lower in 229
a few degrees nearer the 70
a few degrees nearer to 63
a few degrees round the 61
a few degrees short of 196
a few degrees under the 73
a few degrees until the 57
a few degrees while the 55
a few degrees within the 58
a few degrees would be 49
a few details about it 115
a few details about my 117
a few details about the 2705
a few details which he 47
a few details which we 56
a few distant shots at 46
a few dollars above the 141
a few dollars below the 58
a few dollars could be 72
a few dollars extra in 43
a few dollars extra to 81
a few dollars might be 61
a few dollars saved up 177
a few dollars short of 172
a few dollars spent in 74
a few dollars spent on 113
a few dollars stand in 45
a few dollars under the 73
a few dollars which he 125
a few dollars would be 132
a few elderly people in 170
a few elderly women in 114
a few extreme cases in 112
a few extreme cases it 70
a few extreme cases of 192
a few extreme cases the 119
a few faltering steps in 73
a few faltering words of 61
a few familiar faces in 158
a few familiar facts of 73
a few familiar words in 43
a few farmers began to 68
a few favored parts of 75
a few features which we 51
a few figures about the 104
a few figures could be 69
a few figures showing the 242
a few friends about it 69
a few friends about me 187
a few friends about the 154
a few friends about us 59
a few friends after the 48
a few friends began to 116
a few friends joining the 53
a few friends round to 45
a few friends tried to 46
a few friends willing to 44
a few friends within the 80
a few friends would be 123
a few general books on 45
a few general facts the 57
a few general hints as 72
a few general hints in 56
a few general hints on 189
a few general hints to 50
a few general lines of 125
a few general notes on 142
a few general rules as 73
a few general rules in 127
a few general rules of 392
a few general rules on 148
a few general rules or 51
a few general rules to 512
a few general types of 277
a few general words of 210
a few general words on 113
a few general words to 63
a few general works on 113
a few genuine cases of 51
a few gracious words in 76
a few gracious words of 189
a few gracious words to 326
a few graphic words the 74
a few guesses about the 140
a few helpful hints on 139
a few helpful hints to 160
a few hopeful signs of 67
a few hundred acres as 131
a few hundred acres at 109
a few hundred acres in 569
a few hundred acres is 47
a few hundred acres of 2494
a few hundred acres on 72
a few hundred acres or 93
a few hundred acres to 325
a few hundred atoms in 63
a few hundred bales of 141
a few hundred bases in 47
a few hundred bases of 47
a few hundred bases to 49
a few hundred books in 55
a few hundred books on 44
a few hundred books to 52
a few hundred bucks in 117
a few hundred bucks on 94
a few hundred bucks to 187
a few hundred bytes of 245
a few hundred bytes to 80
a few hundred cases in 56
a few hundred cases of 317
a few hundred cells in 49
a few hundred chose to 41
a few hundred could be 137
a few hundred dwelt in 48
a few hundred grams in 44
a few hundred grams of 422
a few hundred grams to 97
a few hundred hertz to 132
a few hundred hours at 61
a few hundred hours in 74
a few hundred hours of 416
a few hundred hours to 47
a few hundred kilos of 121
a few hundred kinds of 74
a few hundred lines at 43
a few hundred lines in 78
a few hundred lines of 920
a few hundred lines to 72
a few hundred might be 50
a few hundred miles an 141
a few hundred miles as 107
a few hundred miles at 252
a few hundred miles be 50
a few hundred miles by 174
a few hundred miles in 1405
a few hundred miles is 65
a few hundred miles it 51
a few hundred miles of 5577
a few hundred miles on 247
a few hundred miles or 290
a few hundred miles the 130
a few hundred miles to 3064
a few hundred miles up 898
a few hundred paces in 304
a few hundred paces of 487
a few hundred paces the 55
a few hundred paces to 172
a few hundred pages in 99
a few hundred pages of 634
a few hundred pages the 59
a few hundred pages to 92
a few hundred pairs of 193
a few hundred people as 95
a few hundred people at 469
a few hundred people in 1542
a few hundred people is 62
a few hundred people of 131
a few hundred people on 235
a few hundred people or 169
a few hundred people to 646
a few hundred pesos to 79
a few hundred sacks of 42
a few hundred serfs in 92
a few hundred short of 77
a few hundred souls in 63
a few hundred souls to 41
a few hundred stars in 50
a few hundred steps in 57
a few hundred steps to 62
a few hundred times as 133
a few hundred times in 119
a few hundred times the 199
a few hundred times to 54
a few hundred turns of 234
a few hundred units of 90
a few hundred volts at 59
a few hundred volts in 63
a few hundred volts is 203
a few hundred volts or 70
a few hundred volts to 158
a few hundred votes in 919
a few hundred votes of 271
a few hundred votes to 84
a few hundred watts of 172
a few hundred watts to 222
a few hundred women in 82
a few hundred words at 129
a few hundred words in 329
a few hundred words is 76
a few hundred words of 532
a few hundred words on 140
a few hundred words or 84
a few hundred words the 68
a few hundred words to 299
a few hundred would be 103
a few hundred yards an 46
a few hundred yards as 357
a few hundred yards at 1138
a few hundred yards by 245
a few hundred yards he 584
a few hundred yards if 47
a few hundred yards in 13157
a few hundred yards is 222
a few hundred yards it 284
a few hundred yards of 29515
a few hundred yards on 1500
a few hundred yards or 849
a few hundred yards the 1310
a few hundred yards to 13286
a few hundred yards up 2622
a few hundred yards we 780
a few hurried drops of 58
a few hurried lines in 87
a few hurried lines of 56
a few hurried lines on 53
a few hurried lines to 554
a few hurried notes in 42
a few hurried steps up 125
a few hurried words as 95
a few hurried words he 176
a few hurried words in 189
a few hurried words of 479
a few hurried words the 40
a few hurried words to 454
a few labeled cells in 51
a few leisure hours in 81
a few leisure hours to 124
a few lessons about the 138
a few letters about the 60
a few letters carry us 50
a few letters could be 47
a few letters which he 107
a few lettuce leaves on 55
a few lexical items in 85
a few limited kinds of 44
a few limited types of 87
a few measured words of 42
a few measures later by 51
a few members alone in 50
a few members might be 41
a few members would be 52
a few microns above the 71
a few microns below the 154
a few minutes about an 74
a few minutes about it 43
a few minutes about my 181
