abiding terror of timid or 42
about abuses of power by 74
about africa in terms of 42
about allowing the child to 42
about amongst the girls in 68
about anyone or anything in 68
about appearing in front of 75
about avidly in search of 156
about before the start of 50
about building the house of 79
about changes in rates of 42
about changes in terms of 62
about christ in order to 67
about chucking the whole thing 42
about claiming the right to 50
about clothed in coats of 44
about colors to which the 52
about course of action to 74
about dangers in spite of 44
about defining the scope of 48
about double the level in 98
about double the level of 316
about double the price it 40
about double the price of 1190
about double the rates of 46
about double the speed of 295
about double the value of 742
about double the wages of 48
about drinking the blood of 45
about eleven at night he 129
about eleven at night in 56
about eleven at night it 45
about eleven at night of 60
about eleven at night on 55
about eleven at night the 77
about eleven at night to 41
about eleven at night we 53
about enjoying the smell of 49
about enough to cover the 558
about entering the field of 89
about entering the house of 99
about entering the kingdom of 77
about entering the ranks of 42
about entering the world of 136
about europe in search of 195
about europe in terms of 40
about europe to catch up 57
about events in order to 53
about events in terms of 80
about events in which he 184
about events in which the 57
about events of which he 61
about freely in order to 123
about freely in search of 306
about gender in order to 43
about gender in terms of 74
about groups in terms of 50
about groups of people in 109
about groups of people or 58
about images of women in 108
about inside the wires of 48
about issues in terms of 63
about issues of power in 40
about issues on which the 94
about itself in order to 172
about itself in terms of 60
about itself or about the 81
about limiting the power of 181
about limiting the scope of 71
about london in search of 129
about measuring the value of 76
about memory in terms of 56
about merely in order to 222
about myself in front of 68
about myself in order to 209
about myself in terms of 119
about myself or about my 90
about myself or about the 78
about nature in order to 124
about nature in terms of 104
about nature in which so 48
about painting an image of 77
about places to visit in 119
about policy in terms of 43
about preaching the kingdom of 50
about reached the level of 46
about reached the limit in 64
about reached the limit of 1970
about reached the point of 357
about reached the stage of 57
about reality in order to 128
about reality in terms of 96
about reality or about the 47
about reducing the costs of 93
about reducing the level of 94
about reducing the power of 76
about reducing the price of 50
about reducing the risks of 54
about reducing the scope of 66
about relating to others in 42
about revealing the names of 42
about righting the wrongs of 85
about school or about the 48
about settling the terms of 94
about shedding the blood of 233
about solely in order to 44
about someone by looking at 63
about someone in order to 65
about something as basic as 291
about something as minor as 42
about something as silly as 80
about something as small as 57
about something as vague as 48
about something he could do 41
about something he wants to 82
about something in front of 63
about something in order to 365
about something in terms of 110
about something in which he 275
about something in which the 112
about something in which we 58
about something of which he 399
about something of which the 46
about something of which we 130
about something on which he 56
about something so close to 57
about something to amuse me 181
about something to which he 43
about sooner or later as 43
about spending the money on 70
about spending the night at 215
about spending the night in 441
about spending the night on 62
about spilling the blood of 53
about standing in front of 375
about stopping the spread of 115
about stopping to smell the 52
