abiding his 207 abler own 402
abler own 138 about had 108
about men 48 about his 49
about they 44 about that 101
about and 92 about man 56
about she 174 about they 45
about you 50 about dying 72
about dying 246 about earth 58
about way 92 about top 45
about her 43 about his 64
about see 51 about and 62
about death 43 about long 95
about new 40 about day 81
about her 75 about head 65
about top 668 about her 40
about his 235 about six 477
about ten 106 about this 65
about way 61 about ten 1480
about area 71 about bar 99
about bed 247 about box 103
about car 44 about day 1865
about end 176 about hut 146
about inn 148 about job 964
about leaf 44 about lip 84
about man 702 about her 71
about his 98 about two 125
about seat 79 about sun 303
about year 454 about his 66
about her 52 about air 185
about all 98 about any 41
about earth 107 about his 79
about its 146 about men 245
about new 149 about non 131
about our 89 about red 56
about its 71 about his 57
about our 85 about him 229
about his 118 about its 97
about our 114 about that 59
about and 169 about his 165
about its 171 about one 145
about that 40 about this 93
about with 82 about met 47
about his 53 about her 41
about her 97 about her 48
about his 71 about them 41
about two 72 about see 56
about both 68 about did 53
about not 50 about east 74
about her 42 about fun 44
about was 42 about them 213
about two 208 about was 81
about not 93 about things 41
about her 65 about things 111
about way 265 about did 49
about had 67 about not 70
about one 40 about can 57
about her 122 about his 46
about our 45 about her 133
about his 52 about way 67
about not 52 about him 41
about her 86 about use 41
about his 78 about them 95
about this 85 about they 66
about that 41 about had 47
about her 64 about his 124
about man 43 about our 78
about this 227 about can 55
about his 66 about his 53
about new 54 about this 41
about going 104 about ten 3440
about ark 593 about sun 67
about you 95 about one 166
about own 60 about war 72
about his 45 about them 441
about two 509 about them 156
about aid 322 about they 78
about his 52 about our 55
about him 43 about day 58
about year 46 about law 48
about had 175 about was 138
about does 50 about was 104
about they 65 about and 45
about you 42 about had 75
about was 43 about them 78
about this 61 about are 84
about get 86 about that 41
about that 110 about are 242
about being 134 about death 43
about god 72 about her 103
about his 309 about how 1554
about its 54 about job 95
about long 53 about new 49
about not 69 about one 57
about our 85 about pay 73
about sex 101 about she 126
about that 672 about they 174
about this 315 about who 145
about why 102 about you 82
about all 1298 about that 59
about this 45 about not 64
about they 42 about you 42
about his 131 about our 67
about this 64 about not 96
about that 126 about that 43
about men 50 about that 57
about bed 234 about her 50
about old 141 about two 60
about get 93 about that 49
about day 370 about they 65
about they 87 about being 91
about death 49 about this 53
about and 90 about cam 161
about this 96 about doing 104
about god 53 about one 209
about way 44 about that 436
about being 48 about long 43
about she 78 about they 294
about you 264 about all 1109
about that 58 about not 61
about they 68 about you 125
about any 48 about his 143
about our 112 about this 187
about not 250 about that 440
about was 40 about not 45
about that 323 about way 132
about her 44 about you 89
about are 41 about that 163
about him 43 about not 308
about can 45 about not 88
about you 50 about all 298
about had 43 about our 41
about are 50 about can 78
about not 3437 about not 92
about one 42 about ten 1176
about old 47 about sun 41
about all 40 about you 40
about did 56 about was 73
about was 63 about all 58
about did 81 about get 72
about got 113 about had 205
about put 55 about had 55
about was 60 about can 84
about his 84 about them 76
about this 293 about you 49
about them 126 about this 64
about are 43 about key 65
about going 77 about and 231
about them 48 about you 71
about and 57 about put 54
about can 733 about buy 77
about get 42 about was 194
about did 416 about mean 65
about does 756 about doing 73
about them 517 about you 423
about was 100 about and 95
about doing 1103 about going 134
about not 218 about and 92
about and 152 about out 211
about than 43 about with 235
about had 120 about has 152
about far 58 about her 635
about and 113 about his 60
about this 86 about going 167
about and 156 about going 396
about may 1543 about and 57
about say 150 about and 82
about doing 1180 about going 292
about not 61 about them 130
about and 48 about and 52
about doing 1838 about going 412
about not 58 about all 700
about and 3694 about are 67
about but 78 about for 455
about not 3392 about now 46
about than 109 about that 322
about with 617 about and 609
about than 62 about all 112
about doing 108 about going 121
about that 589 about her 195
about his 379 about our 45
about that 219 about them 157
about this 65 about her 316
about his 655 about our 95
about that 50 about was 678
about him 55 about them 53
about was 64 about all 43
about and 1907 about but 57
about each 41 about for 551
about not 4751 about now 76
about than 100 about that 281
about with 1007 about and 603
about they 67 about use 68
about not 176 about not 293
about out 132 about not 127
about not 107 about get 72
about son 47 about cat 41
about far 49 about see 63
about you 64 about dad 131
about this 45 about doing 50
above far 129 above his 59
above his 102 above oil 105
above this 247 above was 78
above was 49 above was 52
above they 53 above not 154
above this 58 above due 53
above easy 106 above had 259
above you 502 above you 51
above that 364 abuse not 115
abusing not 41 ached had 90
acres his 130 acres area 52
acres for 45 acted day 174
acted them 92 acted fear 42
acted fear 42 acted did 218
acted way 69 acted not 45
acted real 119 acted his 46
action its 61 action age 50
action day 712 action her 59
action year 328 action yet 59
action was 41 action too 80
action not 385 action one 685
action use 50 action area 44
action year 74 action all 63
action her 59 action use 79
action not 109 action not 63
action law 67 action one 66
action this 52 action this 98
action easy 66 action set 54
actor her 42 acute leg 87
acute long 190 acute day 264
acute year 163 acute any 41
adage you 47 added new 41
added had 90 added was 44
